순위,관광지명,주소,분류,합산 검색 수
1,만석공원,경기 수원시 장안구,도시공원,46595
2,수원케이티위즈파크,경기 수원시 장안구 경수대로 893-0,레저스포츠시설,42956
3,장안문,경기 수원시 장안구,역사유적지,28909
4,북수원시장,경기 수원시 장안구 파장로82번길 6-0,시장,24045
5,정자시장,경기 수원시 장안구 수성로275번길 112-2,시장,22356
6,CGV북수원,경기 수원시 장안구 경수대로 950-0,공연시설,20976
7,광교산,경기 수원시 장안구,자연경관(산),19587
8,연무시장,경기 수원시 장안구 월드컵로428번길 19-0,시장,19486
9,수원SK아트리움,경기 수원시 장안구 이목로 24-25,공연시설,18213
10,조원시장,경기 수원시 장안구 조원로89번길 13-0,시장,15566
11,해우재,경기 수원시 장안구 장안로458번길 9-0,전시시설,13784
12,지지대고개,경기 수원시 장안구,자연경관(산),12479
13,북수원온천,경기 수원시 장안구 서부로 2139-0,웰니스관광,12030
14,효행공원,경기 수원시 장안구 경수대로 0-0,도시공원,9799
15,롯데시네마북수원,경기 수원시 장안구 천천로 100-0,공연시설,9471
16,광교저수지,경기 수원시 장안구,자연경관(하천/해양),9251
17,장안문거북시장,경기 수원시 장안구 수성로370번길 52-0,시장,9129
18,정자동중심상가,경기 수원시 장안구,테마공원,7157
19,탑클라우드호텔수원점,경기 수원시 장안구 수성로350번길 13-0,모텔,5848
20,일월저수지,경기 수원시 장안구 서부로 0-0,자연경관(하천/해양),5773
21,장안공원,경기 수원시 장안구 팔달로 238-0,도시공원,5713
22,일월공원,경기 수원시 장안구 일월로 101-33,도시공원,4968
23,밤밭청개구리공원,경기 수원시 장안구,도시공원,4754
24,광교공원,경기 수원시 장안구 광교산로 159-0,도시공원,3931
25,삼풍수영장,경기 수원시 장안구 장안로346번길 123-0,테마공원,3710
26,수원미술전시관,경기 수원시 장안구 송정로 19-0,전시시설,3350
27,이슈나인,경기 수원시 장안구 서부로 2139-0,쇼핑몰,2859
28,용광사,경기 수원시 장안구 파장천로 74-0,종교성지,2590
29,호텔에쿠스,경기 수원시 장안구 파장천로11번길 1-0,모텔,1973
30,브라운도트수원정자점,경기 수원시 장안구 파장로 71-12,모텔,1930
31,넘버25수원경기대점,경기 수원시 장안구 창훈로80번길 8-0,모텔,1882
32,모텔코지,경기 수원시 장안구 창훈로80번길 22-3,모텔,1715
33,수원시립만석전시관,경기 수원시 장안구 송정로 19-0,전시시설,1667
34,호텔여기어?수원정자점,경기 수원시 장안구 장안로 264-10,호텔,1639
35,정자종합시장,경기 수원시 장안구 수성로261번길 16-0,시장,1618
36,성호씨그마,경기 수원시 장안구 정자천로13번길 146-0,기타쇼핑시설,1537
37,유토피아호텔,경기 수원시 장안구 장안로 264-5,호텔,1474
38,화이트호텔,경기 수원시 장안구 팔달로271번길 9-0,모텔,1339
39,광교저수지쉼터,경기 수원시 장안구 광교산로 321-0,도시공원,1327
40,노송지대,경기 수원시 장안구,역사유적지,1312
41,한누리아트홀,경기 수원시 장안구 송원로 101-0,공연시설,1280
42,광교마루길,경기 수원시 장안구 광교산로 0-0,기타레저스포츠,1257
43,만석공원인조잔디축구장,경기 수원시 장안구 정조로 1085-0,레저스포츠시설,1154
44,보현선원,경기 수원시 장안구 수일로233번길 93-0,종교성지,1102
45,판다팜파장시장점,경기 수원시 장안구 파장로 82-0,기타쇼핑시설,1043
46,장안청소년문화의집,경기 수원시 장안구 수성로275번길 114-0,기타문화관광지,1018
47,정자공원,경기 수원시 장안구,도시공원,962
48,테마모텔,경기 수원시 장안구 수성로364번길 46-0,모텔,953
49,수원종합운동장인조잔디구장,경기 수원시 장안구 경수대로 893-0,레저스포츠시설,948
50,하광교소류지,경기 수원시 장안구,자연경관(하천/해양),940
51,허브모텔,경기 수원시 장안구 팔달로279번길 31-0,모텔,911
52,소정어린이공원,경기 수원시 장안구,도시공원,897
53,나무모텔,경기 수원시 장안구 창훈로80번길 18-0,모텔,834
54,피아노모텔,경기 수원시 장안구 송정로104번길 5-0,모텔,769
55,일림배수지야구장,경기 수원시 장안구 수일로91번길 55-0,레저스포츠시설,756
56,어린이생태미술체험관 풀잎,경기 수원시 장안구 경수대로 1274-0,전시시설,755
57,장안농원,경기 수원시 장안구 광교산로 553-0,농/산/어촌체험,704
58,파랑새여관,경기 수원시 장안구 창훈로80번길 28-0,모텔,700
59,수원수목원건축중(2022년하반기개장예정),경기 수원시 장안구,자연공원,683
60,엔모텔,경기 수원시 장안구 송정로104번길 9-0,모텔,666
61,레전드모텔,경기 수원시 장안구 파장로 71-6,모텔,664
62,데이오프호텔,경기 수원시 장안구 파장천로 15-0,모텔,649
63,하이파크장여관,경기 수원시 장안구 서부로2123번길 28-0,모텔,648
64,프랑스군참전기념비,경기 수원시 장안구,역사유물,635
65,수원시양궁장,경기 수원시 장안구,육상레저스포츠,611
66,노블레스모텔,경기 수원시 장안구 창훈로 78-0,모텔,579
