순위,업소명,주소,분류,현지인 검색 수
1,가보정갈비본관(1관),경기 수원시 팔달구 장다리로 282-0,한식,7795
2,유치회관본점,경기 수원시 팔달구 효원로292번길 67-0,한식,5560
3,본수원갈비본점,경기 수원시 팔달구 중부대로223번길 41-0,한식,3364
4,버거킹수원인계DT점,경기 수원시 팔달구 경수대로 501-0,간이음식,2516
5,맥도날드수원화성DT점,경기 수원시 팔달구 경수대로 676-0,간이음식,2399
6,스타벅스수원인계DT점,경기 수원시 팔달구 인계로94번길 3-0,카페/찻집,2254
7,맥도날드수원인계DT점,경기 수원시 팔달구 권광로 261-0,간이음식,2157
8,긴자수원인계점 [일식],경기 수원시 팔달구 경수대로 494-0,외국식,2068
9,스타벅스동수원DT점,경기 수원시 팔달구 중부대로 161-0,카페/찻집,1799
10,이나경송탄부대찌개,경기 수원시 팔달구 효원로307번길 47-0,외국식,1574
11,마포본가본점,경기 수원시 팔달구 경수대로519번길 10-0,한식,1484
12,어반벨리801,경기 수원시 팔달구 인계로94번길 39-22,카페/찻집,1386
13,커피스미스 드래프트수원인계점,경기 수원시 팔달구 효원로265번길 54-0,카페/찻집,1369
14,이모네손칼국수,경기 수원시 팔달구 중부대로223번길 20-7,한식,1313
15,빕스아주대점,경기 수원시 팔달구 중부대로 233-0,외국식,1310
16,연포갈비,경기 수원시 팔달구 정조로906번길 56-1,한식,1223
17,백청우칼국수,경기 수원시 팔달구 장다리로 253-0,한식,1173
18,달보드레[한식],경기 수원시 팔달구 월드컵로 310-0,한식,1169
19,양평해장국수원본점,경기 수원시 팔달구 경수대로466번길 51-0,한식,1142
20,스타벅스수원경수인계DT점,경기 수원시 팔달구 경수대로 499-0,카페/찻집,1138
21,오리대가,경기 수원시 팔달구 경수대로565번길 27-0,외국식,1110
22,로마경양식,경기 수원시 팔달구 경수대로 549-0,외국식,1096
23,스타벅스수원KBS DT점,경기 수원시 팔달구 권광로 265-0,카페/찻집,1079
24,카페메이븐,경기 수원시 팔달구 창룡대로74번길 15-0,카페/찻집,1051
25,고등반점[중식],경기 수원시 팔달구 팔달로52번길 43-0,외국식,1040
26,크리스피크림도넛수원인계점,경기 수원시 팔달구 권광로 200-0,간이음식,990
27,100년한우,경기 수원시 팔달구 경수대로428번길 23-0,한식,958
28,KFC수원인계DT점,경기 수원시 팔달구 인계로 98-0,간이음식,956
29,광명수산수원역점,경기 수원시 팔달구 갓매산로 38-0,외국식,937
30,예박사,경기 수원시 팔달구 수원천로 235-0,한식,890
31,짬뽕지존인계점 [중식],경기 수원시 팔달구 권광로207번길 10-0,외국식,878
32,화서역먹거리촌,경기 수원시 팔달구,기타음식,852
33,옥동이[중식],경기 수원시 팔달구 장다리로 231-0,외국식,809
