순위,관광지명,주소,분류,현지인 검색 수
1,안산농수산물도매시장,경기 안산시 상록구 충장로 312-0,시장,24321
2,안산호수공원,경기 안산시 상록구,도시공원,12596
3,광덕종합시장,경기 안산시 상록구 광덕산안길 20-0,시장,11879
4,제일CC,경기 안산시 상록구 태마당로 28-0,육상레저스포츠,11812
5,안산식물원,경기 안산시 상록구 성호로 113-0,테마공원,11810
6,서원관광호텔,경기 안산시 상록구 서암로 8-0,호텔,7724
7,노적봉공원,경기 안산시 상록구,도시공원,6981
8,감골시민홀,경기 안산시 상록구 석호로 226-0,공연시설,4385
9,이익선생묘,경기 안산시 상록구 호동로1길 0-0,역사유적지,3180
10,반월공원,경기 안산시 상록구,도시공원,3055
11,안산제2종합시장,경기 안산시 상록구 성호로 258-0,시장,2795
12,안산갈대습지공원,경기 안산시 상록구 갈대습지로 76-0,도시공원,2746
13,화림선원,경기 안산시 상록구 도매시장로 140-0,종교성지,2203
14,북고개,경기 안산시 상록구,자연경관(산),1946
15,안산시청소년재단상록청소년수련관,경기 안산시 상록구 삼일로 696-0,육상레저스포츠,1891
16,롯데시네마안산,경기 안산시 상록구 항가울로 422-0,공연시설,1836
17,호텔클로버,경기 안산시 상록구 양지편로 22-0,호텔,1795
18,신안프라자,경기 안산시 상록구 반석로 54-0,쇼핑몰,1692
19,한양대학교게스트하우스,경기 안산시 상록구 한양대학로 55-0,호스텔,1401
20,각골공원,경기 안산시 상록구,도시공원,1395
21,뉴라성관광호텔,경기 안산시 상록구 상록수로 34-0,호텔,1317
22,성호박물관,경기 안산시 상록구 성호로 131-0,전시시설,1296
23,3S부띠끄호텔,경기 안산시 상록구 서암로2길 11-0,호텔,1293
24,아우라관광호텔,경기 안산시 상록구 양지편로 10-0,호텔,1205
25,호텔퀸즈,경기 안산시 상록구 용신로 356-0,모텔,1167
26,에스엘부티크호텔,경기 안산시 상록구 성호로1길 4-5,모텔,1117
27,용하공원,경기 안산시 상록구 용하공원로 44-0,도시공원,882
28,안산해피승마장,경기 안산시 상록구 목장길 36-21,육상레저스포츠,859
29,메이트호텔,경기 안산시 상록구 석호로3안길 52-0,모텔,812
30,호텔스테이25,경기 안산시 상록구 이호로5길 8-0,모텔,775
31,최용신기념관,경기 안산시 상록구 샘골서길 64-0,전시시설,765
32,호수공원야외수영장,경기 안산시 상록구 광덕대로 70-0,테마공원,748
33,에이스승마랜드,경기 안산시 상록구 안산벌말길 150-0,육상레저스포츠,691
34,마리호텔,경기 안산시 상록구 선진4길 29-0,모텔,658
35,김홍도미술관,경기 안산시 상록구 충장로 422-0,전시시설,648
36,안산별빛마을애니멀빛축제,경기 안산시 상록구 수인로 1723-0,기타문화관광지,647
37,엘리트승마스쿨,경기 안산시 상록구 수인로 895-86,육상레저스포츠,642
38,안산호수공원무궁화동산,경기 안산시 상록구,도시공원,626
39,안산문화원,경기 안산시 상록구 석호로 144-0,교육시설,604
40,노적봉인공폭포,경기 안산시 상록구,자연경관(산),601
41,제일CC파3골프장,경기 안산시 상록구 태마당로 28-0,육상레저스포츠,589
42,성호공원,경기 안산시 상록구 성호로 131-0,도시공원,572
43,수암낚시터,경기 안산시 상록구,수상레저스포츠,557
44,시낭공원,경기 안산시 상록구,도시공원,546
45,헤르메스호텔,경기 안산시 상록구 양지편1길 9-0,모텔,534
