순위,관광지명,주소,분류,외지인 검색 수
1,안성팜랜드,경기 안성시 대신두길 28-0,테마공원,145329
2,신안CC,경기 안성시 개울말길 149-0,육상레저스포츠,74627
3,에덴블루CC,경기 안성시 녹배길 175-0,육상레저스포츠,62433
4,안성베네스트GC,경기 안성시 삼흥로 660-0,육상레저스포츠,61012
5,스타필드안성,경기 안성시 서동대로 3930-39,쇼핑몰,57509
6,윈체스트GC,경기 안성시 오촌길 97-31,육상레저스포츠,53501
7,루나힐스안성,경기 안성시 약산길 67-6,육상레저스포츠,52079
8,파인크리크CC,경기 안성시 안성맞춤대로 2417-13,육상레저스포츠,51233
9,골프클럽Q,경기 안성시 장계길 20-229,육상레저스포츠,50834
10,골프존카운티안성W,경기 안성시 교동길 19-70,육상레저스포츠,44595
11,골프존카운티안성H,경기 안성시 보삼로 302-0,육상레저스포츠,39995
12,마에스트로CC,경기 안성시 안성맞춤대로 2134-36,육상레저스포츠,39373
13,안성CC,경기 안성시 걸미로 487-0,육상레저스포츠,31776
14,미리내성지,경기 안성시 미리내성지로 420-0,역사유적지,29031
15,고삼저수지,경기 안성시,자연경관(하천/해양),16582
16,금광저수지,경기 안성시,자연경관(하천/해양),16502
17,안성맞춤랜드,경기 안성시 남사당로 198-0,복합관광시설,16276
18,칠곡저수지,경기 안성시,자연경관(하천/해양),15443
19,한림안성CC,경기 안성시 양성로 349-61,육상레저스포츠,13624
20,칠장사,경기 안성시 칠장로 399-18,종교성지,11059
21,안성맞춤아트홀,경기 안성시 발화대길 21-0,기타문화관광지,8725
22,금광호수공원,경기 안성시,도시공원,8263
23,석남사,경기 안성시 상촌새말길 3-120,종교성지,7997
24,서운산자연휴양림,경기 안성시 배티로 185-39,자연공원,7447
25,이글몬트CC,경기 안성시 보삼로 106-0,육상레저스포츠,6324
26,청룡사,경기 안성시 청룡길 140-0,종교성지,5983
27,안성맞춤시장,경기 안성시 시장길 37-0,시장,5686
28,양촌낚시터,경기 안성시 산양길 119-0,수상레저스포츠,5654
29,박두진문학길,경기 안성시,기타레저스포츠,5150
30,용설저수지,경기 안성시,자연경관(하천/해양),5033
31,장광낚시터,경기 안성시 관앞길 103-6,수상레저스포츠,4530
32,모차호텔,경기 안성시 어진로 961-0,모텔,4500
33,반제낚시터,경기 안성시 반제호수길 90-0,수상레저스포츠,4349
34,두메낚시터,경기 안성시 두메호수로 90-0,수상레저스포츠,4270
35,CGV안성,경기 안성시 아양2로 109-0,공연시설,4167
36,안성맞춤가족공원,경기 안성시 대림동산길 36-0,도시공원,4086
37,참살이가족오토캠핑장,경기 안성시 신장길 184-0,캠핑,3857
38,안성31운동기념관,경기 안성시 만세로 868-0,전시시설,3802
39,만세고개,경기 안성시,자연경관(산),3758
40,서일농원,경기 안성시 금일로 332-17,농/산/어촌체험,3752
41,너리굴문화마을,경기 안성시 너리굴길 100-0,기타관광,3597
42,죽주산성,경기 안성시,역사유적지,3494
43,도곡낚시터,경기 안성시,수상레저스포츠,3424
44,금광관광농원캠핑장,경기 안성시 현곡길 344-0,캠핑,3405
45,명인낚시터,경기 안성시 새울길 87-12,수상레저스포츠,3361
46,용설낚시터,경기 안성시,수상레저스포츠,3348
47,죽산순교성지,경기 안성시 종배길 115-0,역사유적지,3345
48,호텔에이치,경기 안성시 죽주로 268-2,호텔,3330
49,월향낚시터,경기 안성시 고삼호수로 144-3,수상레저스포츠,3306
50,메가박스안성스타필드,경기 안성시 서동대로 3930-39,공연시설,3168
51,호텔루엠공도점,경기 안성시 가족공원길 54-6,모텔,2970
52,노마드호텔,경기 안성시 보개원삼로 492-0,호텔,2913
53,안성맞춤캠핑장,경기 안성시 남사당로 196-31,캠핑,2708
54,아쿠아필드스타필드안성점,경기 안성시 서동대로 3930-39,테마공원,2637
55,안성시다목적야영장,경기 안성시 용설호수길 55-33,캠핑,2623
56,산우물쉼터,경기 안성시 산정산우물길 138-0,캠핑,2620
57,마둔저수지,경기 안성시,자연경관(하천/해양),2500
58,청룡지,경기 안성시,자연경관(하천/해양),2439
59,안성두리캠핑장,경기 안성시 청룡길 90-64,캠핑,2414
60,덕봉낚시터,경기 안성시,수상레저스포츠,2316
61,고성산,경기 안성시,자연경관(산),2213
62,호텔루엠안성점,경기 안성시 중앙1길 15-0,모텔,2211
62,안성시티호텔,경기 안성시 중앙대학로 115-0,호텔,2211
64,너리굴오토캠핑장,경기 안성시 너리굴길 100-0,캠핑,2144
65,유스테이,경기 안성시 갈월길 31-0,모텔,2066
66,중앙시장,경기 안성시 안성맞춤대로 1049-0,시장,2038
67,삼죽면축구장,경기 안성시 용내길 32-0,레저스포츠시설,2016
68,거청낚시터,경기 안성시 배꽃길 16-0,수상레저스포츠,1964
69,키친탑,경기 안성시 지산길 55-117,기타쇼핑시설,1961
70,더라인호텔,경기 안성시 지문북길 91-1,모텔,1940
71,호텔레이크,경기 안성시 향림길 48-0,모텔,1913
72,리베라모텔,경기 안성시 구문길 27-8,모텔,1902
73,용인비봉산캠핑장,경기 안성시 상삼로 188-38,캠핑,1901
74,성은낚시터,경기 안성시 통심길 16-46,수상레저스포츠,1866
75,프로방스,경기 안성시 용설호수길 126-0,모텔,1848
76,안성맞춤야구장,경기 안성시,레저스포츠시설,1811
77,노도모텔,경기 안성시 중앙1길 38-0,모텔,1800
78,별밤야영장,경기 안성시 개나리길 138-20,캠핑,1768
79,만정낚시터,경기 안성시 만수동길 53-8,수상레저스포츠,1736
80,산우물낚시터,경기 안성시 남사당로 539-8,수상레저스포츠,1734
81,운모석농원캠핑장,경기 안성시 월구리길 0-0,캠핑,1731
82,안성목장,경기 안성시,기타문화관광지,1712
83,칠곡낚시터,경기 안성시 만세로 1112-0,수상레저스포츠,1611
84,안성시사계절썰매장,경기 안성시 남사당로 198-3,육상레저스포츠,1581
85,천덕제,경기 안성시,자연경관(하천/해양),1553
86,율곡관광농원오토캠핑장,경기 안성시 밤고개안길 19-36,캠핑,1504
87,불교마트,경기 안성시 강변로74번길 31-0,기타쇼핑시설,1497
88,내츄럴리조트캠핑장,경기 안성시 죽양대로 136-16,캠핑,1477
89,올인모텔,경기 안성시 중앙로379번길 9-0,모텔,1455
90,프라자모텔,경기 안성시 중앙로399번길 10-0,모텔,1428
91,럭셔리안성M글램핑,경기 안성시 연내동길 201-13,캠핑,1417
92,예스텔모텔,경기 안성시 중앙로362번길 19-11,모텔,1407
93,세렌디피티,경기 안성시 진안로 916-0,펜션/민박,1389
94,모텔갤러리,경기 안성시 상마정길 2-0,모텔,1387
95,스포츠몬스터스타필드안성점,경기 안성시 서동대로 3930-39,기타레저스포츠,1385
96,청월낚시터,경기 안성시 고삼호수로 176-29,수상레저스포츠,1375
97,오하농원,경기 안성시 신능길 83-15,농/산/어촌체험,1350
98,용설호수캠핑장,경기 안성시 용설호수길 234-0,캠핑,1345
99,안성남사당공연장,경기 안성시 남사당로 198-2,공연시설,1342
100,덕산저수지,경기 안성시,자연경관(하천/해양),1334
