순위,관광지명,주소,분류,현지인 검색 수
1,안양예술공원,경기 안양시 만안구 예술공원로 195-1,도시공원,25398
2,삼덕공원,경기 안양시 만안구 삼덕로 106-0,도시공원,15915
3,박달시장,경기 안양시 만안구 박달우회로124번길 41-0,시장,13642
4,석수체육공원,경기 안양시 만안구,도시공원,8771
5,삼막사,경기 안양시 만안구 삼막로 478-0,종교성지,8458
6,안양중앙시장,경기 안양시 만안구 냉천로 196-0,시장,8328
7,병목안시민공원,경기 안양시 만안구,도시공원,7855
8,석수시장,경기 안양시 만안구 석천로171번길 20-0,시장,7141
9,안양1번가,경기 안양시 만안구,테마공원,6031
10,한마음선원안양본원,경기 안양시 만안구 경수대로 1282-0,종교성지,4057
11,만안청소년수련관,경기 안양시 만안구 냉천로31번길 33-0,육상레저스포츠,3940
12,안양남부시장,경기 안양시 만안구 안양로248번길 22-0,시장,3701
13,롯데시네마안양일번가,경기 안양시 만안구 안양로 311-0,공연시설,2492
14,코리아골프클럽,경기 안양시 만안구 박달로 380-0,육상레저스포츠,2443
15,삼막애견공원,경기 안양시 만안구,도시공원,1708
16,충훈부시장,경기 안양시 만안구 충훈로93번길 7-10,시장,1589
17,안양새물공원,경기 안양시 만안구 석천로 1-0,도시공원,1350
18,망해암,경기 안양시 만안구 임곡로 245-0,종교성지,1229
19,김중업건축박물관,경기 안양시 만안구 예술공원로103번길 4-0,전시시설,1070
20,관악산펜션,경기 안양시 만안구 삼막로96번길 110-0,펜션/민박,971
21,코암관광호텔,경기 안양시 만안구 만안로 101-0,모텔,959
22,CS프리미어관광호텔,경기 안양시 만안구 경수대로 1180-0,호텔,956
23,병목안캠핑장,경기 안양시 만안구 병목안로247번길 37-0,캠핑,952
24,서조체육시설,경기 안양시 만안구,기타레저스포츠,855
25,코암관광호텔,경기 안양시 만안구 만안로 101-0,호텔,848
26,롯데시네마안양,경기 안양시 만안구 만안로 244-0,공연시설,739
27,삼막사계곡,경기 안양시 만안구,자연경관(산),710
28,에버덴호텔,경기 안양시 만안구 안양로 285-1,모텔,615
28,우리마트,경기 안양시 만안구 석천로171번길 20-0,기타쇼핑시설,615
30,모텔루,경기 안양시 만안구 경수대로 1188-0,모텔,580
31,호텔펠리스,경기 안양시 만안구 안양로138번길 41-0,모텔,562
32,삼원프라자호텔,경기 안양시 만안구 장내로139번길 7-0,호텔,523
33,XYM호텔,경기 안양시 만안구 장내로140번길 31-6,모텔,497
34,안양충훈벚꽃길,경기 안양시 만안구,기타관광,455
35,안양어린이천문대,경기 안양시 만안구 오리로34번길 7-31,기타관광,450
36,일로와호텔,경기 안양시 만안구 안양로268번길 41-0,모텔,434
37,CNC호텔,경기 안양시 만안구 안양로324번길 12-0,모텔,405
38,돈키호텔,경기 안양시 만안구 만안로 185-0,모텔,392
39,안양사,경기 안양시 만안구 예술공원로131번길 103-0,종교성지,338
40,블루몬테,경기 안양시 만안구 예술공원로 213-0,호스텔,337
41,염불사,경기 안양시 만안구 예술공원로245번길 150-0,종교성지,319
42,안양천생태이야기관,경기 안양시 만안구 석수로 320-0,전시시설,318
43,안양축산물도매시장,경기 안양시 만안구 박달로 298-0,시장,299
44,밧데리골목,경기 안양시 만안구,테마공원,288
45,제이디호텔,경기 안양시 만안구 안양로148번길 43-0,모텔,279
46,SS호텔,경기 안양시 만안구 병목안로 12-0,모텔,272
47,문모텔,경기 안양시 만안구 예술공원로208번길 4-0,모텔,270
48,탑스빌,경기 안양시 만안구 안양로324번길 22-0,기타숙박,257
49,안양패션호텔,경기 안양시 만안구 장내로143번길 5-0,모텔,255
50,석수체육공원축구장,경기 안양시 만안구,레저스포츠시설,243
51,라인호텔,경기 안양시 만안구 만안로 107-0,모텔,240
52,AMA호텔,경기 안양시 만안구 경수대로1188번길 26-0,모텔,232
52,안양새물공원축구장,경기 안양시 만안구 석천로 1-0,레저스포츠시설,232
