순위,업소명,주소,분류,외지인 검색 수
1,스타벅스더양평DTR점,경기 양평군 양근로 76-0,카페/찻집,75526
2,테라로사서종점,경기 양평군 북한강로 992-0,카페/찻집,50235
3,두물머리연핫도그,경기 양평군 두물머리길 103-8,간이음식,31012
4,하우스베이커리,경기 양평군 북한강로 684-0,간이음식,30905
5,옥천냉면황해식당본점,경기 양평군 고읍로 140-0,한식,26409
6,수수카페,경기 양평군 북한강로89번길 16-0,카페/찻집,23740
7,구벼울,경기 양평군 남한강변길 123-19,카페/찻집,21976
8,더그림,경기 양평군 사나사길 175-0,카페/찻집,21863
9,양평신내서울해장국본점,경기 양평군 신내길 16-0,한식,20135
10,박승광해물손칼국수서종직영점,경기 양평군 북한강로 962-0,한식,19704
11,내추럴가든529,경기 양평군 내수입길 108-8,카페/찻집,18341
12,양평광탄1991고바우설렁탕,경기 양평군 은고갯길 3-0,한식,17215
13,칸트의마을,경기 양평군 강남로 102-10,카페/찻집,15019
14,카페리노,경기 양평군 양수로152번길 32-1,카페/찻집,13838
15,연꽃언덕,경기 양평군 용늪언덕길 57-0,한식,12862
16,문릿,경기 양평군 덕촌길 101-0,카페/찻집,12461
17,대디스바베큐,경기 양평군 옥천문화마을3길 15-24,외국식,11597
18,계정횟집,경기 양평군 양서북로 666-13,외국식,11572
19,국수리국수집,경기 양평군 경강로 1061-0,한식,11394
20,강이다,경기 양평군 북한강로81번길 23-0,카페/찻집,10246
21,양수리빵공장,경기 양평군 양수로118번길 9-0,간이음식,10112
22,개군할머니토종순대국,경기 양평군 하자포길 29-0,한식,10109
23,투썸플레이스서종리버사이드점,경기 양평군 북한강로 983-0,카페/찻집,9746
24,한강민물장어,경기 양평군 양수로138번길 9-0,외국식,9653
25,소근리막국수,경기 양평군 소구니2길 5-0,한식,8209
26,카페무르,경기 양평군 강남로 379-0,카페/찻집,8052
27,스타벅스경기양평점,경기 양평군 시민로 75-0,카페/찻집,7888
28,참좋은생각[한식],경기 양평군 수대골길 45-0,한식,7813
