광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
경기도,화성시,7442830.0
경기도,평택시,1949506.0
경기도,수원시 권선구,1099856.0
경기도,수원시 영통구,668068.0
경기도,용인시 기흥구,594320.0
경기도,용인시 처인구,589210.0
경기도,수원시 팔달구,490252.0
경기도,수원시 장안구,452279.0
경기도,안성시,274727.0
경기도,용인시 수지구,230502.0
경기도,안산시 상록구,226710.0
경기도,성남시 분당구,224930.0
경기도,부천시,200000.0
경기도,시흥시,193123.0
경기도,안산시 단원구,185264.0
경기도,군포시,184078.0
경기도,광주시,179677.0
경기도,남양주시,142201.0
경기도,안양시 동안구,140371.0
경기도,안양시 만안구,116626.0
경기도,성남시 수정구,98512.0
경기도,광명시,97383.0
경기도,의왕시,94147.0
경기도,이천시,93834.0
경기도,김포시,91000.0
경기도,하남시,84458.0
경기도,의정부시,77120.0
경기도,파주시,76315.0
경기도,고양시 덕양구,75954.0
경기도,성남시 중원구,73927.0
경기도,구리시,48688.0
경기도,양주시,45773.0
경기도,고양시 일산동구,44854.0
경기도,고양시 일산서구,40271.0
경기도,여주시,38577.0
경기도,포천시,32048.0
경기도,양평군,30991.0
경기도,과천시,28065.0
경기도,가평군,14666.0
경기도,동두천시,14107.0
경기도,연천군,7205.0
서울특별시,송파구,149701.0
서울특별시,관악구,146956.0
서울특별시,강남구,137641.0
서울특별시,구로구,131444.0
서울특별시,영등포구,123359.0
서울특별시,강서구,115755.0
서울특별시,강동구,99350.0
서울특별시,동작구,98311.0
서울특별시,서초구,98299.0
서울특별시,금천구,92378.0
서울특별시,노원구,82402.0
서울특별시,양천구,78361.0
서울특별시,광진구,74145.0
서울특별시,은평구,71930.0
서울특별시,중랑구,68803.0
서울특별시,성북구,68709.0
서울특별시,마포구,65104.0
서울특별시,동대문구,63423.0
서울특별시,서대문구,57968.0
서울특별시,성동구,55598.0
서울특별시,강북구,51424.0
서울특별시,용산구,46889.0
서울특별시,도봉구,44075.0
서울특별시,종로구,28536.0
서울특별시,중구,26363.0
충청남도,천안시 서북구,200025.0
충청남도,아산시,196171.0
충청남도,천안시 동남구,120903.0
충청남도,당진시,66254.0
충청남도,서산시,45341.0
충청남도,홍성군,27650.0
충청남도,예산군,25935.0
충청남도,공주시,23368.0
충청남도,보령시,21213.0
충청남도,논산시,20485.0
충청남도,태안군,19549.0
충청남도,부여군,11781.0
충청남도,금산군,7788.0
충청남도,서천군,7778.0
충청남도,계룡시,6914.0
충청남도,청양군,5332.0
인천광역시,서구,109601.0
인천광역시,남동구,105784.0
인천광역시,부평구,92060.0
인천광역시,연수구,81813.0
인천광역시,미추홀구,77133.0
인천광역시,계양구,51489.0
인천광역시,중구,36847.0
인천광역시,강화군,9812.0
인천광역시,동구,7855.0
인천광역시,옹진군,4373.0
충청북도,청주시 흥덕구,65266.0
충청북도,음성군,53186.0
충청북도,청주시 청원구,49322.0
충청북도,충주시,46514.0
충청북도,청주시 서원구,44874.0
충청북도,진천군,35898.0
충청북도,청주시 상당구,26317.0
충청북도,제천시,20240.0
충청북도,괴산군,11250.0
충청북도,옥천군,9346.0
충청북도,증평군,8772.0
충청북도,영동군,8151.0
충청북도,보은군,5011.0
충청북도,단양군,4697.0
대전광역시,유성구,65079.0
대전광역시,서구,64306.0
대전광역시,동구,33286.0
대전광역시,대덕구,30066.0
대전광역시,중구,28914.0
강원도,원주시,50223.0
강원도,춘천시,27700.0
강원도,강릉시,26620.0
강원도,속초시,10474.0
강원도,평창군,10066.0
강원도,동해시,9643.0
강원도,횡성군,8992.0
강원도,홍천군,8981.0
강원도,삼척시,8026.0
강원도,철원군,7595.0
강원도,정선군,6638.0
강원도,화천군,5935.0
강원도,영월군,5792.0
강원도,고성군,5786.0
강원도,양양군,5094.0
강원도,태백시,4641.0
강원도,인제군,4581.0
강원도,양구군,2876.0
경상북도,구미시,37448.0
경상북도,경산시,19287.0
경상북도,김천시,15606.0
경상북도,경주시,15457.0
경상북도,포항시 북구,12620.0
경상북도,칠곡군,11834.0
경상북도,포항시 남구,11090.0
경상북도,안동시,9694.0
경상북도,영주시,9203.0
경상북도,상주시,7388.0
경상북도,문경시,6581.0
경상북도,영천시,6465.0
경상북도,예천군,5877.0
경상북도,울진군,4644.0
경상북도,봉화군,3312.0
경상북도,영덕군,3193.0
경상북도,성주군,2273.0
경상북도,청송군,2093.0
경상북도,청도군,2044.0
경상북도,의성군,1654.0
경상북도,고령군,1456.0
경상북도,군위군,1073.0
경상북도,영양군,865.0
경상북도,울릉군,841.0
전라북도,익산시,37922.0
전라북도,군산시,34480.0
전라북도,전주시 덕진구,31018.0
전라북도,전주시 완산구,29364.0
전라북도,완주군,14051.0
전라북도,정읍시,9386.0
전라북도,김제시,7453.0
전라북도,남원시,5908.0
전라북도,부안군,5270.0
전라북도,고창군,4642.0
전라북도,무주군,3334.0
전라북도,진안군,2258.0
전라북도,순창군,2159.0
전라북도,장수군,2129.0
전라북도,임실군,1278.0
경상남도,김해시,24170.0
경상남도,거제시,18557.0
경상남도,진주시,17213.0
경상남도,양산시,15518.0
경상남도,창원시 성산구,12368.0
경상남도,창원시 의창구,9414.0
경상남도,창원시 진해구,9198.0
경상남도,창원시 마산회원구,6863.0
경상남도,통영시,6853.0
경상남도,창원시 마산합포구,6628.0
경상남도,사천시,6348.0
경상남도,밀양시,4737.0
경상남도,거창군,4383.0
경상남도,창녕군,3718.0
경상남도,남해군,3230.0
경상남도,함양군,2992.0
경상남도,함안군,2736.0
경상남도,고성군,2068.0
경상남도,하동군,1772.0
경상남도,합천군,1730.0
경상남도,산청군,1412.0
경상남도,의령군,959.0
부산광역시,해운대구,15696.0
부산광역시,부산진구,13316.0
부산광역시,남구,10589.0
부산광역시,사하구,9909.0
부산광역시,북구,9513.0
부산광역시,금정구,9192.0
부산광역시,동래구,8894.0
부산광역시,강서구,8278.0
부산광역시,기장군,7982.0
부산광역시,사상구,7526.0
부산광역시,수영구,7426.0
부산광역시,연제구,7087.0
부산광역시,영도구,4372.0
부산광역시,서구,3672.0
부산광역시,동구,3085.0
부산광역시,중구,2154.0
전라남도,순천시,16542.0
전라남도,목포시,15452.0
전라남도,여수시,13770.0
전라남도,광양시,12363.0
전라남도,나주시,11498.0
전라남도,무안군,6517.0
전라남도,영암군,4696.0
전라남도,영광군,4379.0
전라남도,해남군,4335.0
전라남도,고흥군,4217.0
전라남도,장성군,3767.0
전라남도,완도군,3506.0
전라남도,화순군,3132.0
전라남도,담양군,3085.0
전라남도,신안군,2711.0
전라남도,곡성군,2648.0
전라남도,함평군,2621.0
전라남도,강진군,2533.0
전라남도,구례군,2439.0
전라남도,보성군,2276.0
전라남도,장흥군,2202.0
전라남도,진도군,1836.0
대구광역시,달서구,27792.0
대구광역시,북구,24164.0
대구광역시,동구,18602.0
대구광역시,수성구,18240.0
대구광역시,달성군,15797.0
대구광역시,남구,7221.0
대구광역시,서구,5704.0
대구광역시,중구,4467.0
광주광역시,광산구,36319.0
광주광역시,북구,28265.0
광주광역시,서구,17543.0
광주광역시,남구,10228.0
광주광역시,동구,6458.0
세종특별자치시,세종특별자치시,75870.0
제주특별자치도,제주시,33733.0
제주특별자치도,서귀포시,20067.0
울산광역시,울주군,11927.0
울산광역시,남구,10962.0
울산광역시,북구,7571.0
울산광역시,중구,7348.0
울산광역시,동구,6098.0
