순위,관광지명,주소,분류,현지인 검색 수
1,설봉공원,경기 이천시,도시공원,20653
2,비승대체력단련장,경기 이천시,육상레저스포츠,14813
3,CGV이천,경기 이천시 중리천로 58-0,공연시설,12005
4,비에이비스타CC,경기 이천시 어농로 272-0,육상레저스포츠,9504
5,미란다호텔,경기 이천시 중리천로115번길 45-0,호텔,8307
6,더크로스비GC,경기 이천시 중부대로798번길 177-0,육상레저스포츠,8057
7,예스파크,경기 이천시 도자예술로5번길 109-0,복합관광시설,7415
8,뉴스프링빌CC,경기 이천시 사실로527번길 158-0,육상레저스포츠,5893
9,롯데프리미엄아울렛이천점,경기 이천시 프리미엄아울렛로 177-74,쇼핑몰,5218
10,테르메덴,경기 이천시 사실로 984-0,웰니스관광,5110
11,이천실크밸리GC,경기 이천시 임오산로 296-0,육상레저스포츠,4994
12,관고전통시장,경기 이천시 중리천로31번길 22-0,시장,4890
13,마이다스레이크이천 골프앤리조트,경기 이천시 설가로 602-0,육상레저스포츠,4607
14,웰링턴CC,경기 이천시 사실로725번길 119-73,육상레저스포츠,4507
15,청암관광농원,경기 이천시 황무로1720번길 74-0,농/산/어촌체험,4491
16,사우스스프링스CC,경기 이천시 공원로 64-0,육상레저스포츠,4481
17,H1CLUB,경기 이천시 장자터로 115-0,육상레저스포츠,4405
18,호텔인트라다이천,경기 이천시 경충대로2092번길 23-0,호텔,3784
19,지산포레스트리조트스키장,경기 이천시 지산로 267-0,육상레저스포츠,3658
20,호국상승사,경기 이천시 경충대로597번길 57-128,종교성지,3577
21,사자체력단련장,경기 이천시 억만리로 51-0,육상레저스포츠,3572
22,시몬스테라스점,경기 이천시 사실로 988-0,기타문화관광지,3475
23,별빛정원우주,경기 이천시 덕이로154번길 287-76,기타관광,3332
24,블랙스톤이천GC,경기 이천시 장여로 459-160,육상레저스포츠,3116
25,덕평공룡수목원,경기 이천시 작촌로 282-0,기타관광,2737
26,이천설봉온천랜드,경기 이천시 애련정로 67-16,웰니스관광,2594
27,도드람테마파크,경기 이천시 경충대로 1917-0,기타관광,2228
28,글로리아호텔,경기 이천시 경충대로 2584-0,모텔,2146
29,에덴파라다이스호텔,경기 이천시 서이천로 449-79,호텔,2053
30,이천아트홀,경기 이천시 부악로 40-0,공연시설,2039
31,더반GC,경기 이천시 대월로 627-141,육상레저스포츠,1983
32,장호원전통시장,경기 이천시 서동대로8965번길 36-0,시장,1917
