유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
경기도 안성시 , 경기도 평택시,22.0,1
경기도 화성시 , 경기도 평택시,16.5,1
충청남도 아산시 , 경기도 평택시,8.1,1
경기도 오산시 , 경기도 평택시,7.2,1
충청남도 천안시 서북구 , 경기도 평택시,6.0,1
경기도 용인시 처인구 , 경기도 평택시,2.9,1
경기도 용인시 기흥구 , 경기도 평택시,2.8,1
충청남도 당진시 , 경기도 평택시,2.5,1
경기도 수원시 권선구 , 경기도 평택시,2.2,1
충청남도 천안시 동남구 , 경기도 평택시,1.9,1
경기도 수원시 영통구 , 경기도 평택시,1.7,1
경기도 성남시 분당구 , 경기도 평택시,1.0,1
경기도 수원시 팔달구 , 경기도 평택시,1.0,1
경기도 시흥시 , 경기도 평택시,1.0,1
경기도 안산시 상록구 , 경기도 평택시,0.9,1
서울특별시 서초구 , 경기도 평택시,0.8,1
경기도 수원시 장안구 , 경기도 평택시,0.7,1
경기도 용인시 수지구 , 경기도 평택시,0.7,1
경기도 안산시 단원구 , 경기도 평택시,0.7,1
서울특별시 강남구 , 경기도 평택시,0.7,1
 경기도 평택시,경기도 안성시,24.9,2
 경기도 평택시,경기도 화성시,12.6,2
 경기도 평택시,경기도 오산시,8.7,2
 경기도 평택시,충청남도 아산시,7.8,2
 경기도 평택시,충청남도 천안시 서북구,3.9,2
 경기도 평택시,충청남도 당진시,3.4,2
 경기도 평택시,경기도 용인시 기흥구,3.3,2
 경기도 평택시,경기도 용인시 처인구,1.9,2
 경기도 평택시,충청남도 천안시 동남구,1.9,2
 경기도 평택시,경기도 수원시 영통구,1.8,2
 경기도 평택시,경기도 수원시 팔달구,1.5,2
 경기도 평택시,경기도 수원시 권선구,1.4,2
 경기도 평택시,충청남도 서산시,1.2,2
 경기도 평택시,충청남도 태안군,1.0,2
 경기도 평택시,경기도 이천시,0.9,2
 경기도 평택시,경기도 시흥시,0.8,2
 경기도 평택시,경기도 성남시 분당구,0.8,2
 경기도 평택시,서울특별시 강남구,0.7,2
 경기도 평택시,경기도 안산시 단원구,0.7,2
 경기도 평택시,충청남도 보령시,0.7,2
