순위,관광지명,주소,분류,외지인 검색 수
1,스타필드하남,경기 하남시 미사대로 750-0,쇼핑몰,153399
2,미사리경정공원,경기 하남시 미사대로 505-0,도시공원,99988
3,캐슬렉스서울GC,경기 하남시 감이로 317-0,육상레저스포츠,58005
4,하남미사리카누경기장,경기 하남시 미사대로 505-0,수상레저스포츠,33501
5,주렁주렁하남점,경기 하남시 하남유니온로 120-0,테마공원,29765
6,하남수산물시장,경기 하남시 안터로 0-0,시장,29283
7,덕풍전통시장,경기 하남시 수리북로 26-0,시장,26811
8,스타필드시티위례,경기 하남시 위례대로 200-0,쇼핑몰,26667
9,롯데시네마하남미사,경기 하남시 미사대로 520-0,공연시설,20151
10,CGV하남미사,경기 하남시 미사강변동로 95-0,공연시설,15532
11,하남나무고아원,경기 하남시,테마공원,15283
12,그랑파사쥬,경기 하남시 미사강변동로 95-0,쇼핑몰,13782
13,캐슬렉스이성대골프연습장,경기 하남시 감이로 317-0,육상레저스포츠,13780
14,신장시장,경기 하남시 신평로 52-1,시장,11746
15,쥬라리움하남점,경기 하남시 미사대로 410-0,테마공원,11719
16,메가박스미사강변,경기 하남시 미사강변중앙로 218-0,공연시설,11098
17,고골낚시터,경기 하남시 서하남로418번길 29-0,수상레저스포츠,10751
18,유니온파크,경기 하남시,도시공원,10435
19,하남아이스링크,경기 하남시 미사강변대로34번길 120-0,기타레저스포츠,9008
20,미사호수공원,경기 하남시,도시공원,8655
21,트레비엔호텔,경기 하남시 미사강변중앙로 164-0,모텔,7285
22,신장전통시장,경기 하남시 신장1로3번길 42-0,시장,6262
23,배다리낚시터,경기 하남시,수상레저스포츠,5389
24,호텔알로하,경기 하남시 하남대로776번길 84-0,모텔,5204
25,호텔루시,경기 하남시 하남대로776번길 14-30,모텔,4884
26,바운스슈퍼파크하남센터,경기 하남시 미사강변한강로 135-0,테마공원,4809
27,호텔씨엘,경기 하남시 대청로22번길 9-9,모텔,4594
28,메가박스하남스타필드,경기 하남시 미사대로 750-0,공연시설,4369
29,아크모스호텔,경기 하남시 미사강변중앙로 164-0,호텔,4216
30,앨리스넥스트도어호텔,경기 하남시 미사강변중앙로170번길 10-0,모텔,4202
31,미사한강공원4호,경기 하남시 미사강변한강로 111-0,도시공원,4027
32,유니온타워,경기 하남시 미사대로 710-0,랜드마크관광,3991
33,검단산숲에 캠핑장,경기 하남시 검단산로146번길 80-0,캠핑,3782
34,ICEBOX,경기 하남시 미사강변한강로 327-0,육상레저스포츠,3675
35,송파하남어린이천문대,경기 하남시 검단산로250번길 36-0,랜드마크관광,3620
36,CGV스타필드시티위례,경기 하남시 위례대로 200-0,공연시설,3573
37,한사랑풋살장제1구장하남점,경기 하남시 천호대로1358번길 35-44,기타레저스포츠,3535
38,미사한강공원2호,경기 하남시 미사강변한강로 45-0,도시공원,3368
39,덕풍공원,경기 하남시,도시공원,3224
40,미사리조정경기장운영동,경기 하남시 미사대로 505-0,기타레저스포츠,3128
41,스포츠몬스터스타필드하남점,경기 하남시 미사대로 750-0,기타레저스포츠,3039
42,그랜드윈저호텔,경기 하남시 하남대로776번길 88-0,호텔,3022
43,호텔바움,경기 하남시 하남대로776번길 54-0,호텔,2854
44,하남역사박물관,경기 하남시 덕풍동로 30-0,전시시설,2825
45,하남시청소년수련관,경기 하남시 조정대로 111-0,육상레저스포츠,2814
46,미사리승마공원,경기 하남시 미사동로37번길 175-0,육상레저스포츠,2772
47,검단산,경기 하남시,자연경관(산),2695
