순위,관광지명,주소,분류,현지인 검색 수
1,스타필드하남,경기 하남시 미사대로 750-0,쇼핑몰,24551
2,미사리경정공원,경기 하남시 미사대로 505-0,도시공원,22007
3,덕풍전통시장,경기 하남시 수리북로 26-0,시장,19205
4,그랑파사쥬,경기 하남시 미사강변동로 95-0,쇼핑몰,15719
5,롯데시네마하남미사,경기 하남시 미사대로 520-0,공연시설,12855
6,캐슬렉스서울GC,경기 하남시 감이로 317-0,육상레저스포츠,11952
7,하남수산물시장,경기 하남시 안터로 0-0,시장,10848
8,하남미사리카누경기장,경기 하남시 미사대로 505-0,수상레저스포츠,10245
9,메가박스미사강변,경기 하남시 미사강변중앙로 218-0,공연시설,8777
10,CGV하남미사,경기 하남시 미사강변동로 95-0,공연시설,8734
11,신장시장,경기 하남시 신평로 52-1,시장,6847
12,유니온파크,경기 하남시,도시공원,5938
13,하남나무고아원,경기 하남시,테마공원,5285
14,스타필드시티위례,경기 하남시 위례대로 200-0,쇼핑몰,4661
15,고골낚시터,경기 하남시 서하남로418번길 29-0,수상레저스포츠,4082
16,신장전통시장,경기 하남시 신장1로3번길 42-0,시장,3965
17,캐슬렉스이성대골프연습장,경기 하남시 감이로 317-0,육상레저스포츠,3754
18,주렁주렁하남점,경기 하남시 하남유니온로 120-0,테마공원,3652
19,하남시청소년수련관,경기 하남시 조정대로 111-0,육상레저스포츠,3490
20,쥬라리움하남점,경기 하남시 미사대로 410-0,테마공원,2975
21,덕풍공원,경기 하남시,도시공원,2967
22,미사호수공원,경기 하남시,도시공원,2445
23,송파하남어린이천문대,경기 하남시 검단산로250번길 36-0,랜드마크관광,2434
24,하남아이스링크,경기 하남시 미사강변대로34번길 120-0,기타레저스포츠,2308
25,유니온타워,경기 하남시 미사대로 710-0,랜드마크관광,2216
26,트레비엔호텔,경기 하남시 미사강변중앙로 164-0,모텔,1919
27,효성자원지사,경기 하남시 초광로294번길 50-59,기타쇼핑시설,1874
28,배다리낚시터,경기 하남시,수상레저스포츠,1833
29,하남역사박물관,경기 하남시 덕풍동로 30-0,전시시설,1686
30,검단산숲에 캠핑장,경기 하남시 검단산로146번길 80-0,캠핑,1453
31,정심사,경기 하남시 검단산로124번길 92-0,종교성지,1417
32,바운스슈퍼파크하남센터,경기 하남시 미사강변한강로 135-0,테마공원,1408
33,광주향교,경기 하남시 대성로 126-13,역사유적지,1336
34,아크모스호텔,경기 하남시 미사강변중앙로 164-0,호텔,1273
35,미사한강공원4호,경기 하남시 미사강변한강로 111-0,도시공원,1237
36,호텔알로하,경기 하남시 하남대로776번길 84-0,모텔,1215
37,호텔바움,경기 하남시 하남대로776번길 54-0,호텔,1133
38,앨리스넥스트도어호텔,경기 하남시 미사강변중앙로170번길 10-0,모텔,1094
39,호텔씨엘,경기 하남시 대청로22번길 9-9,모텔,1057
40,미사리경정장,경기 하남시 미사대로 505-0,수상레저스포츠,1016
41,미사리조정경기장운영동,경기 하남시 미사대로 505-0,기타레저스포츠,1009
42,킹콩백화점하남점,경기 하남시 감초로 64-0,기타쇼핑시설,977
43,다이소미사조정경기장점,경기 하남시 미사대로 456-0,기타쇼핑시설,961
44,자연수산유통,경기 하남시 하남대로 609-0,시장,914
45,스킬턴,경기 하남시 서하남로43번길 105-0,기타레저스포츠,910
46,호텔루시,경기 하남시 하남대로776번길 14-30,모텔,893
47,검단산,경기 하남시,자연경관(산),870
48,ICEBOX,경기 하남시 미사강변한강로 327-0,육상레저스포츠,862
49,다이소미사점,경기 하남시 미사강변대로226번길 80-0,기타쇼핑시설,859
50,미사리승마공원,경기 하남시 미사동로37번길 175-0,육상레저스포츠,777
51,블루코트배드민턴,경기 하남시 산곡로19번길 28-42,기타레저스포츠,774
52,메가박스하남스타필드,경기 하남시 미사대로 750-0,공연시설,759
53,미사한강공원2호,경기 하남시 미사강변한강로 45-0,도시공원,743
54,롤링팝롤러스케이트장,경기 하남시 미사강변중앙로170번길 10-0,육상레저스포츠,700
55,한사랑풋살장제1구장하남점,경기 하남시 천호대로1358번길 35-44,기타레저스포츠,660
56,그랜드윈저호텔,경기 하남시 하남대로776번길 88-0,호텔,642
57,V10클라이밍하남미사점,경기 하남시 미사강변동로 81-0,기타레저스포츠,612
58,선동야구장,경기 하남시,레저스포츠시설,601
59,동명사,경기 하남시 천호대로1358번길 144-31,종교성지,531
60,이성산성경관광장,경기 하남시,기타관광,505
61,도깨비시장,경기 하남시 초광로 211-1,기타쇼핑시설,490
62,하야트모텔,경기 하남시 대성로319번길 26-0,모텔,480
63,글로벌마켓,경기 하남시 천현로 146-3,기타쇼핑시설,468
64,브이에이스튜디오하남1_2,경기 하남시 미사강변한강로 325-0,공연시설,457
65,평화의 소녀상,경기 하남시,역사유물,453
66,이두열테니스아카데미,경기 하남시 초이로 52-2,기타레저스포츠,442
