순위,관광지명,주소,분류,외지인 검색 수
1,클럽디거창CC,경남 거창군 감악산로 398-0,육상레저스포츠,21207
2,우두산출렁다리,경남 거창군 의상봉길 830-0,기타관광,16978
3,거창창포원,경남 거창군 창포원길 21-1,테마공원,14523
4,수승대,경남 거창군 황산1길 60-6,기타관광,13265
5,감악산풍력단지,경남 거창군,기타관광,11822
6,백두산천지온천,경남 거창군 온천길 161-0,웰니스관광,9244
7,거창전통시장,경남 거창군 중앙로 140-0,시장,7980
8,거창항노화힐링랜드,경남 거창군,자연공원,5973
9,금원산자연휴양림,경남 거창군 금원산길 471-27,자연공원,5814
10,거창Y자형출렁다리,경남 거창군 의상봉길 830-0,기타관광,5608
11,감악산,경남 거창군,자연경관(산),5241
12,감악산전망대,경남 거창군,랜드마크관광,4963
13,에콜리안거창CC,경남 거창군 우륵길 410-284,육상레저스포츠,4657
14,오도산전망대,경남 거창군,랜드마크관광,4500
15,민들레울,경남 거창군 덕유월성로 2188-0,농/산/어촌체험,3769
16,월성계곡,경남 거창군,자연경관(산),3207
17,모텔WHO,경남 거창군 대평5길 51-0,모텔,2985
18,수승대썰매장,경남 거창군 은하리길 43-101,육상레저스포츠,2521
19,고견사,경남 거창군 의상봉길 1049-0,종교성지,2207
20,수승대국민관광지,경남 거창군,복합관광시설,2192
21,우두산출렁다리,경남 거창군 의상봉길 834-0,기타관광,2099
22,거창서핑파크,경남 거창군 거차1길 23-18,기타레저스포츠,2045
23,거창Y자형출렁다리,경남 거창군 의상봉길 834-0,기타관광,2019
24,패밀리관광호텔가조,경남 거창군 온천길 108-11,호텔,1945
25,거창스포츠파크,경남 거창군 심소정길 39-36,도시공원,1713
26,거창은행나무길,경남 거창군,기타관광,1525
27,양지생태마을캠핑장,경남 거창군 진산길 157-0,캠핑,1294
28,거창국민여가캠핑장미리내숲,경남 거창군 덕유월성로 1312-96,캠핑,1195
29,우두산,경남 거창군,자연경관(산),1125
30,병곡달빛고운캠핑장,경남 거창군 병곡길 447-11,캠핑,1095
31,월성오토캠핑장,경남 거창군 덕유월성로 1588-9,캠핑,969
32,주은자연휴양림,경남 거창군 덕유월성로 1642-0,자연공원,961
33,연수사,경남 거창군 연수사길 115-103,종교성지,934
34,파타야모텔,경남 거창군 대평4길 45-0,모텔,825
35,씨에프모텔,경남 거창군 대평4길 42-0,모텔,802
36,봉스글램핑,경남 거창군 풍계1길 27-71,캠핑,795
37,거창월성우주창의과학관,경남 거창군 덕유월성로 1312-96,전시시설,743
38,타이밍모텔,경남 거창군 아림로 16-7,모텔,712
39,덕천서원,경남 거창군 장팔길 594-0,역사유적지,707
40,강가민박,경남 거창군 덕유월성로 2123-15,펜션/민박,702
41,수승대오토캠핑장,경남 거창군 은하리길 2-0,캠핑,697
42,우두령펜션,경남 거창군 어인안길 56-111,펜션/민박,696
43,거창문화원,경남 거창군 수남로 2193-40,교육시설,692
44,두바이모텔,경남 거창군 중앙로 154-10,모텔,676
45,거창허브빌리지,경남 거창군 지산로 1244-0,농/산/어촌체험,643
46,휴일엔펜션&캠핑,경남 거창군 병곡길 187-0,펜션/민박,639
47,송계사,경남 거창군 송계사길 321-0,종교성지,630
48,황산전통한옥마을,경남 거창군,역사유적지,609
49,자바모텔,경남 거창군 거안로 1052-0,모텔,579
50,엔터모텔,경남 거창군 거창대로3길 10-0,모텔,576
51,천오모텔,경남 거창군 거창대로3길 11-0,모텔,545
52,풍차마을펜션,경남 거창군 덕유월성로 1928-43,펜션/민박,542
53,가북저수지,경남 거창군,자연경관(하천/해양),531
54,감악산항노화웰니스체험장,경남 거창군,기타관광,529
55,그랜드모텔,경남 거창군 시장3길 14-0,모텔,506
56,황실모텔,경남 거창군 대평2길 72-0,모텔,490
57,사과테마파크,경남 거창군 거함대로 3372-60,테마공원,477
58,제이호텔,경남 거창군 온천길 27-17,모텔,470
59,롯데시네마거창,경남 거창군 중앙로1길 1-0,공연시설,452
60,A글램핑,경남 거창군 세동길 13-0,캠핑,437
61,붓다선원,경남 거창군 개화길 397-115,종교성지,417
62,산울림,경남 거창군 계수나무길 362-0,펜션/민박,412
63,산중토방펜션,경남 거창군 송계사길 76-0,펜션/민박,410
64,여기무인텔,경남 거창군 밤티재로 1236-27,모텔,391
65,거창동계종택,경남 거창군 강동1길 13-0,역사유적지,381
66,수승대체험휴양마을,경남 거창군 원학길 404-0,농/산/어촌체험,379
67,포도송이펜션,경남 거창군 누룩재길 106-22,펜션/민박,377
68,거창박물관,경남 거창군 수남로 2181-0,전시시설,350
69,주은오토캠핑장,경남 거창군 덕유월성로 1642-0,캠핑,337
69,서덕공원,경남 거창군,도시공원,337
71,거창항노화힐링랜드,경남 거창군 의상봉길 830-0,자연공원,310
72,아모르펜션,경남 거창군 병곡길 325-0,펜션/민박,302
73,피쉬월드,경남 거창군 무릉4길 88-82,농/산/어촌체험,279
74,병아리펜션,경남 거창군 원동길 99-89,펜션/민박,257
74,수포대,경남 거창군,자연경관(산),257
76,거창축협가축시장,경남 거창군 수남로 1660-0,시장,254
77,월성무지개펜션캠핑,경남 거창군 달맞이길 157-0,펜션/민박,234
78,용원정,경남 거창군 고학길 22-0,역사유적지,230
79,만남의광장,경남 거창군,도시공원,229
80,거암펜션,경남 거창군 송계로 589-0,펜션/민박,228
81,다이소거창대동점,경남 거창군 거창대로 59-0,기타쇼핑시설,216
82,가조계곡,경남 거창군 의상봉길 830-0,자연경관(산),211
83,수망령,경남 거창군,자연경관(산),209
84,늘예솔글램핑,경남 거창군 덕유월성로 1384-5,캠핑,207
85,산중오토캠핑장,경남 거창군 송계사길 63-107,캠핑,198
86,물소리펜션,경남 거창군 산수길 13-291,펜션/민박,192
87,한들파크장,경남 거창군 창동로 77-0,모텔,191
88,덕유산병곡펜션,경남 거창군 병곡길 293-61,펜션/민박,179
89,M모텔,경남 거창군 온천길 36-0,모텔,177
90,사선대황토펜션,경남 거창군 덕유월성로 1278-0,펜션/민박,176
91,갈계숲,경남 거창군,도시공원,170
92,하온비펜션,경남 거창군 병곡길 305-0,펜션/민박,162
93,빙기실농촌체험마을,경남 거창군 병곡길 448-0,농/산/어촌체험,161
94,샵모텔,경남 거창군 대평4길 39-0,모텔,159
95,타임스테이펜션,경남 거창군 강선대길 20-15,펜션/민박,158
95,장풍숲,경남 거창군,기타관광,158
97,스토리타운펜션,경남 거창군 덕유월성로 2224-0,펜션/민박,155
98,마이다스온천모텔,경남 거창군 온천길 44-0,모텔,150
98,백두대간생태교육장,경남 거창군 빼재로 2325-0,기타관광,150
100,거창서핑파크리조트&글램핑,경남 거창군 거차1길 23-18,콘도미니엄,149
