순위,관광지명,주소,분류
1,거창창포원,경남 거창군 창포원길 21-1,휴양관광지
2,수승대,경남 거창군 황산1길 60-6,기타관광지
3,감악산풍력단지,경남 거창군,기타관광지
4,우두산출렁다리,경남 거창군 의상봉길 830-0,기타관광지
5,거창전통시장,경남 거창군 중앙로 140-0,쇼핑
6,백두산천지온천,경남 거창군 온천길 161-0,휴양관광지
7,거창시장,경남 거창군 중앙로 140-0,쇼핑
8,거창창포원,경남 거창군 창포원길 21-1,문화관광
9,감악산전망대,경남 거창군,기타관광지
10,민들레울,경남 거창군 덕유월성로 2188-0,레포츠(육상/해상/항공)
11,감악산,경남 거창군,자연관광지
12,거창Y자형출렁다리,경남 거창군 의상봉길 830-0,기타관광지
13,수승대,경남 거창군 황산1길 60-6,기타관광
14,거창은행나무길,경남 거창군,기타관광지
15,금원산자연휴양림,경남 거창군 금원산길 471-27,자연관광지
16,오도산전망대,경남 거창군,기타관광지
17,거창항노화힐링랜드,경남 거창군,자연관광지
18,우두산출렁다리,경남 거창군 의상봉길 830-0,기타관광
19,우두산출렁다리,경남 거창군,기타관광지
20,클럽디거창CC,경남 거창군 감악산로 398-0,레포츠(육상/해상/항공)
21,백두산천지온천,경남 거창군 온천길 161-0,체험관광
22,다이소/거창대동점,경남 거창군 거창대로 59-0,쇼핑
23,수승대국민관광지,경남 거창군,기타관광지
24,거창서핑파크,경남 거창군 거차1길 23-18,레포츠(육상/해상/항공)
25,월성계곡,경남 거창군,자연관광지
26,아림식자재마트,경남 거창군 수남로 2233-0,쇼핑
27,황산전통한옥마을,경남 거창군,역사관광지
28,이수미팜베리,경남 거창군 갈지길 261-40,쇼핑
29,거창항노화힐링랜드,경남 거창군,자연관광
30,연수사,경남 거창군 연수사길 115-103,역사관광지
31,민들레울,경남 거창군 덕유월성로 2188-0,체험관광
32,금원산자연휴양림,경남 거창군 금원산길 471-27,자연관광
33,하나로마트/거창축협본점,경남 거창군 강변로8길 32-22,쇼핑
34,수승대썰매장,경남 거창군 은하리길 43-101,레포츠(육상/해상/항공)
35,다이소/거창상림점,경남 거창군 상동길 12-0,쇼핑
36,하나로마트/거창사과농협본점,경남 거창군 수남로 2241-0,쇼핑
37,덕천서원,경남 거창군 장팔길 594-0,역사관광지
38,사과테마파크,경남 거창군 거함대로 3372-60,휴양관광지
39,거창허브빌리지,경남 거창군 지산로 1244-0,체험관광
40,거창Y자형출렁다리,경남 거창군 의상봉길 830-0,기타관광
41,하나로마트,경남 거창군 중앙로 189-0,쇼핑
42,하나로마트/동거창농협본점,경남 거창군 지산로 1462-0,쇼핑
43,고견사,경남 거창군 의상봉길 1049-0,역사관광지
44,감악산풍력단지,경남 거창군,기타관광
45,감악산항노화웰니스체험장,경남 거창군,기타관광지
46,하나로마트/거창축협,경남 거창군 새동네2길 37-0,쇼핑
47,에콜리안거창CC,경남 거창군 우륵길 410-284,레포츠(육상/해상/항공)
48,클럽디거창CC,경남 거창군 감악산로 398-0,레저스포츠
49,용원정,경남 거창군 고학길 22-0,기타관광지
50,거창스포츠파크,경남 거창군 심소정길 39-36,자연관광지
51,하나로마트/수승대농협북상점,경남 거창군 송계로 717-0,쇼핑
52,거창Y자형출렁다리,경남 거창군 의상봉길 834-0,기타관광
53,거창월성우주창의과학관,경남 거창군 덕유월성로 1312-96,문화시설
54,이마트24/거창수승대점,경남 거창군 송계로 358-0,쇼핑
55,거창항노화힐링랜드,경남 거창군 의상봉길 830-0,자연관광지
56,수승대국민관광지,경남 거창군,문화관광
57,거창박물관,경남 거창군 수남로 2181-0,문화시설
58,하나로마트/수승대농협본점,경남 거창군 장터길 31-0,쇼핑
59,오도산전망대,경남 거창군,문화관광
60,감악산전망대,경남 거창군,문화관광
61,주은자연휴양림,경남 거창군 덕유월성로 1642-0,자연관광지
62,수승대할인마트,경남 거창군 원학길 342-0,쇼핑
63,갈계숲,경남 거창군,자연관광지
64,세븐일레븐/거창수승대점,경남 거창군 송계로 441-0,쇼핑
65,황산전통한옥마을,경남 거창군,역사관광
66,용원정쌀다리,경남 거창군,기타관광지
67,거창동계종택,경남 거창군 강동1길 13-0,역사관광지
68,월성계곡,경남 거창군,자연관광
69,수승대체험휴양마을,경남 거창군 원학길 404-0,기타관광지
70,삼성전자서비스/거창센터,경남 거창군 거열로 118-0,쇼핑
