광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
경상남도,함안군,343711.0
경상남도,진주시,315058.0
경상남도,창원시 마산회원구,299754.0
경상남도,창원시 의창구,226010.0
경상남도,창원시 성산구,209539.0
경상남도,김해시,196444.0
경상남도,창원시 마산합포구,167492.0
경상남도,합천군,121097.0
경상남도,창녕군,83110.0
경상남도,창원시 진해구,70045.0
경상남도,양산시,55518.0
경상남도,거제시,51860.0
경상남도,산청군,39085.0
경상남도,사천시,33370.0
경상남도,밀양시,26311.0
경상남도,통영시,21299.0
경상남도,고성군,14439.0
경상남도,거창군,11952.0
경상남도,함양군,11303.0
경상남도,하동군,7771.0
경상남도,남해군,6518.0
부산광역시,북구,70089.0
부산광역시,부산진구,65975.0
부산광역시,사하구,53002.0
부산광역시,해운대구,52717.0
부산광역시,남구,50766.0
부산광역시,사상구,50193.0
부산광역시,동래구,49915.0
부산광역시,금정구,42896.0
부산광역시,연제구,37020.0
부산광역시,강서구,32551.0
부산광역시,수영구,28060.0
부산광역시,기장군,20073.0
부산광역시,서구,14808.0
부산광역시,동구,13679.0
부산광역시,영도구,13383.0
부산광역시,중구,7122.0
대구광역시,달서구,47295.0
대구광역시,달성군,42614.0
대구광역시,북구,33623.0
대구광역시,수성구,18951.0
대구광역시,동구,16271.0
대구광역시,서구,10871.0
대구광역시,남구,10057.0
대구광역시,중구,5430.0
경기도,화성시,8341.0
경기도,용인시 기흥구,6407.0
경기도,평택시,6173.0
경기도,부천시,4903.0
경기도,남양주시,4895.0
경기도,성남시 분당구,4418.0
경기도,광주시,3795.0
경기도,시흥시,3560.0
경기도,용인시 수지구,3478.0
경기도,김포시,3281.0
경기도,고양시 일산동구,3246.0
경기도,수원시 영통구,3089.0
경기도,의정부시,2822.0
경기도,안산시 단원구,2808.0
경기도,안성시,2803.0
경기도,안양시 동안구,2756.0
경기도,고양시 덕양구,2706.0
경기도,용인시 처인구,2624.0
경기도,수원시 권선구,2455.0
경기도,파주시,2410.0
경기도,안산시 상록구,2216.0
경기도,하남시,2201.0
경기도,이천시,2169.0
경기도,군포시,2130.0
경기도,수원시 장안구,2011.0
경기도,오산시,2008.0
경기도,광명시,1949.0
경기도,포천시,1870.0
경기도,구리시,1779.0
경기도,성남시 수정구,1778.0
경기도,안양시 만안구,1742.0
경기도,고양시 일산서구,1719.0
경기도,양주시,1666.0
경기도,수원시 팔달구,1283.0
경기도,과천시,1264.0
경기도,의왕시,1225.0
경기도,여주시,1133.0
경기도,성남시 중원구,1018.0
경기도,양평군,842.0
경기도,가평군,576.0
경기도,동두천시,528.0
경기도,연천군,266.0
경상북도,경산시,16009.0
경상북도,구미시,13567.0
경상북도,경주시,8125.0
경상북도,포항시 북구,6823.0
경상북도,칠곡군,5890.0
경상북도,포항시 남구,5879.0
경상북도,고령군,5369.0
경상북도,김천시,4381.0
경상북도,청도군,3334.0
경상북도,영천시,3096.0
경상북도,성주군,3059.0
경상북도,안동시,2978.0
경상북도,영주시,2381.0
경상북도,상주시,2254.0
경상북도,문경시,1157.0
경상북도,의성군,1111.0
경상북도,예천군,1047.0
경상북도,울진군,791.0
경상북도,영양군,724.0
경상북도,군위군,700.0
경상북도,영덕군,654.0
경상북도,청송군,578.0
경상북도,울릉군,538.0
경상북도,봉화군,501.0
서울특별시,송파구,6994.0
서울특별시,관악구,6028.0
서울특별시,강동구,5642.0
서울특별시,강남구,4607.0
서울특별시,성북구,4580.0
서울특별시,동작구,4506.0
서울특별시,강서구,3986.0
서울특별시,노원구,3903.0
서울특별시,서대문구,3879.0
서울특별시,영등포구,3786.0
서울특별시,광진구,3517.0
서울특별시,은평구,3437.0
서울특별시,서초구,3339.0
서울특별시,동대문구,3176.0
서울특별시,마포구,3087.0
서울특별시,성동구,3006.0
서울특별시,구로구,2932.0
서울특별시,양천구,2478.0
서울특별시,금천구,2126.0
서울특별시,중랑구,2113.0
서울특별시,강북구,1953.0
서울특별시,종로구,1842.0
서울특별시,도봉구,1668.0
서울특별시,용산구,1552.0
서울특별시,중구,934.0
