순위,관광지명,주소,분류,현지인 검색 수
1,동훈힐마루CC,경남 창녕군 영산계성로 469-195,육상레저스포츠,3773
2,부곡하와이(폐장),경남 창녕군 온천중앙로 77-0,복합관광시설,2229
3,부곡CC,경남 창녕군 온천로 445-0,육상레저스포츠,1767
4,남지체육공원,경남 창녕군,도시공원,1269
5,산토끼노래동산,경남 창녕군 이방로 623-0,도시공원,966
6,부곡온천,경남 창녕군,웰니스관광,961
7,우포늪,경남 창녕군,자연경관(하천/해양),824
8,우포늪생태관,경남 창녕군 우포늪길 220-0,전시시설,693
9,우포잠자리나라,경남 창녕군 우포2로 333-0,전시시설,525
10,창녕낙동강유채축제,경남 창녕군,기타문화관광지,504
11,해드림,경남 창녕군 명리공단길 46-0,시장,503
12,컨티뉴호텔,경남 창녕군 대합산업단지로 119-9,호텔,405
13,부곡로얄관광호텔,경남 창녕군 온천중앙로 3-0,호텔,369
14,관룡사,경남 창녕군 화왕산관룡사길 171-0,종교성지,315
14,창녕박물관,경남 창녕군 창밀로 34-0,전시시설,315
16,우포늪생태체험장,경남 창녕군 우포2로 370-0,전시시설,312
17,창녕공설시장,경남 창녕군 창녕시장길 66-0,시장,276
18,삼성온천호텔,경남 창녕군 온천중앙로 12-0,모텔,275
19,부곡스파디움따오기호텔,경남 창녕군 온천중앙로 42-0,호텔,242
20,이방시장,경남 창녕군 이방대합로 353-0,시장,233
21,영산만년교,경남 창녕군 원다리길 42-0,역사유적지,218
22,연지못,경남 창녕군,자연경관(하천/해양),215
22,화왕산군립공원,경남 창녕군,자연공원,215
24,화왕산군립공원자하곡매표소,경남 창녕군 자하곡길 10-0,자연공원,210
25,화왕산자연휴양림,경남 창녕군 청간길 128-126,자연공원,208
26,해드림푸드,경남 창녕군 경남대로 4897-41,시장,194
27,창녕우포승마장,경남 창녕군 우포2로 864-0,육상레저스포츠,189
28,남지개비리길,경남 창녕군,기타레저스포츠,172
29,우포생태촌,경남 창녕군 우포2로 330-0,호스텔,168
30,크라운호텔,경남 창녕군 온천로 634-13,호텔,167
31,화왕산SPA호텔,경남 창녕군 온천1길 3-0,호텔,165
32,남지시장,경남 창녕군 본동길 4-0,시장,160
33,하이츠호텔,경남 창녕군 남지중앙1길 47-9,모텔,159
34,이방농협농산물공판장,경남 창녕군 이방로 946-0,시장,149
35,창녕시장,경남 창녕군 창녕대로 10-0,시장,147
36,법성사,경남 창녕군 계성화왕산로 187-0,종교성지,145
37,박진전쟁기념관,경남 창녕군 월상길 27-0,전시시설,142
38,키즈스테이호텔인부곡,경남 창녕군 온천2길 48-0,호텔,136
39,부곡온천르네상스관,경남 창녕군 원앙로 218-0,전시시설,133
40,한성호텔,경남 창녕군 온천중앙로 47-0,호텔,131
41,K모텔,경남 창녕군 온천2길 20-0,모텔,124
42,우포출렁다리,경남 창녕군,기타레저스포츠,122
43,캣츠무인호텔,경남 창녕군 경남대로 5746-0,모텔,118
43,옥천계곡,경남 창녕군,자연경관(산),118
45,토마토호텔,경남 창녕군 남지중앙1길 53-3,모텔,107
46,CF모텔,경남 창녕군 남지중앙1길 47-7,모텔,98
47,그랜드호텔,경남 창녕군 온천2길 40-0,호텔,97
48,호텔레인보우,경남 창녕군 온천중앙로 33-0,호텔,94
49,화왕산군립공원옥천매표소,경남 창녕군 계성화왕산로 638-0,기타관광,92
50,러브홀릭모텔,경남 창녕군 남지중앙1길 59-6,모텔,85
50,창녕석빙고,경남 창녕군,역사유적지,85
52,번개저수지,경남 창녕군,자연경관(하천/해양),83
53,창녕축협가축시장,경남 창녕군 갈전길 153-0,시장,80
54,학포수변생태공원,경남 창녕군,도시공원,79
55,남산근린공원,경남 창녕군,도시공원,78
56,가고파호텔,경남 창녕군 온천중앙로 51-0,모텔,73
57,아델리아모텔,경남 창녕군 낙동로 556-0,모텔,66
58,필모텔,경남 창녕군 남지중앙1길 47-1,모텔,64
58,장척저수지,경남 창녕군,자연경관(하천/해양),64
60,만옥정공원,경남 창녕군,도시공원,62
61,신라호텔,경남 창녕군 온천중앙로 19-0,모텔,61
62,도성암,경남 창녕군 자하곡길 147-0,종교성지,60
63,해다미펜션,경남 창녕군 모랭이길 41-0,펜션/민박,58
63,현대호텔,경남 창녕군 온천중앙로 8-0,호텔,58
65,문도트호텔,경남 창녕군 경남대로 5742-13,모텔,56
66,S모텔,경남 창녕군 우포2로 1221-0,모텔,55
67,에스에스무인호텔,경남 창녕군 미산길 3-50,모텔,54
68,M모텔,경남 창녕군 당산길 29-0,모텔,51
68,영산시장,경남 창녕군 신영산로 56-0,시장,51
70,호텔궁,경남 창녕군 미산길 3-42,모텔,49
70,위더스글램핑,경남 창녕군 박진로 627-0,캠핑,49
72,보리펜션,경남 창녕군 계성화왕산로 268-0,펜션/민박,47
72,십이저수지,경남 창녕군,자연경관(하천/해양),47
74,제이모텔,경남 창녕군 평지퇴산로 432-0,모텔,46
75,우포힐링빌,경남 창녕군 노동길 32-0,기타숙박,41
75,창녕문화공원,경남 창녕군,도시공원,41
75,성관사,경남 창녕군 북마1길 89-12,종교성지,41
78,모과아제펜션,경남 창녕군 신전길 166-58,펜션/민박,40
79,토담황토방모텔,경남 창녕군 교리1길 6-11,모텔,39
80,남지수변공원,경남 창녕군,도시공원,37
81,비사벌여관,경남 창녕군 명덕로 43-0,모텔,36
81,창녕남지유채밭,경남 창녕군,기타관광,36
83,허쉬캠프,경남 창녕군 내외동길 11-0,캠핑,32
83,무심사,경남 창녕군 손실길 62-215,종교성지,32
85,우포5마일펜션,경남 창녕군 우포2로 213-7,펜션/민박,31
85,길곡수변생태공원,경남 창녕군,도시공원,31
87,약수농원야영장,경남 창녕군 청간길 80-0,펜션/민박,30
88,별숲글램핑,경남 창녕군 구연화길 62-0,캠핑,29
88,심곡사,경남 창녕군 자련길 85-0,종교성지,29
90,창녕스포츠파크축구장,경남 창녕군,레저스포츠시설,28
91,합천창녕보인증센터,경남 창녕군,기타레저스포츠,27
92,관광코튼농원,경남 창녕군 계성화왕산로 320-0,펜션/민박,26
92,명덕지,경남 창녕군,자연경관(하천/해양),26
92,창녕오리정운동장,경남 창녕군 조산1길 15-38,기타레저스포츠,26
92,청련사,경남 창녕군 청련사길 99-0,종교성지,26
96,그린펜션,경남 창녕군 계성화왕산로 225-0,펜션/민박,25
96,창녕교동고분군,경남 창녕군,역사유적지,25
96,함박공원,경남 창녕군,도시공원,25
99,창녕향교,경남 창녕군 향교길 54-0,역사유적지,24
100,대학저수지,경남 창녕군,자연경관(하천/해양),23
