순위,관광지명,주소,분류,외지인 검색 수
1,통영중앙전통시장,경남 통영시 중앙시장1길 14-16,시장,196448
2,한려수도조망케이블카,경남 통영시 발개로 205-0,기타관광,70494
3,스카이라인루지통영,경남 통영시 발개로 178-0,기타레저스포츠,54934
4,금호리조트통영마리나,경남 통영시 큰발개1길 33-0,콘도미니엄,53412
5,동피랑벽화마을,경남 통영시 동피랑1길 6-18,기타관광,50891
6,통영여객선터미널,경남 통영시 통영해안로 234-0,교통시설,47738
7,이순신공원,경남 통영시 멘데해안길 205-0,도시공원,45990
8,삼덕항,경남 통영시,자연경관(하천/해양),36581
9,스탠포드호텔앤리조트통영,경남 통영시 도남로 347-0,호텔,35086
10,서호전통시장,경남 통영시 새터길 42-7,시장,28978
11,디피랑,경남 통영시 남망공원길 29-0,기타관광,19796
12,동원로얄컨트리클럽,경남 통영시 담안길 240-0,육상레저스포츠,14725
13,달아공원,경남 통영시 산양일주로 1115-0,도시공원,13782
14,클럽이에스통영리조트,경남 통영시 척포길 628-113,콘도미니엄,12941
15,수륙해수욕장,경남 통영시,자연경관(하천/해양),11132
16,사량도여객선터미널,경남 통영시 도산일주로 542-55,교통시설,11063
17,남망산조각공원,경남 통영시 남망공원길 29-0,도시공원,10745
18,더카트인통영,경남 통영시 도산일주로 147-0,기타레저스포츠,10246
19,통영해저터널,경남 통영시,기타관광,9148
20,통영해저터널입구,경남 통영시 운하2길 21-0,기타관광,7592
21,달아항,경남 통영시,자연경관(하천/해양),6911
22,한산호텔,경남 통영시 통영해안로 247-0,호텔,6732
23,통영항,경남 통영시 통영해안로 234-0,자연경관(하천/해양),6668
24,가오치항,경남 통영시 도산일주로 0-0,자연경관(하천/해양),6378
25,한산마리나호텔앤리조트,경남 통영시 삼칭이해안길 820-0,호텔,6005
26,포르투나호텔,경남 통영시 미수해안로 152-0,호텔,5618
27,통영유람선터미널,경남 통영시 도남로 269-38,교통시설,5482
28,통영베이콘도호텔,경남 통영시 도남로 257-93,호텔,5466
29,미래사,경남 통영시 미륵산길 192-0,종교성지,5450
30,출렁다리,경남 통영시,기타관광,5268
31,통영욕지섬모노레일,경남 통영시 욕지일주로 1467-0,기타관광,5149
32,통영도남관광지,경남 통영시 도남로 269-26,복합관광시설,4623
33,척포항,경남 통영시 척포길 0-0,자연경관(하천/해양),4609
34,마동방파제,경남 통영시,자연경관(하천/해양),4592
35,통영수산과학관,경남 통영시 척포길 628-111,전시시설,4460
36,미래사편백나무숲,경남 통영시,기타관광,4309
37,카리브콘도호텔,경남 통영시 도남로 257-29,호텔,4142
38,브라운도트호텔통영항남점,경남 통영시 동충4길 53-0,호텔,4135
39,통영국제음악당,경남 통영시 큰발개1길 38-0,공연시설,4087
40,연명항매표소,경남 통영시 연명길 30-0,교통시설,4084
41,박경리기념관,경남 통영시 산양중앙로 173-0,전시시설,3962
42,통영경찰수련원,경남 통영시 도산일주로 818-0,육상레저스포츠,3871
43,통영거북선호텔,경남 통영시,호텔,3737
44,달아공원전망대,경남 통영시,랜드마크관광,3722
45,통영활어시장,경남 통영시 중앙시장4길 2-0,시장,3606
46,피코통영지점,경남 통영시 항남4길 19-0,모텔,3560
47,서피랑공원,경남 통영시,도시공원,3493
48,롯데시네마통영,경남 통영시 안개로 37-0,공연시설,3483
49,강구안거북선,경남 통영시,전시시설,3403
50,욕지도여객선터미널,경남 통영시 욕지일주로 113-0,교통시설,3351
51,브룩스호텔,경남 통영시 통영해안로 407-0,호텔,3317
52,충렬사,경남 통영시 여황로 251-0,역사유적지,3193
53,아스트로펜션,경남 통영시 연기길 170-0,펜션/민박,3146
54,한려해상생태탐방원,경남 통영시,기타관광,3102
55,통영갤러리관광호텔,경남 통영시 도남로 257-27,호텔,3099
56,동백커피식물원,경남 통영시 남해안대로 2068-87,테마공원,3068
57,통영RCE세자트라숲,경남 통영시 용남해안로 116-0,도시공원,3005
58,중앙활어시장,경남 통영시 중앙로 158-8,시장,2997
59,세병관,경남 통영시 세병로 27-0,역사유적지,2946
60,호텔피어48,경남 통영시 정동3길 48-0,호텔,2933
61,부띠끄리조트네르하21,경남 통영시 도산일주로 952-0,펜션/민박,2825
62,통영엔쵸비관광호텔,경남 통영시 동호로 56-0,호텔,2762
63,삼덕욕지여객선터미널,경남 통영시 원항1길 3-0,교통시설,2713
64,동원리조트,경남 통영시 담안길 160-21,콘도미니엄,2621
65,더밤호텔,경남 통영시 통영해안로 239-0,모텔,2574
66,통영편백숲길글램핑캠핑장,경남 통영시 천대국치길 297-10,캠핑,2543
67,브릿지호텔,경남 통영시 남해안대로 18-0,호텔,2528
68,제승당,경남 통영시 한산일주로 70-0,역사유적지,2436
69,전혁림미술관,경남 통영시 봉수1길 10-1,전시시설,2420
70,통영등대낚시공원,경남 통영시 삼칭이해안길 441-0,도시공원,2353
71,통영해수욕장,경남 통영시,자연경관(하천/해양),2245
72,해저터널관광안내소,경남 통영시 도천1길 7-0,기타관광,2174
73,씨앤뷰펜션,경남 통영시 산양일주로 1337-10,펜션/민박,2160
74,글램독통영점,경남 통영시 용호로 285-16,펜션/민박,2120
75,비클래시스파펜션통영점,경남 통영시 도산일주로 456-49,펜션/민박,2103
76,호텔야자통영항여객선터미널점,경남 통영시 동충2길 9-0,모텔,2070
77,그레이부띠끄호텔,경남 통영시 동충1길 12-2,모텔,2040
78,스위트호텔,경남 통영시 죽림5로 55-17,모텔,1909
79,통영삼도수군통제영,경남 통영시 세병로 27-0,역사유적지,1899
80,W모텔,경남 통영시 죽림5로 37-0,모텔,1894
81,안정사,경남 통영시 안정1길 363-0,종교성지,1883
82,드레피인,경남 통영시 남해안대로 205-39,펜션/민박,1850
83,적촌선착장,경남 통영시,교통시설,1803
84,통영아라펜션,경남 통영시 해간길 48-14,펜션/민박,1798
85,북신시장,경남 통영시 북신시장1길 55-0,시장,1786
86,통영죽림수산시장,경남 통영시 죽림3로 86-0,시장,1753
87,용화사,경남 통영시 봉수로 107-82,종교성지,1683
88,배쟁이펜션,경남 통영시 기호바깥길 7-31,펜션/민박,1646
89,욕지항방파제,경남 통영시,자연경관(하천/해양),1638
90,달비채펜션,경남 통영시 장문로 234-17,펜션/민박,1627
91,마티스비치,경남 통영시 국치1길 52-24,호스텔,1621
91,팜비치리조텔,경남 통영시 도남로 257-45,콘도미니엄,1621
93,통영시립박물관,경남 통영시 중앙로 65-0,전시시설,1606
94,아디오스호텔,경남 통영시 동충1길 12-3,모텔,1583
95,호텔호라,경남 통영시 안개1길 16-0,모텔,1548
96,바다풍경모텔,경남 통영시 죽림해안로 50-0,모텔,1528
97,통영어드벤처타워,경남 통영시 발개로 172-12,기타레저스포츠,1487
98,나폴리호텔,경남 통영시 통영해안로 355-0,모텔,1402
99,라베르관광호텔,경남 통영시 도남로 257-21,호텔,1386
100,광도빛길수국축제,경남 통영시 남해안대로 1160-109,기타문화관광지,1365
