순위,업소명,주소,분류,외지인 검색 수
1,우주총동원,경남 하동군 구고속도로 392-0,카페/찻집,14434
2,더로드101,경남 하동군 화개로 357-0,카페/찻집,13004
3,매암제다원,경남 하동군 악양서로 346-1,카페/찻집,9634
4,혜성식당,경남 하동군 화개로 48-0,한식,4215
5,금양가든,경남 하동군 섬진강대로 1877-0,한식,4191
6,청운식당,경남 하동군 쌍계사길 6-0,한식,4026
7,하동솔잎한우프라자,경남 하동군 하동읍성로 9-0,한식,3708
8,쌍계명차,경남 하동군 화개로 30-0,카페/찻집,3355
9,고하버거앤카페,경남 하동군 하동읍성로 571-0,간이음식,2994
10,도심다원,경남 하동군 신촌도심길 43-22,카페/찻집,2861
11,해성식당,경남 하동군 섬진강대로 1877-0,한식,2826
12,밤톨,경남 하동군 화개로 17-1,카페/찻집,2563
13,쉬어가기좋은날[한식],경남 하동군 쌍계사길 6-0,한식,2507
14,원조강변할매재첩식당,경남 하동군 재첩길 286-1,한식,2421
15,여명가든,경남 하동군 성두길 11-3,한식,2136
16,황금재첩식당,경남 하동군 섬진강대로 3917-0,한식,2089
17,산마루,경남 하동군 사기아름길 48-0,한식,1936
18,브릿지130,경남 하동군 화개로 334-0,한식,1925
19,동흥재첩국,경남 하동군 경서대로 94-0,한식,1850
20,라라북천,경남 하동군 경서대로 2425-0,카페/찻집,1841
21,카페포레,경남 하동군 산복1길 5-0,카페/찻집,1752
22,하옹촌,경남 하동군 섬진강대로 1877-0,한식,1562
23,찻잎마술,경남 하동군 화개로 519-0,한식,1477
24,플래닛1020,경남 하동군 쌍계로 318-0,카페/찻집,1395
25,진교반점[중식],경남 하동군 민다리길 81-1,외국식,1265
26,평사리의아침,경남 하동군 대촌길 46-14,카페/찻집,1252
27,신진식당,경남 하동군 석문길 8-0,한식,1115
28,카페녹음,경남 하동군 구고속도로 263-15,카페/찻집,1108
29,섬진강강굴식당,경남 하동군 재첩길 204-5,외국식,1059
30,청뫼향식당,경남 하동군 청학로 2524-0,한식,1057
31,선창횟집,경남 하동군 중평해안길 139-0,외국식,992
32,무량원[한식],경남 하동군 섬진강대로 2770-0,한식,979
33,산해회식당,경남 하동군 금성중앙길 25-0,외국식,909
34,지리산흑돼지,경남 하동군 산업로 827-5,한식,869
35,돌팀이횟집,경남 하동군 섬진강대로 2576-0,외국식,867
36,벚꽃경양식,경남 하동군 화개로 18-1,외국식,820
37,콩사랑차이야기,경남 하동군 화개로 52-0,한식,798
38,은성식당,경남 하동군 섬진강대로 3917-0,한식,767
39,벚굴식당,경남 하동군 재첩길 215-0,외국식,764
40,섬진강횟집,경남 하동군 섬진강대로 2539-8,외국식,748
41,벨라마레,경남 하동군 경충로 427-36,카페/찻집,722
42,부흥재첩식당,경남 하동군 경서대로 98-0,외국식,704
43,나폴리,경남 하동군 화개로 74-0,간이음식,663
44,성화관[중식],경남 하동군 공설운동장로 254-0,외국식,655
45,동정산장,경남 하동군 화개로 796-0,한식,636
46,해와달해양낚시공원,경남 하동군 장환길 104-122,카페/찻집,599
47,하늘호수차밭쉼터,경남 하동군 신촌도심길 178-25,카페/찻집,597
48,원조나루터재첩식당,경남 하동군 재첩길 286-0,한식,591
49,신진식당,경남 하동군 석문길 12-0,한식,567
50,신방촌집재첩벚굴식당,경남 하동군 재첩길 282-0,외국식,529
51,롯데리아경남하동점,경남 하동군 경서대로 149-0,간이음식,496
52,장터국밥,경남 하동군 쌍계로 17-0,한식,476
53,파리바게뜨경남하동점,경남 하동군 중앙로 49-1,간이음식,472
54,지리산대박터고매감,경남 하동군 정서길 141-1,한식,465
55,조양숯불갈비,경남 하동군 쌍계로 35-0,한식,462
56,꽃님,경남 하동군 원탑1길 35-0,외국식,437
57,여여식당,경남 하동군 경서대로 92-0,한식,424
58,지리산면옥,경남 하동군 군청로 147-0,한식,420
59,양보제과,경남 하동군 진양로 1085-19,카페/찻집,416
60,좋은세상[한식],경남 하동군 차시배지길 23-0,한식,410
61,만지횟집,경남 하동군 섬진강대로 2485-0,외국식,409
62,성남식당,경남 하동군 청학동길 15-18,한식,402
63,설송,경남 하동군 화개로 6-1,한식,388
64,달달하동,경남 하동군 평사리길 28-0,카페/찻집,352
65,마루솔한정식식당,경남 하동군 시장1길 26-8,한식,340
66,원조섬진강재첩국,경남 하동군 경충로 503-0,기타음식,327
67,범바구집,경남 하동군 범바위길 1-0,한식,317
68,밀밭카페,경남 하동군 경서대로 2021-4,카페/찻집,302
69,향미가든,경남 하동군 쌍계로 12-0,한식,294
70,하옹촌식당,경남 하동군 섬진강대로 1877-0,외국식,281
71,목도식당,경남 하동군 목도2길 1-0,한식,271
72,금향다원,경남 하동군 신흥길 167-0,카페/찻집,270
73,노루골한옥식당,경남 하동군 화개로 1405-14,한식,266
74,원조하동할매재첩식당,경남 하동군 섬진강대로 980-0,한식,261
75,팔도강산,경남 하동군 산복1길 3-0,한식,257
76,under bridge,경남 하동군 노량해안길 35-0,카페/찻집,249
77,파이나무,경남 하동군 악양서로 129-0,간이음식,242
78,화개골나주곰탕,경남 하동군 화개로 64-0,한식,235
79,반달곰상회,경남 하동군 경서대로 111-0,간이음식,232
80,착한구이,경남 하동군 강변길 29-0,한식,229
81,횡천묵밥,경남 하동군 경서대로 1140-0,한식,227
82,명성콩국수,경남 하동군 중앙로 8-0,한식,221
82,배스킨라빈스경남하동점,경남 하동군 경서대로 143-0,간이음식,221
84,하옹촌식당,경남 하동군 섬진강대로 1877-0,한식,219
85,최참판댁순두부,경남 하동군 평사리길 56-3,한식,212
86,풍년횟집,경남 하동군 노량해안길 219-0,외국식,211
87,하동팥이야기,경남 하동군 악양서로 221-13,카페/찻집,205
88,횡천루[중식],경남 하동군 경서대로 1135-0,외국식,196
89,물꽃정원,경남 하동군 섬진강대로 2186-0,외국식,195
90,삼미식당,경남 하동군 악양동로 384-1,한식,188
91,이화가든,경남 하동군 섬진강대로 2507-0,한식,186
92,명종식당,경남 하동군 경서대로 195-0,한식,180
93,청하식당,경남 하동군 횡천강변길 1-0,한식,177
93,카페하동,경남 하동군 군청로 24-0,카페/찻집,177
95,셰프이탈리아를만나다,경남 하동군 섬진강대로 1877-0,외국식,174
96,동백식당,경남 하동군 화개로 13-0,한식,166
97,물레방아산장,경남 하동군 목통길 99-0,한식,164
98,똘배회센터,경남 하동군 구노량길 45-0,외국식,163
98,카페노량,경남 하동군 노량해안길 12-0,카페/찻집,163
100,경전재첩식당,경남 하동군 재첩길 187-0,한식,157
