순위,업소명,주소,분류,합산 검색 수
1,쾌지나칭칭,경남 함안군 새터길 168-2,한식,15150
2,뜬,경남 함안군 부남1길 24-15,카페/찻집,15095
3,대구식당,경남 함안군 북촌2길 50-27,한식,8382
4,매미궁뎅이,경남 함안군 운무로 105-0,한식,4070
5,산인길,경남 함안군 함마대로 2367-1,한식,3855
6,자매식당,경남 함안군 송산로 356-8,한식,3549
7,황포냉면,경남 함안군 함마대로 1423-0,한식,3369
8,국보반상,경남 함안군 산인로 331-0,한식,2838
9,커피와소나무,경남 함안군 광정로 145-0,카페/찻집,2693
10,약수터산장,경남 함안군 주동2길 143-3,외국식,2683
11,27도씨제빵소,경남 함안군 모곡5길 19-59,간이음식,2468
12,무진,경남 함안군 함안대로 257-0,카페/찻집,2383
13,식목일,경남 함안군 함안대로 255-0,카페/찻집,2031
14,카페1946,경남 함안군 하검길 125-3,카페/찻집,1874
15,신풍식육식당본점,경남 함안군 석무길 130-0,한식,1867
16,롯데리아경남함안점,경남 함안군 함마대로 1514-25,간이음식,1835
17,아라깨비카페,경남 함안군 산인로 180-0,카페/찻집,1815
18,아라애연잎장어함안본점,경남 함안군 송산로 463-3,외국식,1719
19,무진정돌짜장[중식],경남 함안군 괴산4길 6-0,외국식,1517
20,국보삼계탕,경남 함안군 산인로 333-0,한식,1483
21,그린 프로그,경남 함안군 새터길 168-2,카페/찻집,1471
22,전원휴게소,경남 함안군 함마대로 332-0,한식,1321
23,카페북촌,경남 함안군 북촌1길 15-15,외국식,1162
24,구가네솥밥한정식[한식],경남 함안군 예용로 122-0,한식,1086
25,별천지산장,경남 함안군 주동3길 1-60,외국식,990
26,악양루[중식],경남 함안군 법수로 589-0,외국식,876
27,한식카페346.4S,경남 함안군 산인로 346-4,한식,834
28,아마키친,경남 함안군 중앙남길 34-0,외국식,809
29,낙동강 칠백리,경남 함안군 삼칠로 1209-0,한식,770
30,남다른생고기칠원점,경남 함안군 용산1길 16-4,한식,733
31,가야매미궁뎅이,경남 함안군 함안대로 520-0,한식,722
32,식객,경남 함안군 내곡3길 47-0,한식,699
33,파리바게뜨경남함안점,경남 함안군 함안대로 566-0,간이음식,650
34,일기장,경남 함안군 가야로 242-0,카페/찻집,573
35,함안가야국수,경남 함안군 경남대로 1524-0,한식,570
36,투썸플레이스경남함안점,경남 함안군 가야로 81-0,카페/찻집,554
37,함안어탕,경남 함안군 삼봉로 589-0,한식,552
38,구만식당,경남 함안군 함마대로 752-0,한식,543
39,지그시,경남 함안군 이룡3길 18-0,카페/찻집,488
40,명문가든,경남 함안군 월촌로 210-0,한식,476
41,군북얼음굴가든,경남 함안군 오곡4길 223-0,외국식,464
42,하만스빅버거,경남 함안군 함안대로 253-0,간이음식,444
43,대영한우식당,경남 함안군 충무길 63-0,한식,438
44,금동굴,경남 함안군 유장3길 297-0,한식,434
45,참하누,경남 함안군 송평로 480-0,한식,404
46,가빈,경남 함안군 오곡로 327-0,한식,401
47,수담채[한식],경남 함안군 칠성로 264-0,한식,395
48,강남오리,경남 함안군 이룡3길 20-6,외국식,392
49,카페해담,경남 함안군 함안대로 98-0,카페/찻집,386
50,함안제일숯불갈비,경남 함안군 중앙본길 32-0,한식,384
51,함안한우국밥촌,경남 함안군 북촌2길 50-25,한식,367
52,장가네촌국수,경남 함안군 함마대로 2297-0,간이음식,363
53,한별도그파크,경남 함안군 이묵골로 135-0,카페/찻집,359
54,향연,경남 함안군 삼칠로 1150-1,한식,356
55,신천유황오리,경남 함안군 왕궁길 186-0,외국식,354
56,양평해장국,경남 함안군 함마대로 2280-0,한식,333
57,대박냉면,경남 함안군 유장길 7-2,한식,316
58,아라곰탕,경남 함안군 말산로 101-0,한식,311
59,솔밭가든,경남 함안군 법수로 492-0,한식,302
60,이수정가든,경남 함안군 함안대로 281-0,한식,259
61,문득그리움,경남 함안군 산인로 164-0,외국식,231
62,파리바게뜨함안칠원점,경남 함안군 원서로 19-0,간이음식,230
63,시장한우국밥,경남 함안군 북촌2길 70-0,한식,219
64,일송[일식],경남 함안군 검암천남길 48-1,외국식,217
65,은아맛집,경남 함안군 삼봉로 157-0,한식,214
66,신풍식육식당,경남 함안군 운무로 244-0,한식,209
67,대밭횟집,경남 함안군,외국식,208
68,유가네칼국수,경남 함안군 함마대로 2267-0,한식,204
68,이디야커피함안점,경남 함안군 함마대로 1504-0,카페/찻집,204
70,아라가야냉면석쇠불고기본점,경남 함안군 삼칠로 113-0,한식,203
71,배스킨라빈스경남함안점,경남 함안군 가야로 33-0,간이음식,196
72,너와촌,경남 함안군 공단상가3길 40-0,한식,193
72,스토브,경남 함안군 성내남길 31-20,외국식,193
74,장미정원쉼터,경남 함안군 운무로 462-0,카페/찻집,189
75,금성한우한돈무한리필,경남 함안군 원서로 7-0,한식,188
76,하삼동커피함안가야점,경남 함안군 중앙본길 37-16,카페/찻집,182
77,컴포즈커피함안가야점,경남 함안군 가야로 36-1,카페/찻집,178
78,아라가야함안점,경남 함안군 중앙남길 19-0,한식,177
79,소나무집,경남 함안군 이묵골로 12-0,한식,172
80,한솔버섯농장,경남 함안군 북원로 26-49,한식,167
