순위,업소명,주소,분류,현지인 검색 수
1,쾌지나칭칭,경남 함안군 새터길 168-2,한식,1372
2,뜬,경남 함안군 부남1길 24-15,카페/찻집,1045
3,롯데리아경남함안점,경남 함안군 함마대로 1514-25,간이음식,603
4,27도씨제빵소,경남 함안군 모곡5길 19-59,간이음식,546
5,대구식당,경남 함안군 북촌2길 50-27,한식,501
6,매미궁뎅이,경남 함안군 운무로 105-0,한식,359
7,국보삼계탕,경남 함안군 산인로 333-0,한식,297
8,황포냉면,경남 함안군 함마대로 1423-0,한식,282
9,커피와소나무,경남 함안군 광정로 145-0,카페/찻집,271
10,산인길,경남 함안군 함마대로 2367-1,한식,265
11,국보반상,경남 함안군 산인로 331-0,한식,251
12,자매식당,경남 함안군 송산로 356-8,한식,220
13,약수터산장,경남 함안군 주동2길 143-3,외국식,212
14,식목일,경남 함안군 함안대로 255-0,카페/찻집,205
15,구가네솥밥한정식[한식],경남 함안군 예용로 122-0,한식,191
16,카페북촌,경남 함안군 북촌1길 15-15,외국식,188
17,카페1946,경남 함안군 하검길 125-3,카페/찻집,187
18,아라깨비카페,경남 함안군 산인로 180-0,카페/찻집,185
19,신풍식육식당본점,경남 함안군 석무길 130-0,한식,184
20,투썸플레이스경남함안점,경남 함안군 가야로 81-0,카페/찻집,177
21,아라애연잎장어함안본점,경남 함안군 송산로 463-3,외국식,153
22,악양루[중식],경남 함안군 법수로 589-0,외국식,137
23,한식카페346.4S,경남 함안군 산인로 346-4,한식,123
24,그린 프로그,경남 함안군 새터길 168-2,카페/찻집,117
25,무진정돌짜장[중식],경남 함안군 괴산4길 6-0,외국식,113
26,전원휴게소,경남 함안군 함마대로 332-0,한식,110
27,식객,경남 함안군 내곡3길 47-0,한식,103
27,함안제일숯불갈비,경남 함안군 중앙본길 32-0,한식,103
29,아마키친,경남 함안군 중앙남길 34-0,외국식,102
29,지그시,경남 함안군 이룡3길 18-0,카페/찻집,102
31,파리바게뜨경남함안점,경남 함안군 함안대로 566-0,간이음식,100
32,무진,경남 함안군 함안대로 257-0,카페/찻집,96
33,일기장,경남 함안군 가야로 242-0,카페/찻집,87
34,남다른생고기칠원점,경남 함안군 용산1길 16-4,한식,73
35,수담채[한식],경남 함안군 칠성로 264-0,한식,72
36,가야매미궁뎅이,경남 함안군 함안대로 520-0,한식,65
37,낙동강 칠백리,경남 함안군 삼칠로 1209-0,한식,64
37,별천지산장,경남 함안군 주동3길 1-60,외국식,64
37,신천유황오리,경남 함안군 왕궁길 186-0,외국식,64
40,문득그리움,경남 함안군 산인로 164-0,외국식,60
41,명문가든,경남 함안군 월촌로 210-0,한식,59
42,양평해장국,경남 함안군 함마대로 2280-0,한식,57
43,가빈,경남 함안군 오곡로 327-0,한식,54
44,군북얼음굴가든,경남 함안군 오곡4길 223-0,외국식,52
44,금동굴,경남 함안군 유장3길 297-0,한식,52
44,일송[일식],경남 함안군 검암천남길 48-1,외국식,52
47,대박냉면,경남 함안군 유장길 7-2,한식,50
48,이디야커피함안점,경남 함안군 함마대로 1504-0,카페/찻집,49
49,구만식당,경남 함안군 함마대로 752-0,한식,47
49,스토브,경남 함안군 성내남길 31-20,외국식,47
51,강남오리,경남 함안군 이룡3길 20-6,외국식,46
51,함안어탕,경남 함안군 삼봉로 589-0,한식,46
51,하만스빅버거,경남 함안군 함안대로 253-0,간이음식,46
54,향연,경남 함안군 삼칠로 1150-1,한식,43
55,솔밭가든,경남 함안군 법수로 492-0,한식,41
55,풍천민물장어,경남 함안군 삼봉로 521-4,외국식,41
55,제일횟집,경남 함안군 중앙본안길 10-0,외국식,41
58,아라가야냉면석쇠불고기본점,경남 함안군 삼칠로 113-0,한식,37
58,한별도그파크,경남 함안군 이묵골로 135-0,카페/찻집,37
60,명륜진사갈비함안가야점,경남 함안군 가야로 83-1,한식,35
60,아라가야함안점,경남 함안군 중앙남길 19-0,한식,35
60,큰섬,경남 함안군 성내남길 192-0,외국식,35
63,이수정가든,경남 함안군 함안대로 281-0,한식,34
64,함안가야국수,경남 함안군 경남대로 1524-0,한식,33
65,진짜순대,경남 함안군 공단상가2길 87-0,한식,32
66,대영한우식당,경남 함안군 충무길 63-0,한식,30
