순위,관광지명,주소,분류,외지인 검색 수
1,갓바위,경북 경산시 갓바위로 681-55,역사유적지,34446
2,인터불고경산CC,경북 경산시 삼성현로 614-26,육상레저스포츠,31889
3,대구CC,경북 경산시 일연로 718-42,육상레저스포츠,31261
4,반곡지,경북 경산시,자연경관(하천/해양),16349
5,삼성현역사문화공원,경북 경산시 삼성현공원로 59-0,도시공원,14806
6,경산공설시장,경북 경산시 경안로31길 19-0,시장,12989
7,자인시장,경북 경산시 자인로 198-0,시장,8324
8,CGV경산,경북 경산시 대학로28길 6-5,공연시설,7949
9,천마아트센터,경북 경산시 대학로 280-0,공연시설,5977
10,상대온천관광호텔,경북 경산시 상대로116길 18-0,호텔,4005
11,롯데시네마경산,경북 경산시 강변동로 278-0,공연시설,3956
12,중산지,경북 경산시,자연경관(하천/해양),3759
13,남매공원,경북 경산시 남매로 0-0,도시공원,3589
14,팔공산도립공원갓바위지구,경북 경산시 갓바위로81길 176-64,자연공원,3582
15,불굴사,경북 경산시 불굴사길 205-0,종교성지,3462
16,선본사,경북 경산시 갓바위로 699-0,종교성지,3404
17,대구cc파3골프장,경북 경산시 일연로 718-42,육상레저스포츠,3234
18,경산그랜드모텔,경북 경산시 경산로44길 3-11,모텔,2963
19,하양꿈바우시장,경북 경산시 대학로 1544-0,시장,2775
20,송림한옥마을,경북 경산시 갓바위로 67-13,펜션/민박,2710
21,호텔크라페,경북 경산시 장산로23길 7-0,모텔,2608
22,경산생활체육공원,경북 경산시 남매로 100-0,도시공원,2422
23,렉시모텔,경북 경산시 중앙로14길 7-1,모텔,2357
24,더베스트모텔,경북 경산시 경산로40길 3-8,모텔,2161
25,삼성라이온즈경산훈련장,경북 경산시 일연로 640-0,레저스포츠시설,2072
26,CAMP80,경북 경산시 갓바위로 67-25,캠핑,2013
27,OK모텔,경북 경산시 원효로 28-2,모텔,1972
28,경산시립박물관,경북 경산시 박물관로 46-0,전시시설,1950
29,메가박스경산하양,경북 경산시 대경로 765-0,공연시설,1939
30,리베라모텔,경북 경산시 경산로44길 3-8,모텔,1809
31,쉼표모텔,경북 경산시 원효로 28-4,모텔,1688
32,탑투모텔,경북 경산시 경산로40길 3-1,모텔,1670
33,하양모텔,경북 경산시 낙산길 13-10,모텔,1634
34,삼천지,경북 경산시 대학로 280-0,자연경관(하천/해양),1552
35,하바나호텔,경북 경산시 경산로44길 3-3,모텔,1517
36,약사암,경북 경산시 갓바위로81길 176-64,종교성지,1473
37,남매저수지,경북 경산시,자연경관(하천/해양),1449
38,가을동화모텔,경북 경산시 고분길 18-2,모텔,1436
39,경산자인의계정숲,경북 경산시,역사유적지,1395
40,에버리오CC,경북 경산시 삼성역길 97-20,육상레저스포츠,1326
41,하루호텔,경북 경산시 중앙로 72-6,모텔,1312
