순위,업소명,주소,분류,외지인 검색 수
1,군위이로운한우,경북 군위군 간동유원지길 14-0,한식,22937
2,우즈,경북 군위군 한티로 2034-0,카페/찻집,10961
3,카페스톤,경북 군위군 한티로 1525-6,카페/찻집,8295
4,카페댐댐,경북 군위군 삼국유사로 438-16,카페/찻집,4785
5,신등갈비군위점,경북 군위군 치산효령로 1414-0,한식,4312
6,군위참좋은한우,경북 군위군 간동유원지길 5-0,한식,3824
7,군위민속한우,경북 군위군 도군로 2656-0,한식,3346
8,우사랑한우마을,경북 군위군 도군로 2645-0,한식,2486
9,화본국수전문점[중식],경북 군위군,외국식,1835
10,시골밥상[한식],경북 군위군 한티로 1903-0,한식,1805
11,연화식당,경북 군위군 중앙6길 11-0,한식,1675
12,군산집,경북 군위군 창평길 19-0,한식,1470
13,장원쌈밥,경북 군위군 도군로 2577-5,한식,1338
14,효령매운탕,경북 군위군 치산효령로 2267-8,한식,1166
15,스틸301,경북 군위군 산성가음로 996-0,카페/찻집,1042
16,원조거매메기매운탕,경북 군위군 거매2길 41-1,한식,1030
17,동산계곡식당[한식],경북 군위군 원효길 200-0,한식,1006
18,수복식당,경북 군위군 동서길 41-0,한식,885
19,삼장매운탕,경북 군위군 치산효령로 2242-0,한식,867
20,리틀맨리,경북 군위군 창평길 25-3,카페/찻집,823
21,엘아르카 비타팔공산점,경북 군위군 한티로 2030-0,카페/찻집,700
22,한밤황토집,경북 군위군 한밤8길 46-55,한식,687
23,채미정,경북 군위군 도군로 2518-0,한식,594
24,몽몽마방,경북 군위군 치산효령로 1176-0,외국식,593
24,화본마을마중,경북 군위군 산성가음로 694-0,한식,593
26,팔공식육식당,경북 군위군 창평길 20-0,한식,497
27,밀양돼지국밥,경북 군위군 중앙4길 16-8,한식,473
27,청포도마을,경북 군위군 한티로 1524-0,한식,473
29,동백팔공산화본역점,경북 군위군 산성가음로 711-6,한식,378
30,금상매운탕,경북 군위군 중앙길 36-0,한식,348
31,다락재쉼터,경북 군위군 도군로 2488-0,한식,335
32,카페베네경북군위점,경북 군위군 군청로 87-37,카페/찻집,327
33,수덕고디탕,경북 군위군 치산효령로 984-0,한식,326
34,이디야커피경북군위점,경북 군위군 도군로 2645-0,카페/찻집,283
