순위,관광지명,주소,분류,합산 검색 수
1,국립백두대간수목원,경북 봉화군 춘양로 1501-0,자연공원,12058
2,국립백두대간수목원방문자센터,경북 봉화군 춘양로 1501-0,기타관광,10865
3,청량산도립공원,경북 봉화군,자연공원,7051
4,청량사,경북 봉화군 청량산길 199-152,종교성지,6320
5,청옥산자연휴양림,경북 봉화군 청옥로 1552-163,자연공원,5854
6,분천역산타마을,경북 봉화군 분천길 49-0,기타관광,5107
7,축서사,경북 봉화군 월계길 739-0,종교성지,4044
8,다덕약수관광지,경북 봉화군,복합관광시설,2878
9,오전약수탕,경북 봉화군 문수로 1601-0,기타관광,2788
10,범바위전망대,경북 봉화군,랜드마크관광,2191
11,봉화은어축제,경북 봉화군,기타문화관광지,2039
12,현불사,경북 봉화군 백천길 263-0,종교성지,2029
13,문수산자연휴양림,경북 봉화군 시거리길 378-0,자연공원,1863
14,봉화상설시장,경북 봉화군 신시장길 11-0,시장,1767
15,무진랜드,경북 봉화군 청옥로 220-0,콘도미니엄,1507
16,오로지펜션,경북 봉화군 배나들길 77-0,펜션/민박,1500
17,각화사,경북 봉화군 각화산길 251-0,종교성지,1450
18,나무네숲오토캠핑장,경북 봉화군 청량로 763-81,캠핑,1415
19,홀리가든,경북 봉화군 비나리길 172-57,펜션/민박,1306
20,봉화청량산캠핑장,경북 봉화군 광석길 13-0,캠핑,1293
21,오렌지꽃향기는바람에날리고,경북 봉화군 남애길 438-1,펜션/민박,1215
22,닭실마을,경북 봉화군,역사유적지,1199
23,억지춘양시장,경북 봉화군 의양로2길 24-2,시장,1127
24,천주교우곡성지,경북 봉화군,역사유적지,1114
25,봉화모텔,경북 봉화군 내성천2길 67-0,모텔,1100
26,봉화별캠핑장,경북 봉화군 구마동길 513-127,캠핑,1033
27,구마계곡,경북 봉화군,자연경관(산),1007
28,다덕약수탕,경북 봉화군 진의실길 6-0,자연경관(산),944
29,협곡구비마을산타캠핑장,경북 봉화군 풍애길 9-42,캠핑,896
30,청량폭포,경북 봉화군 청량산길 0-0,자연경관(산),869
31,토향고택,경북 봉화군 바래미1길 43-0,호스텔,830
32,숲속캠핑장,경북 봉화군 오록3길 63-315,캠핑,823
33,솔향가득오토캠핑장,경북 봉화군 홍점길 31-0,캠핑,798
34,OK무인모텔,경북 봉화군 봉화로 133-0,모텔,686
