순위,관광지명,주소,분류,합산 검색 수
1,강구항,경북 영덕군,자연경관(하천/해양),148455
2,영덕해맞이공원,경북 영덕군,도시공원,41224
3,고래불해수욕장,경북 영덕군,자연경관(하천/해양),38015
4,장사해수욕장,경북 영덕군,자연경관(하천/해양),34087
5,오션비치골프&리조트,경북 영덕군 동해대로 4265-43,육상레저스포츠,27353
6,축산항,경북 영덕군,자연경관(하천/해양),23356
7,삼사해상공원,경북 영덕군 해상공원길 92-0,도시공원,18632
8,영덕해파랑공원,경북 영덕군 영덕대게로 132-0,도시공원,15517
9,시포트리조트,경북 영덕군 축산항2길 11-0,콘도미니엄,12526
10,영해만세시장,경북 영덕군 예주시장6길 15-0,시장,12222
11,메타세콰이어숲,경북 영덕군,기타관광,12020
12,대진해수욕장,경북 영덕군,자연경관(하천/해양),11306
13,동광어시장,경북 영덕군 영덕대게로 108-1,시장,11103
14,옥계계곡,경북 영덕군 팔각산로 662-0,자연경관(산),10764
15,고래불국민야영장,경북 영덕군 고래불로 12-0,캠핑,9723
16,칠보산자연휴양림,경북 영덕군 칠보산길 587-0,자연공원,8019
17,강구시장,경북 영덕군 강구시장1길 8-1,시장,7165
18,영덕신재생에너지전시관,경북 영덕군 해맞이길 254-20,전시시설,6993
19,영덕시장임시시장,경북 영덕군 야성길 15-0,시장,6381
20,영덕경찰수련원,경북 영덕군 영덕로 2108-152,육상레저스포츠,6050
21,삼사해상산책로,경북 영덕군,기타레저스포츠,5860
22,하저리해수욕장,경북 영덕군,자연경관(하천/해양),5608
23,힐링턴콘도,경북 영덕군 동해대로 3478-0,콘도미니엄,5485
24,장사상륙작전전승기념관,경북 영덕군,전시시설,4914
25,석동방파제,경북 영덕군,자연경관(하천/해양),3712
26,메르센트펜션,경북 영덕군 병곡1길 37-0,펜션/민박,3703
27,남호해수욕장,경북 영덕군,자연경관(하천/해양),3645
28,하벳,경북 영덕군 흰돌로 46-0,콘도미니엄,3431
29,클라우드9호텔,경북 영덕군 신강구6길 25-0,호텔,3099
30,대진항,경북 영덕군,자연경관(하천/해양),3061
31,벌영리메타세콰이어숲,경북 영덕군,기타관광,2792
32,오포해수욕장,경북 영덕군,자연경관(하천/해양),2652
33,비프리비펜션,경북 영덕군 흰돌로 112-0,펜션/민박,2642
34,괴시리전통마을,경북 영덕군,역사유적지,2596
35,프라다호텔,경북 영덕군 동해대로 4312-0,호텔,2571
36,호텔여기어때영덕점,경북 영덕군 영덕대게로 423-0,호텔,2475
37,축산항어시장,경북 영덕군 축산항길 56-0,시장,2448
38,산성계곡생태공원,경북 영덕군 팔각산로 1043-0,도시공원,2324
39,해맞이축구장,경북 영덕군 해맞이길 0-0,레저스포츠시설,2286
40,경정해수욕장,경북 영덕군,자연경관(하천/해양),2211
41,블루로드B코스,경북 영덕군,기타레저스포츠,2005
42,강구대게축구장,경북 영덕군 강영로 16-111,레저스포츠시설,1926
43,비사이드펜션,경북 영덕군 흰돌로 40-0,펜션/민박,1925
44,대탄방파제,경북 영덕군,자연경관(하천/해양),1888
45,영덕해안도로,경북 영덕군,데이트코스,1867
46,블루오션관광펜션,경북 영덕군 동해대로 4142-0,펜션/민박,1825
47,블루로드A코스,경북 영덕군 동해대로 4495-0,기타레저스포츠,1804
48,경상북도교육청해양수련원,경북 영덕군 고래불로 201-0,육상레저스포츠,1765
49,부흥리해수욕장,경북 영덕군,자연경관(하천/해양),1735
50,노물방파제,경북 영덕군,자연경관(하천/해양),1733
51,영해생활체육공원,경북 영덕군 영덕로 1582-0,도시공원,1726
52,창포말등대,경북 영덕군,랜드마크관광,1699
53,오보해수욕장,경북 영덕군,자연경관(하천/해양),1686
54,씨아일랜드,경북 영덕군 동해대로 4280-0,펜션/민박,1617
55,죽도산전망대,경북 영덕군,랜드마크관광,1505
56,오천솔밭유원지,경북 영덕군,복합관광시설,1501
57,풀빌라식스,경북 영덕군 동해대로 3934-0,펜션/민박,1455
58,오르또바다마을펜션,경북 영덕군 동해대로 7577-3,펜션/민박,1406
59,구계방파제,경북 영덕군,자연경관(하천/해양),1401
60,펜션빠담빠담,경북 영덕군 동해대로 4140-0,펜션/민박,1254
61,식스모텔,경북 영덕군 영덕로 1773-0,모텔,1246
62,대탄해변,경북 영덕군,자연경관(하천/해양),1240
63,영덕바다펜션,경북 영덕군 동해대로 4156-0,펜션/민박,1219
64,엑시트풀빌라,경북 영덕군 동해대로 3778-0,펜션/민박,1201
65,글로리모텔,경북 영덕군 삼사길 109-0,모텔,1102
66,헤아림펜션,경북 영덕군 영덕대게로 565-1,펜션/민박,1079
67,바닷가모래밭씨엔스파펜션,경북 영덕군 동해대로 4106-0,펜션/민박,1072
68,힐링이스트원펜션,경북 영덕군 동해대로 3747-41,펜션/민박,1067
69,바닷가솔밭펜션,경북 영덕군 동해대로 4230-0,펜션/민박,1019
70,경정항,경북 영덕군,자연경관(하천/해양),1002
71,장미와김목수,경북 영덕군 칠보산1길 145-0,펜션/민박,988
72,웰빙문화테마마을,경북 영덕군,기타관광,970
73,정크트릭아트전시관,경북 영덕군 해맞이길 254-69,전시시설,890
74,호텔얌영덕강구터미널점,경북 영덕군 동해대로 4497-0,모텔,875
75,블루베이펜션,경북 영덕군 흰돌로 58-0,펜션/민박,855
76,명품모텔,경북 영덕군 영덕대게로 33-0,모텔,851
77,영리해수욕장,경북 영덕군,자연경관(하천/해양),835
78,영덕오션펜션,경북 영덕군 동해대로 7732-0,펜션/민박,825
79,서희펜션,경북 영덕군 영덕대게로 251-1,펜션/민박,820
80,동해해상관광호텔,경북 영덕군 삼사길 108-10,호텔,814
80,바다숲향기마을,경북 영덕군 해맞이길 254-55,펜션/민박,814
82,아일랜드107펜션,경북 영덕군 영덕대게로 2687-0,펜션/민박,799
83,영덕어촌민속전시관,경북 영덕군 해상공원길 96-8,전시시설,765
84,팔각산장,경북 영덕군 팔각산로 737-0,기타숙박,764
85,옥계계곡야영장,경북 영덕군,캠핑,756
86,해파랑길20코스,경북 영덕군,기타레저스포츠,739
87,더스트림펜션,경북 영덕군 영덕대게로 577-0,펜션/민박,734
88,영덕군해맞이캠핑장,경북 영덕군 해맞이길 254-69,캠핑,730
