광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
경기도,남양주시,15844.0
경기도,화성시,14708.0
경기도,부천시,13635.0
경기도,성남시 분당구,11438.0
경기도,평택시,9539.0
경기도,용인시 기흥구,9177.0
경기도,고양시 덕양구,9069.0
경기도,광주시,9035.0
경기도,의정부시,8873.0
경기도,김포시,8132.0
경기도,수원시 권선구,7671.0
경기도,수원시 영통구,7433.0
경기도,파주시,7331.0
경기도,시흥시,6903.0
경기도,용인시 수지구,6894.0
경기도,안양시 동안구,6891.0
경기도,하남시,6341.0
경기도,고양시 일산동구,6293.0
경기도,이천시,6055.0
경기도,용인시 처인구,6040.0
경기도,고양시 일산서구,5646.0
경기도,안산시 단원구,5596.0
경기도,군포시,5429.0
경기도,성남시 수정구,5357.0
경기도,구리시,5203.0
경기도,광명시,5187.0
경기도,안산시 상록구,5181.0
경기도,수원시 장안구,4830.0
경기도,안성시,4442.0
경기도,양주시,4364.0
경기도,안양시 만안구,4251.0
경기도,성남시 중원구,4149.0
경기도,양평군,4002.0
경기도,여주시,3866.0
경기도,의왕시,3830.0
경기도,수원시 팔달구,3635.0
경기도,오산시,3591.0
경기도,포천시,3441.0
경기도,과천시,2117.0
경기도,가평군,1574.0
경기도,동두천시,1444.0
경기도,연천군,1073.0
경상북도,포항시 북구,79159.0
경상북도,포항시 남구,40276.0
경상북도,경산시,22451.0
경상북도,경주시,19134.0
경상북도,울진군,17295.0
경상북도,구미시,13869.0
경상북도,안동시,10995.0
경상북도,영천시,6727.0
경상북도,영덕군,4757.0
경상북도,김천시,4619.0
경상북도,영주시,3939.0
경상북도,예천군,3911.0
경상북도,칠곡군,3868.0
경상북도,상주시,3832.0
경상북도,의성군,2358.0
경상북도,청도군,2079.0
경상북도,성주군,1972.0
경상북도,문경시,1927.0
경상북도,청송군,1605.0
경상북도,봉화군,1560.0
경상북도,고령군,1407.0
경상북도,군위군,872.0
경상북도,영양군,783.0
서울특별시,송파구,15426.0
서울특별시,강남구,11731.0
서울특별시,강동구,11284.0
서울특별시,노원구,10821.0
서울특별시,강서구,10571.0
서울특별시,관악구,10328.0
서울특별시,성북구,9729.0
서울특별시,은평구,9012.0
서울특별시,중랑구,9000.0
서울특별시,서초구,8836.0
서울특별시,마포구,8327.0
서울특별시,동작구,8240.0
서울특별시,광진구,8162.0
서울특별시,영등포구,7672.0
서울특별시,구로구,7029.0
서울특별시,동대문구,6993.0
서울특별시,양천구,6796.0
서울특별시,서대문구,6719.0
서울특별시,도봉구,6514.0
서울특별시,성동구,6359.0
서울특별시,용산구,5909.0
서울특별시,강북구,5403.0
서울특별시,금천구,3840.0
서울특별시,종로구,3581.0
서울특별시,중구,2786.0
대구광역시,수성구,28313.0
대구광역시,달서구,25168.0
대구광역시,북구,21082.0
대구광역시,동구,20256.0
대구광역시,달성군,10138.0
대구광역시,남구,6207.0
대구광역시,서구,5779.0
대구광역시,중구,4373.0
부산광역시,해운대구,10975.0
부산광역시,부산진구,9879.0
부산광역시,동래구,8148.0
부산광역시,남구,7840.0
부산광역시,사하구,7632.0
부산광역시,북구,7445.0
부산광역시,금정구,6733.0
부산광역시,수영구,5858.0
부산광역시,연제구,5543.0
부산광역시,영도구,5136.0
부산광역시,사상구,5037.0
부산광역시,기장군,4026.0
부산광역시,서구,3373.0
부산광역시,강서구,3051.0
부산광역시,동구,2658.0
부산광역시,중구,1567.0
강원도,동해시,21101.0
강원도,강릉시,20583.0
강원도,속초시,9306.0
강원도,원주시,8086.0
강원도,춘천시,7355.0
강원도,삼척시,4420.0
강원도,양양군,1959.0
강원도,고성군,1931.0
강원도,홍천군,1701.0
강원도,평창군,1681.0
강원도,태백시,1361.0
강원도,인제군,1145.0
강원도,횡성군,1130.0
강원도,영월군,1129.0
강원도,철원군,1027.0
강원도,정선군,822.0
강원도,화천군,600.0
강원도,양구군,372.0
경상남도,김해시,10074.0
경상남도,창원시 진해구,8824.0
경상남도,양산시,8381.0
경상남도,거제시,7780.0
경상남도,창원시 성산구,5855.0
경상남도,진주시,5832.0
경상남도,창원시 의창구,4586.0
경상남도,창원시 마산합포구,4449.0
경상남도,창원시 마산회원구,3955.0
경상남도,통영시,3714.0
경상남도,밀양시,2732.0
경상남도,사천시,2343.0
경상남도,함안군,1906.0
경상남도,거창군,1803.0
경상남도,창녕군,1382.0
경상남도,고성군,1056.0
경상남도,합천군,999.0
경상남도,함양군,861.0
경상남도,하동군,845.0
경상남도,산청군,843.0
경상남도,의령군,838.0
경상남도,남해군,792.0
인천광역시,서구,9739.0
인천광역시,남동구,7808.0
인천광역시,부평구,7707.0
인천광역시,연수구,6888.0
인천광역시,미추홀구,5655.0
인천광역시,계양구,4482.0
인천광역시,중구,2359.0
인천광역시,강화군,1532.0
인천광역시,동구,899.0
인천광역시,옹진군,393.0
충청남도,천안시 서북구,6822.0
충청남도,아산시,6345.0
충청남도,천안시 동남구,5556.0
충청남도,당진시,4248.0
충청남도,서산시,3782.0
충청남도,보령시,2831.0
충청남도,논산시,2611.0
충청남도,공주시,2169.0
충청남도,홍성군,2101.0
충청남도,예산군,2086.0
충청남도,부여군,1872.0
충청남도,태안군,1759.0
충청남도,서천군,1289.0
충청남도,금산군,1241.0
충청남도,계룡시,1187.0
충청남도,청양군,911.0
울산광역시,남구,10072.0
울산광역시,북구,8162.0
울산광역시,중구,7937.0
울산광역시,울주군,7529.0
울산광역시,동구,6327.0
충청북도,충주시,6315.0
충청북도,청주시 흥덕구,6003.0
충청북도,청주시 상당구,5055.0
충청북도,청주시 청원구,5013.0
충청북도,청주시 서원구,4549.0
충청북도,제천시,3078.0
충청북도,음성군,2789.0
