유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
경상북도 군위군 , 경상북도 의성군,12.8,1
경상북도 안동시 , 경상북도 의성군,12.7,1
경상북도 구미시 , 경상북도 의성군,11.7,1
대구광역시 북구 , 경상북도 의성군,9.3,1
경상북도 칠곡군 , 경상북도 의성군,6.3,1
대구광역시 달서구 , 경상북도 의성군,6.0,1
대구광역시 수성구 , 경상북도 의성군,4.6,1
경상북도 상주시 , 경상북도 의성군,4.4,1
대구광역시 동구 , 경상북도 의성군,3.6,1
대구광역시 달성군 , 경상북도 의성군,2.4,1
경상북도 경산시 , 경상북도 의성군,1.9,1
경상북도 영천시 , 경상북도 의성군,1.9,1
대구광역시 서구 , 경상북도 의성군,1.8,1
경상북도 청송군 , 경상북도 의성군,1.8,1
경상북도 예천군 , 경상북도 의성군,1.6,1
대구광역시 중구 , 경상북도 의성군,1.3,1
경상북도 영주시 , 경상북도 의성군,1.2,1
대구광역시 남구 , 경상북도 의성군,1.0,1
경상북도 김천시 , 경상북도 의성군,1.0,1
경상북도 문경시 , 경상북도 의성군,0.9,1
 경상북도 의성군,경상북도 안동시,16.6,2
 경상북도 의성군,경상북도 영덕군,9.6,2
 경상북도 의성군,경상북도 군위군,9.4,2
 경상북도 의성군,경상북도 구미시,6.9,2
 경상북도 의성군,경상북도 경주시,5.2,2
 경상북도 의성군,경상북도 상주시,4.4,2
 경상북도 의성군,경상북도 청송군,3.9,2
 경상북도 의성군,대구광역시 북구,3.8,2
 경상북도 의성군,경상북도 예천군,2.9,2
 경상북도 의성군,경상북도 포항시 북구,2.5,2
 경상북도 의성군,대구광역시 동구,2.4,2
 경상북도 의성군,대구광역시 수성구,2.2,2
 경상북도 의성군,대구광역시 달서구,2.1,2
 경상북도 의성군,경상북도 칠곡군,2.1,2
 경상북도 의성군,부산광역시 해운대구,1.8,2
 경상북도 의성군,경상북도 울진군,1.7,2
 경상북도 의성군,경상북도 영주시,1.7,2
 경상북도 의성군,경상북도 문경시,1.6,2
 경상북도 의성군,경상북도 영천시,1.1,2
 경상북도 의성군,경상북도 포항시 남구,1.0,2
