순위,업소명,주소,분류,합산 검색 수
1,의성마늘소덕향,경북 의성군 도리원3길 41-0,한식,6495
2,봉양한우마실작목회,경북 의성군 봉기길 19-0,한식,5038
3,논산칼국수,경북 의성군 탑리1길 47-1,한식,2034
4,서울깍두기,경북 의성군 경북대로 4362-5,한식,1711
5,남선옥식육식당,경북 의성군 전통시장1길 8-1,한식,1622
6,할매닭발,경북 의성군 전통시장3길 7-6,외국식,1450
7,정원레스토랑,경북 의성군 동서2길 16-0,외국식,1084
8,오늘손만두,경북 의성군 용기9길 11-0,한식,926
9,산마루식당,경북 의성군 농공마전길 101-9,한식,632
10,달라스햄버거,경북 의성군 군청길 14-1,간이음식,546
11,마늘목장한우타운,경북 의성군 용기12길 66-0,한식,544
12,국시가,경북 의성군 농공마전길 101-13,한식,426
13,수정골맑은한우,경북 의성군 금성현서로 10-0,한식,390
14,의성마늘한우프라자,경북 의성군 중앙길 55-5,한식,332
15,천진손짜장[중식],경북 의성군 경북대로 4362-1,외국식,326
16,롯데리아경북의성점,경북 의성군 동서1길 26-0,간이음식,295
17,안사우정국,경북 의성군 안사3길 27-0,한식,292
18,파리바게뜨경북의성점,경북 의성군 염매시장길 11-0,간이음식,280
19,청호가든,경북 의성군 경북대로 4942-0,한식,267
20,의성향촌당,경북 의성군 전통시장3길 11-6,카페/찻집,260
21,뚜레쥬르의성안계점,경북 의성군 안계길 165-0,간이음식,250
22,모던29,경북 의성군 도리원3길 29-1,카페/찻집,227
23,중앙식육식당,경북 의성군 동서1길 36-0,한식,188
24,의성흑마늘삼계탕오리,경북 의성군 의성사곡로 47-0,한식,180
25,뿔난염소식당,경북 의성군 북부길 342-0,한식,148
26,단촌역쉼터,경북 의성군 장터길 29-6,카페/찻집,142
27,서원한정식[한식],경북 의성군 동서2길 28-1,한식,138
28,위천회타운,경북 의성군 소보안계로 1907-0,외국식,129
29,낙동오리잔치,경북 의성군 도안로 808-1,한식,116
30,던킨경북의성점,경북 의성군 문소3길 52-0,간이음식,114
31,어울마실,경북 의성군 경북대로 6424-0,한식,113
32,촌국수가,경북 의성군 고운길 17-0,한식,108
33,도원불고기식당,경북 의성군 도리원1길 39-1,한식,107
34,단골국밥,경북 의성군 도리원1길 39-0,한식,106
35,달빛레스토랑,경북 의성군 소보안계로 2070-0,외국식,102
35,동해반점[중식],경북 의성군 동서1길 37-0,외국식,102
37,단촌한우암소식당,경북 의성군 장터길 35-7,한식,98
38,들길식당,경북 의성군 일직점곡로 1031-0,한식,95
39,배스킨라빈스경북의성점,경북 의성군 군청길 28-0,간이음식,94
40,추대감남원추어탕의성점,경북 의성군 경북대로 5750-0,한식,92
41,성주숯불갈비,경북 의성군 동서1길 18-0,한식,89
42,미정함흥냉면,경북 의성군 문소1길 167-5,한식,86
42,장미매운탕식당,경북 의성군 도안로 820-0,한식,86
44,엔제리너스경북의성점,경북 의성군 군청길 9-0,카페/찻집,79
45,체리코나,경북 의성군 도안로 826-0,카페/찻집,69
46,의성마늘김동준한우,경북 의성군 도리원1길 88-0,한식,68
47,새아침해장국,경북 의성군 도리원1길 54-0,한식,66
48,위천추어탕,경북 의성군 소보안계로 1907-0,한식,65
49,카페봄봄의성점,경북 의성군 군청길 49-0,카페/찻집,59
50,원조닭발,경북 의성군 전통시장3길 7-1,외국식,53
50,의성늘보,경북 의성군 경북대로 4348-0,카페/찻집,53
50,꽃이숲을이루다,경북 의성군 문소3길 37-0,카페/찻집,53
53,국보설렁탕해장국,경북 의성군 서부로 1768-0,한식,51
53,김밥나라,경북 의성군 염매시장길 17-1,간이음식,51
55,아이리스카페,경북 의성군 도안로 2109-0,카페/찻집,50
56,낙동강식당,경북 의성군 도안로 833-0,한식,49
57,날마다복날,경북 의성군 서부로 2192-0,한식,43
58,높은집,경북 의성군 도안로 824-0,한식,42
58,시골황토매운탕,경북 의성군 중리길 20-1,한식,42
58,수목오리촌,경북 의성군,외국식,42
61,리씨네,경북 의성군 서부로 1844-0,카페/찻집,41
62,바른쌀빵,경북 의성군 도리원1길 80-1,간이음식,39
63,59쌀피자의성점,경북 의성군 상리길 30-0,간이음식,37
63,까페소나무,경북 의성군 용기4길 31-0,카페/찻집,37
65,의성각마늘오리식당,경북 의성군 경북대로 5644-0,외국식,36
66,태평루[중식],경북 의성군 탑리2길 12-0,외국식,35
67,황토오리마을,경북 의성군 용기2길 54-0,외국식,34
68,구안기사식당,경북 의성군 서부로 1423-0,한식,33
69,대왕관광농원식당,경북 의성군 의성길안로 525-0,한식,32
69,안계손짜장[중식],경북 의성군 용기12길 77-0,외국식,32
71,예그랑,경북 의성군 수정사길 19-0,카페/찻집,31
71,빡빡이제주생해물탕,경북 의성군 도리원1길 88-0,한식,31
73,가로숲카페,경북 의성군 점곡길 42-0,카페/찻집,30
73,매일식육식당,경북 의성군 북부길 2-0,한식,30
73,강산동태전문점,경북 의성군 도리원1길 60-0,한식,30
76,돼지촌숯불갈비,경북 의성군 금성현서로 16-0,한식,28
76,윤카츠[일식],경북 의성군 군청길 41-0,외국식,28
76,막썰어횟집,경북 의성군 문소3길 6-0,외국식,28
79,뚜레쥬르경북의성,경북 의성군 중앙길 78-0,간이음식,27
79,농공식당,경북 의성군 농공마전길 28-0,한식,27
81,밀겨울경북의성점,경북 의성군 군청길 60-0,한식,26
82,블루하라,경북 의성군 도리원1길 51-0,카페/찻집,25
82,토속석쇠구이,경북 의성군 봉기길 36-0,한식,25
84,별꽃달나무,경북 의성군 봉기길 19-0,카페/찻집,24
85,산들물,경북 의성군 서부로 1844-0,한식,23
86,장터식육식당,경북 의성군 탑리1길 10-0,외국식,22
86,삼거리순대국밥,경북 의성군 도안로 808-0,한식,22
88,사랑채오리마을,경북 의성군 향교길 9-0,외국식,21
88,평양메밀냉면,경북 의성군 군청길 40-1,한식,21
88,논밭에,경북 의성군 소보안계로 1912-0,카페/찻집,21
91,한중각[중식],경북 의성군 서부로 2844-0,외국식,19
91,예전식당,경북 의성군 문소3길 56-0,한식,19
93,두메산골,경북 의성군 문소2길 27-1,한식,18
93,수림[중식],경북 의성군 문소3길 25-0,외국식,18
95,문소식육식당,경북 의성군 전통시장2길 15-6,한식,17
95,인사동[한식],경북 의성군 중앙길 79-1,한식,17
97,대구식당,경북 의성군 도안로 804-0,한식,16
97,탐리역회,경북 의성군 조문로 923-0,외국식,16
97,장바우가든,경북 의성군 도암1길 17-16,외국식,16
97,마왕족발경북의성점,경북 의성군 군청길 49-0,외국식,16
