순위,관광지명,주소,분류,외지인 검색 수
1,가산수피아,경북 칠곡군 학하4길 57-105,캠핑,21133
2,세븐밸리CC,경북 칠곡군 봉계3길 180-0,육상레저스포츠,21104
3,칠곡보생태공원,경북 칠곡군,도시공원,18171
4,파미힐스CC,경북 칠곡군 봉계로 263-0,육상레저스포츠,17619
5,칠곡아이위시컨트리클럽,경북 칠곡군 노석1길 49-112,육상레저스포츠,13488
6,칠곡보사계절썰매장,경북 칠곡군 강변대로 1592-0,기타레저스포츠,10295
7,송림사,경북 칠곡군 송림길 73-0,종교성지,9647
8,가산산성,경북 칠곡군,역사유적지,9300
9,칠곡보오토캠핑장,경북 칠곡군 강변서로 110-43,캠핑,9138
10,마이다스구미 골프아카데미,경북 칠곡군 학하2길 54-171,육상레저스포츠,8596
11,동명저수지,경북 칠곡군,자연경관(하천/해양),8386
12,다부동전적기념관,경북 칠곡군 호국로 1486-0,전시시설,7039
13,왜관시장,경북 칠곡군 시장1길 7-0,시장,6452
14,한티재,경북 칠곡군,자연경관(산),5944
15,칠곡도개온천,경북 칠곡군 도개6길 30-0,웰니스관광,5867
16,칠곡호국평화기념관,경북 칠곡군 강변대로 1580-0,전시시설,5078
17,동명지수변공원,경북 칠곡군,도시공원,4835
18,꿀벌나라테마공원,경북 칠곡군 강변대로 1580-1,도시공원,4574
19,클럽아이리스아쿠아,경북 칠곡군 봉계로 348-0,테마공원,4293
20,국립칠곡숲체원,경북 칠곡군 유학로 532-0,자연공원,4015
21,휴온천,경북 칠곡군 기성5길 11-10,웰니스관광,3812
22,신동파인힐스,경북 칠곡군 송정원곡길 8-0,육상레저스포츠,3753
23,팔공산금화자연휴양림,경북 칠곡군 가산로 323-0,자연공원,3578
24,지천지,경북 칠곡군,자연경관(하천/해양),2648
25,북삼인평근린공원,경북 칠곡군,도시공원,2167
26,텐모텔,경북 칠곡군 중앙로 63-1,모텔,2061
27,금화계곡,경북 칠곡군,자연경관(산),2057
28,꿈애오토캠핑장,경북 칠곡군 봉계1길 6-0,캠핑,1982
29,복만네,경북 칠곡군 가산로 108-10,기타관광,1834
30,하빈지,경북 칠곡군,자연경관(하천/해양),1810
31,센트로호텔,경북 칠곡군 중앙로 152-3,호텔,1705
32,하루체험농장,경북 칠곡군 석적로 361-46,농/산/어촌체험,1627
33,M7호텔,경북 칠곡군 중앙로1길 13-0,모텔,1544
34,평화분수,경북 칠곡군,기타관광,1528
35,행화촌자연테마파크,경북 칠곡군 지천로 798-9,캠핑,1427
