순위,업소명,주소,분류,외지인 검색 수
1,환여횟집,경북 포항시 북구 해안로 189-1,외국식,44677
2,러블랑,경북 포항시 북구 동해대로 3310-0,카페/찻집,33339
3,마라도회식당,경북 포항시 북구 해안로 217-1,외국식,20634
4,어레인지먼트,경북 포항시 북구 해안로 1804-0,카페/찻집,13907
5,헤이안,경북 포항시 북구 해안로 219-0,카페/찻집,12742
6,새포항물회,경북 포항시 북구 삼호로 65-0,외국식,9478
7,바다원해,경북 포항시 북구 해안로 397-0,외국식,9310
8,청하시장식육식당,경북 포항시 북구 청하로200번길 10-1,한식,8900
9,시민제과,경북 포항시 북구 불종로 48-0,간이음식,7511
10,스타벅스포항장성DT점,경북 포항시 북구 새천년대로 1255-0,카페/찻집,7491
11,두낫디스터브포항칠포점,경북 포항시 북구 해안로 1572-0,카페/찻집,7380
12,맥도날드포항북부DT점,경북 포항시 북구 해안로 85-0,간이음식,6589
13,스타벅스포항죽도DT점,경북 포항시 북구 새천년대로 486-0,카페/찻집,6475
14,빌라드웨이브,경북 포항시 북구 해안로 1777-0,한식,6133
14,장기식당,경북 포항시 북구 죽도시장3길 9-12,한식,6133
16,카페1703,경북 포항시 북구 동해대로 3290-0,카페/찻집,5855
17,스타벅스포항영일대비치점,경북 포항시 북구 삼호로 186-0,카페/찻집,5853
18,온센포항점,경북 포항시 북구 삼호로 234-1,외국식,5060
19,태화횟집,경북 포항시 북구 여남포길 57-0,외국식,4971
20,SUBWAY포항남부DT점,경북 포항시 북구 새천년대로 526-0,간이음식,4867
21,카페포토피아,경북 포항시 북구 해안로 1744-0,카페/찻집,4861
22,오대양물회식당,경북 포항시 북구 대신로 28-1,외국식,4672
23,맥도날드포항장성DT점,경북 포항시 북구 새천년대로 1261-0,간이음식,4486
24,반송정국시,경북 포항시 북구 해안로 2796-0,한식,4475
25,수가성,경북 포항시 북구 상대로 33-0,한식,4451
26,포갈집,경북 포항시 북구 삼호로 213-1,한식,4388
27,포항산림조합숲마을카페,경북 포항시 북구 새마을로 331-6,카페/찻집,4324
28,대화식당,경북 포항시 북구 죽도시장11길 6-5,한식,4098
29,삼형제횟집,경북 포항시 북구 죽도시장길 37-0,외국식,3951
30,페이지38,경북 포항시 북구 해안로2064번길 48-0,카페/찻집,3912
31,선류산장,경북 포항시 북구 수석봉길 145-0,카페/찻집,3209
32,신선도횟집,경북 포항시 북구 해안로 1870-0,외국식,3118
33,평남식당,경북 포항시 북구 죽도시장3길 9-16,한식,3081
34,냉수면옥,경북 포항시 북구 비학로 397-0,한식,2942
35,스타벅스포항양덕점,경북 포항시 북구 장량로 162-0,카페/찻집,2747
36,카페티베이,경북 포항시 북구 해안로445번길 20-13,카페/찻집,2735
37,스타벅스포항중앙점,경북 포항시 북구 불종로 41-0,카페/찻집,2729
38,차이홍[중식],경북 포항시 북구 해안로 119-0,외국식,2656
39,블랑도도,경북 포항시 북구 해안로1774번길 25-0,카페/찻집,2615
40,황장군포항점,경북 포항시 북구 중흥로 161-0,한식,2592
41,이디야커피포항화진점,경북 포항시 북구 동해대로3378번길 2-0,카페/찻집,2545
42,바닷속물회,경북 포항시 북구 중흥로213번길 8-0,외국식,2459
43,오도리오도시,경북 포항시 북구 해안로1774번길 49-1,카페/찻집,2456
44,오딘,경북 포항시 북구 동해대로 3320-0,카페/찻집,2392
45,가정초밥영일대점,경북 포항시 북구 삼호로 254-0,외국식,2377
46,원조옛날한계령조개구이,경북 포항시 북구 해안로 123-0,외국식,2239
47,유재용손만두,경북 포항시 북구 대신로36번길 10-1,한식,2222
48,포항특미물회,경북 포항시 북구 동빈로 106-0,외국식,2144
49,홍익돈까스포항점,경북 포항시 북구 장량로190번길 23-0,외국식,2072
50,안다미로한정식[한식],경북 포항시 북구 법원로98번길 45-4,한식,2018
51,오브레멘,경북 포항시 북구 해안로 191-1,카페/찻집,1997
52,죽천회타운,경북 포항시 북구 죽천길 91-2,외국식,1992
53,애플리,경북 포항시 북구 기북로 579-13,카페/찻집,1954
54,영포회타운,경북 포항시 북구 해동로 187-0,외국식,1951
55,영일대한티재,경북 포항시 북구 삼호로 384-0,한식,1914
56,스쿱당,경북 포항시 북구 중흥로309번길 22-0,간이음식,1898
57,고바우식당,경북 포항시 북구 중앙상가5길 15-0,한식,1895
58,부산가야밀면,경북 포항시 북구 달전로 36-2,한식,1869
59,올리앤포항점,경북 포항시 북구 창흥로 89-0,외국식,1859
60,멜로우선샤인,경북 포항시 북구 해안로445번길 20-5,카페/찻집,1796
61,일번지횟집,경북 포항시 북구 동해대로 3356-11,외국식,1786
62,영해회식당,경북 포항시 북구 죽도시장길 38-1,외국식,1783
63,곤지곤지장성점 [한식],경북 포항시 북구 장량로 17-0,한식,1776
64,환여횟집환호점,경북 포항시 북구 해안로 379-0,외국식,1761
65,정대감한우촌,경북 포항시 북구 장량로 260-0,한식,1757
66,본가꼬막짬뽕[중식],경북 포항시 북구 새천년대로 1299-1,외국식,1752
67,마당집,경북 포항시 북구 해안로 99-0,외국식,1750
68,깃대횟집,경북 포항시 북구 해안로 251-0,외국식,1747
69,버거킹포항법원SK점,경북 포항시 북구 신덕로 257-0,간이음식,1740
70,동원해물촌,경북 포항시 북구 해안로 57-4,외국식,1715
70,투썸플레이스포항화진점,경북 포항시 북구 동해대로 3258-0,카페/찻집,1715
72,한스드림베이커리,경북 포항시 북구 새천년대로1020번길 39-0,간이음식,1686
73,롯데리아포항흥해점,경북 포항시 북구 흥해로 38-0,간이음식,1656
74,지혜횟집,경북 포항시 북구 해안로2506번길 67-0,외국식,1630
75,윤금자모리칼국수본점,경북 포항시 북구 삼흥로 67-0,한식,1622
76,샤브20,경북 포항시 북구 법원로 7-0,외국식,1619
77,참새미시골밥상[한식],경북 포항시 북구 동해대로 2757-0,한식,1595
78,묵돌이,경북 포항시 북구 해안로 107-0,외국식,1552
79,황해도순대,경북 포항시 북구 양학천로 197-0,한식,1547
80,버거킹포항두호DT점,경북 포항시 북구 두호로 39-0,간이음식,1542
81,제주은희네해장국죽도점,경북 포항시 북구 중흥로 146-0,한식,1536
82,목구멍포항점,경북 포항시 북구 장량로32번길 65-0,한식,1468
83,비터스윗,경북 포항시 북구 도음로856번길 27-37,카페/찻집,1465
84,화목정,경북 포항시 북구 장량중앙로 62-0,한식,1462
85,수가성장성점,경북 포항시 북구 법원로20번길 6-0,한식,1449
86,곡강힐즈,경북 포항시 북구 칠포로 80-23,카페/찻집,1433
87,흥해참숯석갈비,경북 포항시 북구 한동로 81-1,한식,1431
88,강산식당,경북 포항시 북구 죽도로40번길 21-0,한식,1411
89,삼오복집,경북 포항시 북구 포스코대로 317-19,외국식,1409
90,피즈,경북 포항시 북구 새천년대로1173번길 15-55,외국식,1369
91,팜테이블영일대점,경북 포항시 북구 해안로 211-0,카페/찻집,1332
92,애슐리NC포항점,경북 포항시 북구 중앙상가길 6-0,외국식,1315
93,축산랜드,경북 포항시 북구 장량로262번길 23-0,한식,1311
94,미남장어본점,경북 포항시 북구 장량로 238-0,외국식,1306
95,연다라횟집,경북 포항시 북구 죽도시장길 36-0,외국식,1299
96,수향회식당,경북 포항시 북구 죽도시장14길 3-0,외국식,1293
97,썬어게인,경북 포항시 북구 해안로 742-0,카페/찻집,1290
98,인천식당,경북 포항시 북구 중앙로 328-1,한식,1270
99,한우랑,경북 포항시 북구 장량중앙로65번길 3-0,한식,1269
100,불미골오리,경북 포항시 북구 침촌마을길 171-0,외국식,1268
