순위,관광지명,주소,분류
1,이마트/봉선점,광주 남구 봉선로 198-0,쇼핑
2,펭귄마을,광주 남구 천변좌로446번길 7-0,기타관광지
3,무등시장,광주 남구 군분로 27-0,쇼핑
4,광주공원,광주 남구 중앙로107번길 15-0,자연관광지
5,삼성전자서비스/남광주휴대폰센터,광주 남구 대남대로 161-0,쇼핑
6,빛고을CC,광주 남구 효우로 153-0,레포츠(육상/해상/항공)
7,빅스포,광주 남구 서문대로 745-0,레포츠(육상/해상/항공)
8,사직공원,광주 남구 사직길 49-0,자연관광지
9,광주광역시립사직도서관,광주 남구 제중로 56-0,문화시설
10,펭귄마을,광주 남구 천변좌로446번길 7-0,기타관광
11,남구다목적체육관,광주 남구 화산로 110-0,기타관광지
12,다이소/봉선2호점,광주 남구 봉선로 180-0,쇼핑
13,포충사,광주 남구 포충로 767-0,역사관광지
14,롯데슈퍼/봉선점,광주 남구 유안초등북길 1-0,쇼핑
15,빛고을농촌테마공원,광주 남구,자연관광지
16,빛고을시민문화관,광주 남구 천변좌로338번길 7-0,문화시설
17,사직공원전망타워,광주 남구 서서평길 10-1,기타관광지
18,봉선시장,광주 남구 봉선중앙로91번길 7-0,쇼핑
19,롯데하이마트/봉선점,광주 남구 봉선로 56-0,쇼핑
20,광주공원,광주 남구 중앙로107번길 15-0,문화관광
21,블랙데이식자재마트,광주 남구 효우로 200-0,쇼핑
22,다이소/광주진월점,광주 남구 서문대로 686-0,쇼핑
23,영산강6경(승촌보)/승촌보문화관,광주 남구,기타관광지
24,진월국제테니스장,광주 남구 화산로 30-0,레포츠(육상/해상/항공)
25,광주김치타운,광주 남구 김치로 60-0,기타관광지
26,광주국제양궁장,광주 남구 회재로 1189-1,레포츠(육상/해상/항공)
27,다이소/광주효천1지구점,광주 남구 효천중앙로 64-0,쇼핑
28,남도골프,광주 남구 대남대로 403-0,쇼핑
29,광주남구로컬푸드직매장,광주 남구 화산로 32-0,쇼핑
30,일룸/봉선점,광주 남구 봉선로 16-0,쇼핑
31,LG전자서비스센터/남광주점,광주 남구 서문대로 718-0,쇼핑
32,남부시장,광주 남구 군분로148번길 3-0,쇼핑
33,쿠쿠/남광주서비스센터,광주 남구 대남대로 338-0,쇼핑
34,사직공원,광주 남구 사직길 49-0,문화관광
35,다이소/광주월산점,광주 남구 대남대로 385-0,쇼핑
36,쥬키아이스파크,광주 남구 봉선중앙로131번길 11-0,휴양관광지
