순위,업소명,주소,분류,현지인 검색 수
1,대덕식당,대구 남구 앞산순환로 443-0,한식,2663
2,스타벅스대구앞산DT점,대구 남구 현충로 32-0,카페/찻집,1822
3,스타벅스대구영대병원역DT점,대구 남구 봉덕로 25-0,카페/찻집,1618
4,아눅앞산,대구 남구 앞산순환로 459-0,카페/찻집,1586
5,고령촌돼지찌개앞산본점,대구 남구 앞산순환로 440-1,한식,1489
6,맥도날드대구교대DT점,대구 남구 중앙대로 225-0,간이음식,1444
7,조조칼국수앞산본점,대구 남구 현충로15길 13-1,한식,1174
8,앞산주택,대구 남구 현충로1길 16-0,외국식,984
9,황제무한화로구이봉덕점,대구 남구 봉덕로 58-0,한식,905
10,한스시,대구 남구 두류공원로19길 8-4,외국식,900
11,앞산큰골집,대구 남구 큰골길 35-0,한식,704
12,안지랑곱창골목,대구 남구,기타음식,666
13,신마산식당본점,대구 남구 현충로 214-0,한식,635
14,버거킹대구대명FS점,대구 남구 대명로 89-0,간이음식,624
15,투썸플레이스대구앞산점,대구 남구 현충로 24-0,카페/찻집,617
16,커피플라자,대구 남구 앞산순환로87길 49-0,카페/찻집,605
17,면장수앞산점,대구 남구 앞산순환로 411-0,한식,558
17,앞산카페거리,대구 남구 대명남로 189-0,기타음식,558
19,곤지곤지옹기보리밥[한식],대구 남구 앞산순환로 465-1,한식,544
20,넘버더스타즈,대구 남구 현충로 54-0,카페/찻집,516
21,카펠라,대구 남구 앞산순환로 449-0,카페/찻집,513
22,SUBWAY대구교대점,대구 남구 중앙대로 243-0,간이음식,482
23,오르다카페,대구 남구 안지랑로 11-0,카페/찻집,470
24,파크국밥,대구 남구 대명복개로 199-0,한식,467
25,또이스치킨찜닭본점,대구 남구 양지북길 100-0,외국식,459
26,한진기사식당,대구 남구 봉덕로 7-0,외국식,440
27,구공탄막창,대구 남구 대명로 303-0,외국식,421
28,현짬뽕[중식],대구 남구 대봉로 89-0,외국식,386
29,민스크,대구 남구 현충로6길 9-2,카페/찻집,383
30,앞산분식본점,대구 남구 앞산순환로 383-6,간이음식,379
31,읍천리382본점,대구 남구 안골길 17-1,카페/찻집,370
32,진해숯불막창,대구 남구 성당로 272-0,외국식,346
33,앞산게장,대구 남구 앞산순환로 473-0,외국식,333
34,강씨목삼,대구 남구 중앙대로22길 146-0,한식,329
34,진흥반점[중식],대구 남구 이천로28길 43-2,외국식,329
36,대쿠이본점,대구 남구 중앙대로51길 38-2,외국식,326
37,도미노피자봉덕점,대구 남구 봉덕로 66-0,간이음식,322
38,이을감자탕대명점,대구 남구 명덕로 128-0,한식,311
39,블루웨이브,대구 남구 큰골5길 5-0,외국식,302
40,호어모아,대구 남구 안지랑로5길 88-0,외국식,297
41,투썸플레이스앞산스카이타운점,대구 남구 앞산순환로 375-0,카페/찻집,292
42,라겟옴,대구 남구 앞산순환로87길 51-0,카페/찻집,283
43,용궁복어,대구 남구 현충로 46-0,외국식,282
44,투썸플레이스남구청희망로점,대구 남구 희망로 5-0,카페/찻집,281
45,투썸플레이스대구영대병원역점,대구 남구 대명로 291-0,카페/찻집,273
46,크래프터,대구 남구 현충로 41-1,간이음식,264
47,지오네키친,대구 남구 현충로 21-0,외국식,261
48,노이식탁,대구 남구 대명남로 188-0,외국식,260
49,초원부대찌개,대구 남구 두류공원로 104-1,외국식,249
50,밀양돼지국밥,대구 남구 대명로 99-0,한식,246
51,명덕빵앗간,대구 남구 명덕로40길 72-0,간이음식,243
51,청학식당,대구 남구 봉덕로1길 52-1,한식,243
53,오마모리,대구 남구 대명남로 167-0,카페/찻집,240
54,회성각[중식],대구 남구 현충로 256-0,외국식,234
55,성주막창,대구 남구 대명로 3-0,외국식,223
56,인디안까페,대구 남구 앞산순환로 436-0,외국식,222
57,원대덕골민물장어,대구 남구 앞산순환로 409-0,외국식,209
57,후포회수산,대구 남구 중앙대로32길 13-0,외국식,209
59,청라연[한식],대구 남구 두류공원로 62-0,한식,207
60,앞산울진대게본점,대구 남구 앞산순환로 559-1,외국식,197
61,고려빵과자점,대구 남구 자유6길 45-2,간이음식,196
62,본가안동갈비,대구 남구 중앙대로22길 219-0,한식,194
63,낙산가든식당,대구 남구 봉덕로20길 24-0,한식,188
63,파리바게뜨봉덕효성타운점,대구 남구 신촌길 57-0,간이음식,188
65,료미대구앞산점 [일식],대구 남구 현충로 17-0,외국식,187
65,설빙대구앞산점,대구 남구 현충로 43-2,카페/찻집,187
67,정석회관,대구 남구 명덕로24길 11-0,외국식,185
68,로벤하우스,대구 남구 현충로5길 7-1,외국식,184
69,후라토식당대구점,대구 남구 장전3길 85-0,외국식,182
70,스시비조,대구 남구 대명로14길 63-0,외국식,181
71,샤브향앞산빨래터점,대구 남구 안지랑로5길 73-0,외국식,180
72,소가담,대구 남구 현충로6길 27-1,외국식,179
73,청도돼지국밥,대구 남구 대봉로 65-0,한식,178
73,행복한갈비대명점,대구 남구 대명로 199-0,한식,178
75,성당못빌,대구 남구 성당로 54-5,카페/찻집,177
76,파리바게뜨대구가톨릭병원점,대구 남구 두류공원로 91-0,간이음식,173
77,어썸버거,대구 남구 삼정길 62-0,간이음식,162
78,얹은,대구 남구 큰골길 79-0,외국식,160
78,이찌로앞산점,대구 남구 안지랑로5길 65-0,외국식,160
80,솔밭골,대구 남구 대명로 178-0,한식,158
81,지환이네왕족발,대구 남구 대명복개로 96-0,외국식,157
82,와촌손칼국시본점,대구 남구 대명남로 141-0,한식,153
83,이태리앤이태리,대구 남구 삼정길 93-0,간이음식,152
84,파스쿠찌대구대명역점,대구 남구 대명로 73-0,카페/찻집,148
85,라비앙로즈,대구 남구 안지랑로 15-0,외국식,147
86,교동면옥대명점,대구 남구 성당로 270-0,한식,146
87,두셰프의돈가스앤마우,대구 남구 안지랑로5길 90-0,외국식,145
88,파스쿠찌대구앞산정은점,대구 남구 대명남로 191-0,카페/찻집,143
89,투썸플레이스대구가톨릭병원대로점,대구 남구 두류공원로 102-0,카페/찻집,138
90,똔똔이곱창막창,대구 남구 대명로36길 71-2,외국식,135
91,패티스팩토리,대구 남구 삼정길 63-0,한식,134
92,나리꼬모앞산점,대구 남구 장전3길 136-0,간이음식,133
93,핸즈커피앞산점,대구 남구 앞산순환로 415-0,카페/찻집,131
94,온천골앞산점,대구 남구 앞산순환로 435-0,한식,130
95,도리도프,대구 남구 안골길 57-0,외국식,129
95,맥아더키친,대구 남구 명덕로34길 21-0,한식,129
97,더스테이크플러스봉덕캠프워커점,대구 남구 삼정길 55-0,외국식,127
98,샤브향대명동계대점,대구 남구 명덕로 104-0,외국식,126
99,몽펍피,대구 남구 명덕로18길 127-0,카페/찻집,124
99,효행원반점[중식],대구 남구 대봉로 1-0,외국식,124
