순위,관광지명,주소,분류,현지인 검색 수
1,대구국제공항,대구 동구 공항로 221-0,교통시설,23385
2,동촌유원지,대구 동구 효동로2길 72-0,복합관광시설,13470
3,불로전통시장,대구 동구 팔공로26길 9-1,시장,7116
4,방촌종합시장,대구 동구 동촌로46길 2-0,시장,7073
5,동구시장,대구 동구 효목로 8-0,시장,6231
6,대구체력단련장,대구 동구,육상레저스포츠,6121
7,퀸벨호텔,대구 동구 동촌로 200-0,호텔,5595
8,아양아트센터,대구 동구 효동로2길 24-0,기타문화관광지,5390
9,동화사,대구 동구 동화사1길 1-0,종교성지,5084
10,봉무공원,대구 동구,도시공원,4817
11,대구메리어트호텔&레지던스,대구 동구,호텔,4667
12,팔공산케이블카,대구 동구 팔공산로185길 51-0,기타관광,4367
13,씨네80자동차극장,대구 동구 팔공산로 1184-0,공연시설,3855
14,평화시장,대구 동구 아양로9길 10-0,시장,3503
15,파계사,대구 동구 파계로 741-0,종교성지,3420
16,메가박스대구이시아,대구 동구 팔공로49길 51-0,공연시설,3281
17,망우공원,대구 동구,도시공원,3212
18,대구섬유박물관,대구 동구 팔공로 227-0,전시시설,2680
19,팔공CC,대구 동구 팔공산로237길 186-0,육상레저스포츠,2596
20,반야월종합시장,대구 동구 율하동로 144-0,시장,2186
21,율하체육공원,대구 동구 금호강변로 278-0,도시공원,2152
22,효목시장,대구 동구 효동로15길 0-0,시장,2039
23,롯데시네마율하,대구 동구 안심로 80-0,공연시설,1907
24,대구시민안전테마파크,대구 동구 팔공산로 1155-0,테마공원,1665
25,박주영축구장,대구 동구 금호강변로 278-0,레저스포츠시설,1513
26,불로동고분공원,대구 동구,도시공원,1506
27,대구메리어트호텔&레지던스,대구 동구 동부로26길 6-0,호텔,1310
28,수태골,대구 동구,자연경관(산),1276
29,CGV대구이시아,대구 동구 팔공로49길 16-0,공연시설,1274
30,롯데아울렛이시아폴리스점,대구 동구 팔공로49길 16-0,쇼핑몰,1218
31,송라시장,대구 동구 동부로5길 14-0,시장,1150
32,공항시장,대구 동구 해동로3길 6-0,시장,1084
33,인스타호텔,대구 동구 율암로 164-0,호텔,1079
34,동대구역광장,대구 동구 동대구로 550-0,도시공원,1046
35,롯데아울렛대구율하점,대구 동구 안심로 80-0,쇼핑몰,988
36,팔공산온천관광호텔,대구 동구 팔공산로185길 11-0,호텔,973
37,JB관광호텔,대구 동구 율암로 162-0,호텔,891
38,현대시티아울렛대구점,대구 동구 동대구로 454-0,쇼핑몰,872
39,코리아대동,대구 동구 팔공로45길 11-0,기타쇼핑시설,826
40,대구불로동고분군,대구 동구,역사유적지,756
41,대구도동측백나무숲,대구 동구,역사유적지,730
42,국립대구기상과학관,대구 동구 효동로2길 10-0,전시시설,725
43,대구방짜유기박물관,대구 동구 도장길 29-0,전시시설,723
44,신숭겸장군유적지,대구 동구 신숭겸길 17-0,역사유적지,716
45,앙코르호텔,대구 동구 이노밸리로 7-0,호텔,702
46,신암공원,대구 동구,도시공원,682
47,팔공산심천랜드,대구 동구 서촌로 145-0,웰니스관광,661
48,나불지,대구 동구,자연경관(하천/해양),659
49,하운드호텔동촌,대구 동구 해동로 208-0,호텔,642
50,브라운도트호텔대구동촌유원지점,대구 동구 효동로6길 32-0,호텔,625
50,대한수목원,대구 동구 파계로 446-42,자연공원,625
52,짜라호텔,대구 동구 갓바위로 246-13,모텔,624
53,신서중앙공원,대구 동구,도시공원,623
54,인더호텔,대구 동구 동부로26길 56-0,호텔,594
55,도림사,대구 동구 인산로 242-0,종교성지,585
56,이스턴호텔,대구 동구 동부로22길 24-0,호텔,575
57,대구아이스파크,대구 동구 입석로1길 69-4,육상레저스포츠,564
58,점새늪연꽃생태공원,대구 동구,도시공원,548
59,호텔포레스트701,대구 동구 동부로22길 86-0,모텔,538
60,비즈니스호텔K,대구 동구 반야월로34길 3-0,모텔,532
61,칸모텔,대구 동구 신암남로24길 17-14,모텔,526
62,팔공은가비,대구 동구 용천로 58-0,펜션/민박,520
63,황제모텔,대구 동구 동부로26길 25-0,모텔,509
64,각산비나리공원,대구 동구,도시공원,500
65,헤라모텔,대구 동구 신암남로 136-0,모텔,497
66,스테이22앤플레이22호텔,대구 동구 동부로22길 37-0,모텔,470
67,투하트호텔,대구 동구 동부로26길 63-0,모텔,469
68,호텔블랑,대구 동구 동대구로 462-1,모텔,468
69,기상대기념공원,대구 동구,도시공원,465
70,호텔이노밸리,대구 동구 율암로 156-14,모텔,450
71,호텔지금,대구 동구 동부로26길 17-0,모텔,434
72,동촌유원지오리배선착장,대구 동구 해동로 0-0,복합관광시설,429
73,역전시장,대구 동구 동부로16길 9-0,시장,426
74,호텔맥심,대구 동구 동부로22길 80-0,모텔,408
75,메가박스대구신세계,대구 동구 동부로 149-0,공연시설,386
76,노태우대통령생가,대구 동구 용진길 172-0,역사유적지,382
77,대구아쿠아리움,대구 동구 동부로 149-0,테마공원,369
78,아우룸호텔,대구 동구 율암로 156-20,모텔,363
79,2월호텔동대구점,대구 동구 장등로 78-0,모텔,351
80,ws호텔,대구 동구 율암로 156-22,호텔,349
81,부인사,대구 동구 팔공산로 967-28,종교성지,346
82,호텔여기어때동대구1호점,대구 동구 신암남로 132-0,모텔,340
83,샹그리라모텔,대구 동구 동부로22길 40-0,모텔,339
84,아마레호텔,대구 동구 율암로 156-15,호텔,334
85,나불지생태공원,대구 동구,도시공원,329
86,리더스모텔,대구 동구 동부로26길 38-0,모텔,322
87,갤러리호텔,대구 동구 효동로6길 80-0,모텔,320
88,무제여관,대구 동구 신암남로 94-0,모텔,317
89,정법사,대구 동구 동북로 397-0,종교성지,308
90,봉무파크골프장,대구 동구,기타레저스포츠,306
91,아양기찻길,대구 동구,기타관광,293
92,골든캐프호텔,대구 동구 율암로 156-28,모텔,291
93,씨네큐대구이시아점,대구 동구 팔공로49길 16-0,공연시설,290
94,도학오토캠핑장,대구 동구 팔공산로237길 47-0,캠핑,289
95,A4모텔,대구 동구 동부로22길 36-1,모텔,287
96,단산지,대구 동구,자연경관(하천/해양),285
97,소호하우스,대구 동구 아양로 324-0,모텔,275
97,반야월종합쇼핑,대구 동구 율하동로 143-0,쇼핑몰,275
99,호텔이시아,대구 동구 팔공로47길 38-0,호텔,270
100,보잉호텔,대구 동구 해동로6길 8-0,모텔,262
