순위,관광지명,주소,분류,현지인 검색 수
1,퀸스로드,대구 서구 평리로35길 18-17,쇼핑몰,4311
2,광장코아,대구 서구 달구벌대로 1703-0,쇼핑몰,2835
3,대평리시장,대구 서구 문화로49길 25-0,시장,2267
4,서부시장,대구 서구 달서로28길 6-7,시장,1508
5,뉴대구호텔,대구 서구 서대구로 45-0,호텔,1051
6,롯데시네마대구광장,대구 서구 달구벌대로 1691-0,공연시설,988
7,원대신시장,대구 서구 달서로54길 6-0,시장,969
8,새길시장,대구 서구 달서로4길 17-23,시장,924
9,유진장,대구 서구 서대구로 200-0,모텔,917
10,만평시장,대구 서구 달서천로41길 86-0,시장,912
11,원대가구명물거리,대구 서구 고성로 0-0,기타쇼핑시설,780
12,이현시장,대구 서구 문화로33길 24-0,시장,745
13,상리공원,대구 서구,도시공원,739
14,이현공원,대구 서구,도시공원,548
15,원고개시장,대구 서구 북비산로65길 3-0,시장,514
16,신평리시장,대구 서구 국채보상로52길 33-0,시장,492
17,구평리시장,대구 서구,시장,411
18,올인스포츠,대구 서구 국채보상로 12-0,기타레저스포츠,392
19,중리시장,대구 서구 국채보상로31길 12-0,시장,354
20,오투,대구 서구 국채보상로42길 8-0,모텔,284
21,중평시장,대구 서구 서대구로17길 16-0,시장,230
22,호텔여기어때서대구점,대구 서구 달서로 151-0,호텔,228
23,낭만스테이대구평리점,대구 서구 서대구로 93-0,모텔,204
24,폭스모텔,대구 서구 서대구로 57-14,모텔,181
25,가나다모텔,대구 서구 팔달로 96-0,모텔,166
26,더메종호텔,대구 서구 국채보상로48길 10-12,모텔,151
27,플레이모텔,대구 서구 서대구로11길 4-0,모텔,147
28,날뫼공원,대구 서구,도시공원,126
29,엘리모텔,대구 서구 서대구로 47-0,모텔,122
30,스페셜모텔,대구 서구 국채보상로42길 7-0,모텔,112
30,식스나인모텔,대구 서구 서대구로25길 5-0,모텔,112
30,호텔센텀본관,대구 서구 평리로57길 60-0,모텔,112
33,에스지도깨비호텔,대구 서구 큰장로 33-0,모텔,111
34,에버그린모텔,대구 서구 달서로 276-0,모텔,95
35,시안호텔,대구 서구 서대구로 117-0,모텔,92
36,가르뱅이공원,대구 서구,도시공원,83
36,삼익쇼핑센터,대구 서구 평리로 236-0,쇼핑몰,83
38,모텔제이,대구 서구 국채보상로42길 4-0,모텔,79
38,대구학생예술창작터,대구 서구 서대구로45길 22-0,기타문화관광지,79
40,쇼모텔,대구 서구 달서천로41길 79-0,모텔,73
41,2X모텔,대구 서구 서대구로21길 6-0,모텔,70
42,8월모텔,대구 서구 국채보상로46길 52-0,모텔,69
43,평사공원,대구 서구,도시공원,63
44,감삼못공원,대구 서구 서대구로3길 43-0,도시공원,62
45,와모텔,대구 서구 국채보상로42길 23-0,모텔,60
46,엠티365모텔,대구 서구 달서로 251-0,모텔,58
47,신평공원,대구 서구,도시공원,57
48,호텔오늘,대구 서구 서대구로63안길 13-0,모텔,53
49,이사벨호텔,대구 서구 서대구로63안길 15-0,모텔,49
49,제니모텔,대구 서구 평리로62길 6-0,모텔,49
49,서구시장,대구 서구 국채보상로45길 33-0,시장,49
52,선정심인당,대구 서구 달서로 23-0,종교성지,44
53,개미산공원,대구 서구,도시공원,40
54,기키모텔,대구 서구 국채보상로42길 41-0,모텔,39
54,럭셔리모텔,대구 서구 국채보상로46길 6-1,모텔,39
54,이현공원물놀이장,대구 서구,테마공원,39
57,파라다이스모텔,대구 서구 서대구로 359-13,모텔,38
58,세븐모텔,대구 서구 서대구로11길 5-0,모텔,35
58,다이소대구비산네거리점,대구 서구 국채보상로 362-0,기타쇼핑시설,35
60,금성수족관,대구 서구 북비산로 214-0,테마공원,33
61,중리체육공원,대구 서구,도시공원,32
62,텐모텔,대구 서구 서대구로 351-5,모텔,28
63,모텔라스베가스,대구 서구 팔달로18길 7-0,모텔,27
64,워싱턴모텔,대구 서구 팔달로 180-0,모텔,25
64,서대구장여관,대구 서구 서대구로 362-0,모텔,25
66,소풍,대구 서구 옥산로 20-1,모텔,24
66,퍼팩토리소극장,대구 서구 북비산로 378-1,공연시설,24
68,아테네 모텔,대구 서구 서대구로 57-8,모텔,22
69,현대장여관,대구 서구 평리로62길 16-0,모텔,21
70,다이소대구평리광명네거리점,대구 서구 서대구로 195-0,기타쇼핑시설,20
70,피싱프로,대구 서구 국채보상로 21-0,수상레저스포츠,20
72,비너스모텔,대구 서구 평리로 178-0,모텔,19
72,대경특판,대구 서구 달서천로 410-0,기타쇼핑시설,19
72,평리탁구교실,대구 서구 평리로 254-0,기타레저스포츠,19
75,에센스모텔,대구 서구 서대구로 279-0,모텔,18
76,추억장여관,대구 서구 서대구로 287-8,모텔,14
77,뷰티크호텔제니스,대구 서구 국채보상로42길 17-0,모텔,13
78,다이소대구내당중앙점,대구 서구 달구벌대로 1811-0,기타쇼핑시설,12
79,마이더스모텔,대구 서구 서대구로 370-1,모텔,11
79,동아수족관,대구 서구 북비산로 288-0,테마공원,11
79,들마을공원,대구 서구,도시공원,11
79,동산효성석유,대구 서구 북비산로37길 7-0,기타쇼핑시설,11
83,경북산소충전소,대구 서구 와룡로100길 54-0,기타쇼핑시설,10
84,헤라모텔,대구 서구 국채보상로46길 55-0,모텔,9
84,다이소대구내당점,대구 서구 평리로 250-0,기타쇼핑시설,9
86,기림모텔,대구 서구 옥산로 20-1,모텔,8
86,스카이모텔,대구 서구 국채보상로42길 15-0,모텔,8
86,F2모텔,대구 서구 국채보상로46길 45-0,모텔,8
86,바다로다이버스,대구 서구 고성로 93-0,수상레저스포츠,8
86,원고개마을뮤지엄,대구 서구 통학로48길 47-41,기타문화관광지,8
86,평리공원,대구 서구,도시공원,8
92,키스미모텔,대구 서구 국채보상로42길 19-0,모텔,7
92,선샤인모텔,대구 서구 달서로 68-0,모텔,7
92,첼로모텔,대구 서구 국채보상로46길 8-0,모텔,7
92,볼더라운지플립대구점,대구 서구 달성공원로 9-2,기타레저스포츠,7
96,그랜드모텔,대구 서구 국채보상로46길 18-0,모텔,6
96,노블레스모텔,대구 서구 서대구로 359-3,모텔,6
96,모던장 여관,대구 서구 국채보상로46길 35-1,모텔,6
96,하이엔드호텔,대구 서구 서대구로 167-0,모텔,6
96,경운공원,대구 서구,도시공원,6
