순위,업소명,주소,분류,현지인 검색 수
1,스타벅스대구평리DT점,대구 서구 서대구로 89-0,카페/찻집,1296
2,맥도날드대구평리DT점,대구 서구 서대구로 95-0,간이음식,1042
3,반고개무침회골목,대구 서구,기타음식,917
4,버거킹대구평리DT점,대구 서구 국채보상로 298-0,간이음식,674
5,퀸즈크라운베이커리카페,대구 서구 서대구로 118-0,카페/찻집,649
6,대성기사한식뷔페,대구 서구 달서천로 342-0,외국식,640
7,SUBWAY대구평리DT점,대구 서구 서대구로 111-0,간이음식,639
8,팬더짬뽕전문점[중식],대구 서구 서대구로 64-0,외국식,540
9,만두세상,대구 서구 서대구로62길 11-0,한식,517
10,황장군평리점,대구 서구 서대구로 85-0,한식,496
11,의성무침회본점,대구 서구 달구벌대로375길 17-0,외국식,440
12,푸른회식당,대구 서구 달구벌대로375길 14-1,외국식,387
13,할리스대구팔달교DT점,대구 서구 팔달로 34-0,카페/찻집,372
14,죽전식당,대구 서구 와룡로 307-0,한식,297
15,라라코스트평리점,대구 서구 서대구로 82-0,외국식,286
16,트레이더스베이커리비산점,대구 서구 팔달로 54-0,간이음식,278
17,구공탄막창,대구 서구 서대구로 120-0,외국식,254
18,기찻길참숯구이,대구 서구 달서천로 232-0,한식,247
19,똘똘이식당,대구 서구 달구벌대로375길 31-0,외국식,217
20,청송약수삼계탕본점,대구 서구 서대구로 130-0,한식,199
21,제비원식당,대구 서구 달서천로87길 4-0,외국식,190
22,두찜평리점,대구 서구 평리로 415-0,외국식,185
23,세종종합수산,대구 서구 와룡로 367-0,외국식,179
24,매물도,대구 서구 달서천로41길 80-0,외국식,178
25,섬,대구 서구 당산로47길 24-0,외국식,175
26,파스쿠찌대구신평리네거리점,대구 서구 국채보상로 204-0,카페/찻집,154
27,남다른감자탕평리점,대구 서구 서대구로 147-0,한식,144
28,피아자,대구 서구 서대구로 104-0,외국식,137
29,배스킨라빈스대구평리점,대구 서구 서대구로 112-0,간이음식,136
30,진미식육식당,대구 서구 달서천로83길 13-0,한식,131
31,현풍닭칼국수두류점,대구 서구 달구벌대로 1765-0,한식,126
32,중리숯불막창식당,대구 서구 와룡로72길 71-0,외국식,125
33,KFC내당동점,대구 서구 달구벌대로 1689-0,간이음식,122
34,고기굽는남자서구청점,대구 서구 국채보상로 233-0,한식,116
35,장원부대찌개,대구 서구 달구벌대로 1795-0,외국식,113
36,교동면옥내당점,대구 서구 서대구로 52-0,한식,112
37,24시원조굴뚝배기전문점,대구 서구 북비산로 112-0,한식,109
38,백번식당,대구 서구 서대구로2길 46-1,한식,106
39,신성회초밥,대구 서구 서대구로 56-0,외국식,103
