광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
대구광역시,동구,6458178.0
대구광역시,달서구,4524443.0
대구광역시,북구,4301681.0
대구광역시,남구,2964343.0
대구광역시,중구,1812933.0
대구광역시,달성군,1764259.0
대구광역시,서구,1083519.0
경상북도,경산시,4782957.0
경상북도,구미시,566517.0
경상북도,청도군,326464.0
경상북도,영천시,284984.0
경상북도,칠곡군,270372.0
경상북도,경주시,262440.0
경상북도,포항시 북구,240166.0
경상북도,안동시,216213.0
경상북도,포항시 남구,181100.0
경상북도,김천시,154927.0
경상북도,의성군,105507.0
경상북도,성주군,102499.0
경상북도,상주시,99521.0
경상북도,예천군,89081.0
경상북도,고령군,88558.0
경상북도,영주시,74697.0
경상북도,군위군,71785.0
경상북도,청송군,54006.0
경상북도,울진군,50564.0
경상북도,문경시,50027.0
경상북도,영덕군,40909.0
경상북도,울릉군,25551.0
경상북도,영양군,19609.0
경상북도,봉화군,17764.0
서울특별시,강남구,153720.0
서울특별시,송파구,132598.0
서울특별시,관악구,104983.0
서울특별시,마포구,95553.0
서울특별시,서초구,93820.0
서울특별시,강서구,80631.0
서울특별시,영등포구,79258.0
서울특별시,동작구,72077.0
서울특별시,서대문구,71708.0
서울특별시,성북구,67228.0
서울특별시,광진구,63568.0
서울특별시,동대문구,61470.0
서울특별시,성동구,61363.0
서울특별시,강동구,59426.0
서울특별시,용산구,53657.0
서울특별시,노원구,50241.0
서울특별시,구로구,42862.0
서울특별시,양천구,42041.0
서울특별시,은평구,40933.0
서울특별시,종로구,40606.0
서울특별시,중구,30795.0
서울특별시,중랑구,28004.0
서울특별시,금천구,27140.0
서울특별시,강북구,23374.0
서울특별시,도봉구,19357.0
경기도,화성시,109603.0
경기도,성남시 분당구,100507.0
경기도,평택시,84465.0
경기도,용인시 기흥구,65421.0
경기도,수원시 영통구,59606.0
경기도,용인시 수지구,58771.0
경기도,부천시,54602.0
경기도,남양주시,52789.0
경기도,김포시,46339.0
경기도,고양시 덕양구,44811.0
경기도,하남시,39901.0
경기도,수원시 권선구,35111.0
경기도,고양시 일산동구,34740.0
경기도,수원시 장안구,34495.0
경기도,파주시,34464.0
경기도,시흥시,34441.0
경기도,광주시,34258.0
경기도,안양시 동안구,33617.0
경기도,용인시 처인구,32335.0
경기도,의정부시,31317.0
경기도,성남시 수정구,30237.0
경기도,광명시,26095.0
경기도,고양시 일산서구,25917.0
경기도,이천시,25761.0
경기도,안산시 상록구,23738.0
경기도,안산시 단원구,23362.0
경기도,군포시,22730.0
경기도,오산시,22148.0
경기도,수원시 팔달구,21929.0
경기도,안성시,21689.0
경기도,성남시 중원구,19240.0
경기도,구리시,17829.0
경기도,안양시 만안구,16203.0
경기도,양주시,15880.0
경기도,의왕시,15111.0
경기도,양평군,11871.0
경기도,과천시,11483.0
경기도,포천시,11226.0
경기도,여주시,10821.0
경기도,가평군,6353.0
경기도,연천군,6004.0
경기도,동두천시,4444.0
경상남도,김해시,109776.0
경상남도,양산시,76755.0
경상남도,창원시 성산구,68632.0
경상남도,진주시,68263.0
경상남도,밀양시,65842.0
경상남도,거제시,58700.0
경상남도,거창군,56862.0
경상남도,합천군,50715.0
경상남도,창원시 의창구,50092.0
경상남도,창녕군,43750.0
경상남도,창원시 마산회원구,33342.0
경상남도,창원시 진해구,33014.0
경상남도,창원시 마산합포구,28778.0
경상남도,사천시,21826.0
경상남도,통영시,16144.0
경상남도,함안군,15851.0
경상남도,함양군,12940.0
경상남도,고성군,6930.0
경상남도,남해군,6717.0
경상남도,의령군,6566.0
경상남도,산청군,5924.0
경상남도,하동군,4617.0
부산광역시,해운대구,105653.0
부산광역시,부산진구,80491.0
부산광역시,남구,63617.0
부산광역시,금정구,60308.0
부산광역시,동래구,55068.0
부산광역시,사하구,49107.0
부산광역시,북구,48626.0
부산광역시,수영구,42918.0
부산광역시,연제구,41857.0
부산광역시,강서구,34924.0
부산광역시,기장군,34902.0
부산광역시,사상구,34420.0
부산광역시,서구,21386.0
부산광역시,영도구,19817.0
부산광역시,동구,19176.0
부산광역시,중구,11565.0
울산광역시,남구,106539.0
울산광역시,울주군,70475.0
울산광역시,북구,67169.0
울산광역시,중구,59796.0
울산광역시,동구,40945.0
대전광역시,유성구,94577.0
대전광역시,서구,68709.0
대전광역시,중구,28400.0
대전광역시,동구,27082.0
대전광역시,대덕구,23099.0
충청북도,청주시 흥덕구,39007.0
충청북도,충주시,36293.0
충청북도,청주시 청원구,26965.0
충청북도,청주시 서원구,23935.0
충청북도,음성군,17945.0
충청북도,제천시,14503.0
충청북도,영동군,13728.0
충청북도,청주시 상당구,13303.0
충청북도,진천군,8764.0
충청북도,옥천군,7475.0
충청북도,괴산군,6271.0
충청북도,증평군,5298.0
충청북도,단양군,3756.0
충청북도,보은군,2903.0
충청남도,천안시 서북구,44991.0
충청남도,아산시,44473.0
충청남도,천안시 동남구,30548.0
충청남도,서산시,16713.0
충청남도,당진시,16335.0
충청남도,계룡시,11994.0
충청남도,논산시,9588.0
충청남도,공주시,8827.0
충청남도,홍성군,6166.0
충청남도,보령시,5372.0
충청남도,태안군,5135.0
충청남도,예산군,4855.0
충청남도,부여군,3831.0
충청남도,금산군,3778.0
충청남도,서천군,2044.0
충청남도,청양군,2003.0
인천광역시,연수구,40716.0
인천광역시,서구,37416.0
인천광역시,남동구,26270.0
인천광역시,부평구,25877.0
인천광역시,미추홀구,23185.0
인천광역시,중구,18459.0
인천광역시,계양구,14692.0
인천광역시,강화군,3580.0
인천광역시,옹진군,2412.0
인천광역시,동구,1726.0
강원도,원주시,41791.0
강원도,춘천시,25129.0
강원도,강릉시,19661.0
강원도,태백시,10009.0
강원도,동해시,9375.0
강원도,삼척시,8830.0
강원도,속초시,7139.0
강원도,화천군,7076.0
강원도,홍천군,7032.0
