광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
대전광역시,동구,3762952.0
대전광역시,서구,3577084.0
대전광역시,유성구,3174572.0
대전광역시,중구,1789949.0
충청북도,청주시 서원구,401413.0
충청북도,옥천군,273022.0
충청북도,청주시 흥덕구,259738.0
충청북도,청주시 상당구,192169.0
충청북도,청주시 청원구,157513.0
충청북도,영동군,92822.0
충청북도,충주시,62788.0
충청북도,음성군,57147.0
충청북도,보은군,49808.0
충청북도,진천군,43476.0
충청북도,증평군,25871.0
충청북도,제천시,22912.0
충청북도,괴산군,13297.0
충청북도,단양군,5193.0
경기도,화성시,114386.0
경기도,평택시,99359.0
경기도,부천시,61441.0
경기도,남양주시,54241.0
경기도,성남시 분당구,53750.0
경기도,용인시 기흥구,50895.0
경기도,시흥시,45467.0
경기도,수원시 영통구,42076.0
경기도,광주시,41941.0
경기도,안성시,39047.0
경기도,수원시 권선구,38786.0
경기도,김포시,38645.0
경기도,용인시 수지구,38607.0
경기도,이천시,37512.0
경기도,용인시 처인구,35445.0
경기도,파주시,34583.0
경기도,고양시 덕양구,33559.0
경기도,오산시,33531.0
경기도,안산시 상록구,32598.0
경기도,안산시 단원구,31376.0
경기도,안양시 동안구,30940.0
경기도,의정부시,30283.0
경기도,하남시,29021.0
경기도,수원시 장안구,26683.0
경기도,군포시,25859.0
경기도,고양시 일산동구,23688.0
경기도,성남시 수정구,23456.0
경기도,수원시 팔달구,22930.0
경기도,광명시,20982.0
경기도,안양시 만안구,20822.0
경기도,성남시 중원구,19519.0
경기도,고양시 일산서구,18530.0
경기도,구리시,18440.0
경기도,양주시,17416.0
경기도,여주시,16188.0
경기도,의왕시,14732.0
경기도,포천시,13336.0
경기도,양평군,11498.0
경기도,과천시,8946.0
경기도,동두천시,5305.0
경기도,가평군,5230.0
경기도,연천군,4285.0
세종특별자치시,세종특별자치시,1289212.0
충청남도,금산군,164146.0
충청남도,논산시,139001.0
충청남도,천안시 서북구,128047.0
충청남도,공주시,121479.0
충청남도,아산시,111669.0
충청남도,천안시 동남구,108890.0
충청남도,계룡시,105421.0
충청남도,당진시,67172.0
충청남도,서산시,65665.0
충청남도,부여군,56299.0
충청남도,보령시,52961.0
충청남도,홍성군,47839.0
