광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
부산광역시,사하구,3416547.0
부산광역시,북구,2423517.0
부산광역시,사상구,1877389.0
부산광역시,부산진구,1598524.0
부산광역시,해운대구,1082685.0
부산광역시,동래구,991298.0
부산광역시,남구,961182.0
부산광역시,연제구,697394.0
부산광역시,금정구,684979.0
부산광역시,수영구,559801.0
부산광역시,서구,513366.0
부산광역시,영도구,384360.0
부산광역시,기장군,342390.0
부산광역시,동구,337763.0
부산광역시,중구,215602.0
경상남도,김해시,2973139.0
경상남도,창원시 진해구,1341073.0
경상남도,거제시,896091.0
경상남도,양산시,829309.0
경상남도,창원시 성산구,466088.0
경상남도,창원시 의창구,335000.0
경상남도,창원시 마산회원구,216732.0
경상남도,창원시 마산합포구,199565.0
경상남도,진주시,176271.0
경상남도,밀양시,121131.0
경상남도,통영시,100088.0
경상남도,함안군,72951.0
경상남도,사천시,54557.0
경상남도,창녕군,44509.0
경상남도,고성군,36049.0
경상남도,의령군,21750.0
경상남도,남해군,21227.0
경상남도,합천군,18000.0
경상남도,하동군,16350.0
경상남도,산청군,15482.0
경상남도,거창군,15141.0
경상남도,함양군,14897.0
서울특별시,강서구,178490.0
서울특별시,관악구,102936.0
서울특별시,마포구,100959.0
서울특별시,영등포구,93422.0
서울특별시,강남구,84888.0
서울특별시,송파구,75666.0
서울특별시,양천구,73403.0
서울특별시,동작구,69283.0
서울특별시,은평구,67605.0
서울특별시,서초구,66881.0
서울특별시,서대문구,65569.0
서울특별시,구로구,53940.0
서울특별시,성북구,52890.0
서울특별시,광진구,47637.0
서울특별시,동대문구,46356.0
서울특별시,성동구,45847.0
서울특별시,노원구,45118.0
서울특별시,용산구,43506.0
서울특별시,강동구,40623.0
서울특별시,중랑구,31553.0
서울특별시,금천구,26334.0
서울특별시,강북구,26053.0
서울특별시,종로구,25293.0
서울특별시,도봉구,21382.0
서울특별시,중구,20597.0
경기도,김포시,110896.0
경기도,부천시,99483.0
경기도,고양시 덕양구,68703.0
경기도,화성시,63223.0
경기도,고양시 일산동구,58922.0
경기도,남양주시,51321.0
경기도,파주시,50261.0
경기도,성남시 분당구,48789.0
경기도,고양시 일산서구,45268.0
경기도,평택시,44864.0
경기도,시흥시,38700.0
경기도,용인시 기흥구,35463.0
경기도,수원시 영통구,33239.0
경기도,의정부시,32937.0
경기도,용인시 수지구,32244.0
경기도,안양시 동안구,27253.0
경기도,하남시,27019.0
경기도,광주시,25916.0
경기도,수원시 권선구,22835.0
경기도,안산시 단원구,21787.0
경기도,광명시,20858.0
경기도,군포시,20507.0
경기도,안산시 상록구,19585.0
경기도,성남시 수정구,19533.0
경기도,용인시 처인구,19333.0
경기도,양주시,18505.0
경기도,구리시,17763.0
경기도,안양시 만안구,16545.0
경기도,수원시 장안구,16445.0
경기도,이천시,16188.0
경기도,오산시,15665.0
경기도,수원시 팔달구,15326.0
경기도,안성시,13224.0
경기도,의왕시,12505.0
경기도,성남시 중원구,11842.0
경기도,포천시,10641.0
경기도,과천시,9873.0
경기도,양평군,6987.0
경기도,여주시,5352.0
경기도,동두천시,5039.0
경기도,가평군,4641.0
경기도,연천군,3647.0
울산광역시,울주군,180733.0
울산광역시,남구,177913.0
울산광역시,중구,94034.0
울산광역시,북구,93592.0
울산광역시,동구,69347.0
경상북도,경주시,105975.0
경상북도,경산시,69986.0
경상북도,포항시 남구,60040.0
경상북도,포항시 북구,59472.0
경상북도,구미시,57762.0
경상북도,칠곡군,20989.0
경상북도,김천시,20217.0
경상북도,청도군,16994.0
경상북도,안동시,15571.0
경상북도,영천시,15352.0
경상북도,울진군,11126.0
경상북도,영주시,9523.0
경상북도,상주시,8484.0
경상북도,성주군,6057.0
경상북도,예천군,6016.0
경상북도,문경시,5965.0
경상북도,영덕군,5613.0
경상북도,고령군,5166.0
경상북도,의성군,4532.0
경상북도,청송군,4427.0
경상북도,군위군,2947.0
경상북도,울릉군,2505.0
경상북도,봉화군,1837.0
경상북도,영양군,1678.0
대구광역시,달서구,85461.0
대구광역시,북구,76617.0
대구광역시,동구,72668.0
대구광역시,수성구,70118.0
대구광역시,달성군,62602.0
대구광역시,남구,20774.0
대구광역시,서구,18576.0
대구광역시,중구,13611.0
제주특별자치도,제주시,300187.0
제주특별자치도,서귀포시,113982.0
인천광역시,서구,89685.0
인천광역시,부평구,50912.0
인천광역시,연수구,49183.0
인천광역시,남동구,41790.0
인천광역시,미추홀구,37202.0
인천광역시,중구,35947.0
인천광역시,계양구,35386.0
인천광역시,강화군,6367.0
인천광역시,동구,3025.0
인천광역시,옹진군,2585.0
전라남도,광양시,32653.0
전라남도,여수시,29550.0
전라남도,순천시,26276.0
전라남도,목포시,14545.0
전라남도,나주시,7629.0
전라남도,무안군,7553.0
전라남도,영암군,6823.0
전라남도,고흥군,4374.0
전라남도,완도군,4332.0
전라남도,해남군,3014.0
전라남도,장성군,2649.0
전라남도,보성군,2565.0
전라남도,영광군,2508.0
