유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
부산광역시 해운대구 , 부산광역시 기장군,26.9,1
경상남도 양산시 , 부산광역시 기장군,7.4,1
부산광역시 금정구 , 부산광역시 기장군,7.2,1
울산광역시 울주군 , 부산광역시 기장군,6.2,1
부산광역시 수영구 , 부산광역시 기장군,5.0,1
부산광역시 동래구 , 부산광역시 기장군,4.5,1
경상남도 김해시 , 부산광역시 기장군,4.3,1
부산광역시 부산진구 , 부산광역시 기장군,4.2,1
부산광역시 남구 , 부산광역시 기장군,4.1,1
부산광역시 연제구 , 부산광역시 기장군,3.3,1
울산광역시 남구 , 부산광역시 기장군,3.3,1
부산광역시 북구 , 부산광역시 기장군,2.8,1
부산광역시 강서구 , 부산광역시 기장군,1.7,1
부산광역시 사상구 , 부산광역시 기장군,1.5,1
부산광역시 동구 , 부산광역시 기장군,1.4,1
부산광역시 사하구 , 부산광역시 기장군,1.4,1
경상북도 경주시 , 부산광역시 기장군,1.4,1
울산광역시 중구 , 부산광역시 기장군,0.9,1
부산광역시 영도구 , 부산광역시 기장군,0.9,1
부산광역시 서구 , 부산광역시 기장군,0.9,1
 부산광역시 기장군,부산광역시 해운대구,40.7,2
 부산광역시 기장군,울산광역시 울주군,8.6,2
 부산광역시 기장군,경상남도 양산시,8.2,2
 부산광역시 기장군,부산광역시 수영구,5.9,2
 부산광역시 기장군,부산광역시 금정구,5.1,2
 부산광역시 기장군,부산광역시 동래구,3.0,2
 부산광역시 기장군,부산광역시 부산진구,2.8,2
 부산광역시 기장군,부산광역시 남구,2.6,2
 부산광역시 기장군,울산광역시 남구,2.5,2
 부산광역시 기장군,경상남도 김해시,2.1,2
 부산광역시 기장군,경상북도 경주시,1.7,2
 부산광역시 기장군,부산광역시 연제구,1.7,2
 부산광역시 기장군,부산광역시 강서구,1.4,2
 부산광역시 기장군,부산광역시 북구,1.1,2
 부산광역시 기장군,부산광역시 중구,1.1,2
 부산광역시 기장군,부산광역시 동구,1.0,2
 부산광역시 기장군,부산광역시 사상구,1.0,2
 부산광역시 기장군,부산광역시 영도구,0.9,2
 부산광역시 기장군,울산광역시 동구,0.8,2
 부산광역시 기장군,울산광역시 중구,0.8,2
