순위,관광지명,주소,분류,외지인 검색 수
1,다대포해수욕장,부산 사하구 몰운대1길 14-0,자연경관(하천/해양),109984
2,다대포해변공원,부산 사하구,도시공원,45115
3,감천문화마을,부산 사하구 감내2로 203-0,기타관광,31190
4,아트몰링하단점,부산 사하구 낙동남로 1413-0,쇼핑몰,29346
5,부산현대미술관,부산 사하구 낙동남로 1191-0,전시시설,14604
6,장림시장,부산 사하구 장림시장3길 77-0,시장,13248
7,낙동강1경(을숙도생태공원)을숙도문화관,부산 사하구 낙동남로1233번길 25-0,기타관광,9100
8,장림포구,부산 사하구,자연경관(하천/해양),9000
9,감천중앙부두,부산 사하구,자연경관(하천/해양),8024
10,을숙도공원,부산 사하구,도시공원,7966
11,을숙도피크닉광장,부산 사하구 낙동남로 1240-2,도시공원,6570
12,낙동강하구에코센터,부산 사하구 낙동남로 1240-0,기타관광,5529
13,하단레이어스호텔,부산 사하구 낙동남로 1395-0,호텔,5173
14,감천항,부산 사하구,자연경관(하천/해양),5053
15,을숙도,부산 사하구,자연경관(하천/해양),4602
16,감천서편부두,부산 사하구,자연경관(하천/해양),4526
17,괴정시장,부산 사하구 낙동대로 203-0,시장,4172
18,감천항서방파제,부산 사하구,자연경관(하천/해양),3998
19,다대포꿈의낙조분수,부산 사하구 몰운대1길 14-0,기타관광,3821
20,아미산전망대,부산 사하구 다대낙조2길 77-0,랜드마크관광,3586
21,낫개방파제,부산 사하구,자연경관(하천/해양),3128
22,구평가구단지,부산 사하구 두송로 156-0,기타쇼핑시설,3118
23,브라운도트호텔하단점,부산 사하구 낙동남로1423번길 47-0,호텔,2678
24,크로바관광호텔,부산 사하구 사하로 166-0,호텔,2207
25,오이아호텔,부산 사하구 다대동로 45-0,호텔,2146
26,다대포항,부산 사하구,자연경관(하천/해양),1980
27,CGV하단아트몰링,부산 사하구 낙동남로 1413-0,공연시설,1790
28,신평시장,부산 사하구 다대로134번길 44-0,시장,1697
29,대티고개,부산 사하구,자연경관(산),1486
30,발렌타인호텔,부산 사하구 낙동남로1423번길 50-0,모텔,1465
31,다대포재래시장,부산 사하구 다대동로8번길 57-0,시장,1398
32,세정아울렛부산점,부산 사하구 다대로 207-0,쇼핑몰,1396
33,을숙도철새공원,부산 사하구,도시공원,1305
34,신평레포츠공원,부산 사하구 하신번영로 119-0,도시공원,1265
35,고려수산2냉동공장,부산 사하구 원양로 363-0,시장,1248
36,하운드호텔하단,부산 사하구 낙동남로1405번길 17-1,모텔,1201
37,E팰리스호텔,부산 사하구 낙동남로1423번길 55-0,모텔,1143
38,감천문화마을골목축제,부산 사하구 감내2로 203-0,기타문화관광지,1070
39,을숙도축구장,부산 사하구 낙동남로1233번길 59-0,레저스포츠시설,1047
40,두송방파제,부산 사하구,자연경관(하천/해양),1040
41,을숙도인라인스케이트장,부산 사하구 낙동남로1233번길 38-0,육상레저스포츠,980
42,하단5일상설시장,부산 사하구 제석로17번길 1-0,시장,886
43,6월모텔,부산 사하구 다대로 567-3,모텔,819
44,원모텔,부산 사하구 다대로 649-0,모텔,806
45,통일아시아드공원,부산 사하구,도시공원,777
46,관음사,부산 사하구 제석로79번길 33-0,종교성지,766
47,강변환경공원,부산 사하구 을숙도대로 466-0,도시공원,756
48,다대포생태탐방로,부산 사하구,기타레저스포츠,754
49,성불사,부산 사하구 신산북로 51-0,종교성지,746
50,지티모텔,부산 사하구 사하로197번길 50-0,모텔,736
51,퀸모텔,부산 사하구 하신번영로300번길 100-12,모텔,711
52,WOW모텔,부산 사하구 하신번영로300번길 100-0,모텔,663
53,로쏘호텔,부산 사하구 낙동대로216번길 2-0,모텔,659
54,사하시장,부산 사하구 괴정로 219-0,시장,612
55,탑클래스배드민턴,부산 사하구 을숙도대로 578-0,기타레저스포츠,567
56,넘버25호텔하단점,부산 사하구 하신번영로300번길 113-0,호텔,524
57,YTT모텔,부산 사하구 하신번영로300번길 100-9,모텔,516
58,블루문,부산 사하구 다대로 323-0,호텔,509
59,신평배고개,부산 사하구,자연경관(산),482
60,유림수산유통,부산 사하구 다산로225번길 58-0,시장,475
61,위브모텔,부산 사하구 낙동대로233번길 6-0,모텔,435
62,하단시장,부산 사하구 승학로2번길 1-0,시장,423
63,몰운대유원지,부산 사하구,복합관광시설,404
64,에덴종합시장,부산 사하구 낙동대로535번길 28-0,시장,403
65,홍티예술촌,부산 사하구 홍티로 76-0,기타문화관광지,397
66,발리모텔,부산 사하구 낙동남로1423번길 32-0,모텔,396
67,그린힐모텔,부산 사하구 낙동대로485번길 4-0,모텔,392
68,에덴유원지,부산 사하구 하신번영로300번길 91-0,도시공원,358
69,K모텔,부산 사하구 낙동남로1405번길 27-0,모텔,350
70,홍티아트센터,부산 사하구 다산로106번길 6-0,기타문화관광지,338
71,코자837모텔,부산 사하구 다대로 567-5,모텔,333
72,감천문화마을안내소,부산 사하구 감내2로 203-0,기타관광,301
73,낙동강하구둑전망대,부산 사하구 낙동남로1233번길 92-0,랜드마크관광,292
