순위,업소명,주소,분류,현지인 검색 수
1,맥도날드부산하단DT점,부산 사하구 낙동대로 431-0,간이음식,3674
2,영진돼지국밥본점,부산 사하구 하신번영로157번길 39-0,한식,3467
3,스타벅스을숙도강변DT점,부산 사하구 하신번영로 381-6,카페/찻집,2684
4,블랙업커피을숙도점,부산 사하구 낙동남로1233번길 30-0,카페/찻집,2523
5,스타벅스사하장림DT점,부산 사하구 을숙도대로 682-0,카페/찻집,1981
6,카페만디,부산 사하구 오작로 104-7,카페/찻집,1789
7,맥도날드부산다대DT점,부산 사하구 다대로 532-1,간이음식,1697
8,버거킹부산신평DT점,부산 사하구 을숙도대로 564-0,간이음식,1311
9,대티물꽁,부산 사하구 낙동대로135번안길 15-0,한식,1258
10,아웃백스테이크하우스부산하단점,부산 사하구 낙동남로 1403-0,외국식,1245
11,하기연진주냉면,부산 사하구 괴정로 34-0,한식,954
12,키친보리에,부산 사하구 다송로72번길 50-0,간이음식,924
13,스타벅스다대포DT점,부산 사하구 다대로 493-0,카페/찻집,900
14,할매복집,부산 사하구 다대로 12-0,외국식,886
15,이지요661,부산 사하구 다대로 661-0,카페/찻집,862
16,이티135,부산 사하구 다대로 95-0,카페/찻집,759
17,투썸플레이스장림점,부산 사하구 장림로 222-0,카페/찻집,728
18,스타벅스다대포비치점,부산 사하구 다대로 714-0,카페/찻집,725
19,동원장수촌,부산 사하구 동매로 117-0,외국식,652
20,본가부산사하점,부산 사하구 하신번영로 401-0,한식,568
21,해주냉면,부산 사하구 낙동대로324번길 5-0,한식,565
22,오사카[일식],부산 사하구 낙동대로324번길 2-0,외국식,558
22,푸주옥부산점,부산 사하구 사하로 133-0,한식,558
24,다대포회초장센터,부산 사하구 다대동로 40-0,외국식,554
25,식당3선당리점,부산 사하구 제석로 31-0,한식,529
26,복성반점[중식],부산 사하구 하신중앙로 289-0,외국식,523
27,할리스괴정휴마트점,부산 사하구 낙동대로 123-0,카페/찻집,508
28,꽃마름하단역점,부산 사하구 낙동남로 1427-0,외국식,494
29,맥도날드동아대점,부산 사하구 낙동대로 548-0,간이음식,488
30,쿠우쿠우부산괴정점,부산 사하구 사하로 200-0,외국식,467
31,카페플랜트370,부산 사하구 신산로 94-0,카페/찻집,461
32,홉스피제리아다대포점,부산 사하구 다대낙조2길 85-0,외국식,457
33,롯데리아부산하단점,부산 사하구 낙동대로 457-0,간이음식,444
34,해풍코다리,부산 사하구 다송로84번길 50-0,한식,435
35,명륜진사갈비부산장림점,부산 사하구 장림로 234-0,한식,431
36,선미아구찜,부산 사하구 괴정로 25-1,한식,407
37,투썸플레이스부산다대포점,부산 사하구 다대로 708-0,카페/찻집,383
38,명륜진사갈비부산괴정점,부산 사하구 낙동대로 256-0,한식,356
39,투썸플레이스몰운대점,부산 사하구 다대로 655-0,카페/찻집,354
40,다대336장작구이,부산 사하구 다송로84번길 138-0,한식,338
40,엔제리너스부산당리점,부산 사하구 낙동대로 433-0,카페/찻집,338
42,젬스톤사하점,부산 사하구 장평로 406-0,카페/찻집,312
43,더도이종가집돼지국밥신평점,부산 사하구 비봉로 6-0,한식,306
44,청송집,부산 사하구 하신번영로 432-0,외국식,304
45,스타벅스부산괴정역점,부산 사하구 사하로186번길 6-0,카페/찻집,301
46,옥미아구찜하단점,부산 사하구 승학로2번길 34-0,한식,295
47,교동면옥부산하단점,부산 사하구 낙동남로 1382-0,한식,294
