순위,관광지명,주소,분류
1,국제시장,부산 중구 국제시장2길 25-0,쇼핑
2,자갈치시장,부산 중구 자갈치해안로 52-0,쇼핑
3,롯데백화점/광복점,부산 중구 중앙대로 2-0,쇼핑
4,부평깡통시장,부산 중구 부평1길 48-0,쇼핑
5,롯데마트/광복점,부산 중구 중앙대로 2-0,쇼핑
6,용두산공원,부산 중구 용두산길 37-55,자연관광지
7,롯데백화점/광복점아쿠아몰,부산 중구 중앙대로 2-0,쇼핑
8,부산민주공원,부산 중구 민주공원길 19-0,자연관광지
9,하나로마트/자갈치점,부산 중구 구덕로 73-0,쇼핑
10,신동아시장,부산 중구 자갈치로 42-0,쇼핑
11,BIFF광장,부산 중구,휴양관광지
12,ABC마트/GS부산광복점,부산 중구 광복중앙로 2-0,쇼핑
13,부산항연안여객터미널,부산 중구 충장대로 24-0,자연관광지
14,부산광역시립중앙도서관,부산 중구 망양로193번길 146-0,문화시설
15,삼성전자서비스/남포센터,부산 중구 구덕로 33-0,쇼핑
16,용두산공원,부산 중구 용두산길 37-55,문화관광
17,부산영화체험박물관,부산 중구 대청로126번길 12-0,문화시설
18,와이즈파크/광복점,부산 중구 광복로39번길 6-0,쇼핑
19,롯데시네마/광복,부산 중구 중앙대로 2-0,공연/행사
20,롯데하이마트/광복롯데몰점,부산 중구 중앙대로 2-0,쇼핑
21,부산근현대역사관/공사중(2022년06월개관예정),부산 중구 대청로 104-0,기타관광지
22,가톨릭센터,부산 중구 중구로 71-0,문화시설
23,BIFF광장,부산 중구,문화관광
24,부산민주공원,부산 중구 민주공원길 19-0,문화관광
25,삼성디지털프라자/남포점,부산 중구 구덕로 33-0,쇼핑
26,다이아몬드타워,부산 중구 용두산길 37-55,기타관광지
27,부산데파트,부산 중구 중앙대로 21-0,쇼핑
28,보수동책방골목,부산 중구,쇼핑
29,메가박스/부산극장본관,부산 중구 비프광장로 36-0,공연/행사
30,남포문고,부산 중구 중구로 13-0,쇼핑
31,다이아몬드타워,부산 중구 용두산길 37-55,문화관광
32,부산영화체험박물관,부산 중구 대청로126번길 12-0,문화관광
33,롯데시네마/대영,부산 중구 비프광장로 37-0,공연/행사
34,롯데하이마트/부산역점,부산 중구 중앙대로 157-0,쇼핑
35,롯데시네마/광복,부산 중구 중앙대로 2-0,문화관광
36,다이소/부산남포점,부산 중구 구덕로 46-0,쇼핑
37,부산항/제1부두,부산 중구,자연관광지
38,대각사,부산 중구 광복중앙로 19-0,역사관광지
39,부산항연안여객터미널,부산 중구 충장대로 24-0,기타관광
40,롯데시네마/대영,부산 중구 비프광장로 37-0,문화관광
41,롯데하이마트/부산충무점,부산 중구 흑교로 4-0,쇼핑
42,오까네/부산점,부산 중구 중앙대로 126-0,쇼핑
43,부산타워,부산 중구 용두산길 37-55,기타관광지
44,조은극장/1관,부산 중구 구덕로34번길 4-0,공연/행사
45,카카오프렌즈/부산플래그십스토어,부산 중구 광복로 62-0,쇼핑
46,부산항/제2부두,부산 중구 충장대로 54-0,자연관광지
47,LG유플러스/부산고객센터,부산 중구 중앙대로 52-0,쇼핑
48,트릭아이뮤지엄/부산,부산 중구 대청로126번길 12-0,문화시설
49,메가박스/부산극장본관,부산 중구 비프광장로 36-0,문화관광
50,고래사어묵/자갈치점,부산 중구 자갈치로37번길 4-0,쇼핑
51,베스트슬립/부산중앙점,부산 중구 중앙대로 72-0,쇼핑
52,월드밸리수입상가,부산 중구 대청로 60-0,쇼핑
53,다이소/부산국제시장점,부산 중구 중구로 13-0,쇼핑
54,중앙컴퓨터도매상가,부산 중구 중앙대로 26-0,쇼핑
55,보수종합시장,부산 중구 보수대로 94-0,쇼핑
56,베이킹프라자,부산 중구 중구로23번길 8-1,쇼핑
57,부산항/제2부두,부산 중구,자연관광지
58,부산시수협자갈치위판장,부산 중구 자갈치해안로 70-0,쇼핑
59,아트박스/부산광복점,부산 중구 비프광장로 28-0,쇼핑
60,신천지시장,부산 중구 자갈치로 33-0,쇼핑
61,꽃분이네,부산 중구 중구로 42-0,쇼핑
62,트릭아이뮤지엄/부산,부산 중구 대청로126번길 12-0,문화관광
63,민주공원민주항쟁기념관,부산 중구 민주공원길 19-0,문화시설
64,영주하늘눈전망대,부산 중구,기타관광지
65,부산근현대역사관/공사중(2023년개관예정),부산 중구 대청로 104-0,문화관광
66,대각사,부산 중구 광복중앙로 19-0,역사관광
67,나이키/뉴광복점,부산 중구 광복로 45-0,쇼핑
68,조은극장/1관,부산 중구 구덕로34번길 4-0,문화관광
69,부산항/제1부두,부산 중구,자연관광
70,추억보물섬,부산 중구 중구로23번길 9-0,문화관광
71,남포동건어물도매시장,부산 중구 용미길8번길 4-1,쇼핑
72,한신스포렉스,부산 중구 고가길 32-0,레포츠(육상/해상/항공)
73,광복로패션거리,부산 중구,쇼핑
74,부산근현대역사관/공사중(2022년06월개관예정),부산 중구 대청로 104-0,기타관광
75,다이소/부산중앙점,부산 중구 중구로39번길 43-0,쇼핑
76,젝시믹스/광복점,부산 중구 광복로 68-0,쇼핑
77,가톨릭센터,부산 중구 중구로 71-0,문화관광
78,유라리광장,부산 중구,자연관광지
79,추억보물섬,부산 중구 중구로23번길 9-0,문화시설
80,고심정사,부산 중구 대청로135번길 20-0,역사관광지
81,영주시장,부산 중구 대영로242번길 3-0,쇼핑
82,40계단문화관,부산 중구 동광길 49-0,문화시설
83,피규어팜,부산 중구 백산길 6-1,쇼핑
84,백산기념관,부산 중구 백산길 11-0,문화시설
85,유라리광장,부산 중구,문화관광
86,다이소/부산대청동점,부산 중구 대청로 86-1,쇼핑
87,한성1918부산생활문화센터,부산 중구 백산길 13-0,문화시설
88,하카전자담배/서구직영점,부산 중구 흑교로 89-0,쇼핑
89,웰빙체육관,부산 중구 영주로 89-0,기타관광지
90,영풍문고/광복점,부산 중구 중앙대로 2-0,쇼핑
91,보수동책방골목문화관,부산 중구 대청로 61-2,문화시설
92,마리앙플러스,부산 중구 광복중앙로 27-0,쇼핑
93,민주공원공연장,부산 중구 민주공원길 19-0,공연/행사
94,브랜드리스/부산중앙점,부산 중구 중앙대로 72-0,쇼핑
95,자갈치크루즈,부산 중구 자갈치해안로 60-0,레포츠(육상/해상/항공)
96,대강수산,부산 중구 자갈치로 42-0,쇼핑
97,40계단거리,부산 중구,문화관광
98,포항수산,부산 중구 자갈치로48번길 3-0,쇼핑
99,헬스보이짐/남포점,부산 중구 광복로39번길 6-0,레포츠(육상/해상/항공)
100,민주공원민주항쟁기념관,부산 중구 민주공원길 19-0,문화관광
