순위,업소명,주소,분류,현지인 검색 수
1,한우뭉치부산본점,부산 중구 보수대로 106-0,한식,343
2,이재모피자,부산 중구 광복중앙로 31-0,간이음식,217
3,노티스,부산 중구 대교로 135-0,카페/찻집,209
4,물꽁식당,부산 중구 흑교로59번길 3-0,외국식,189
5,무궁화,부산 중구 충장대로5번길 46-0,한식,169
6,본참치,부산 중구 해관로 73-0,외국식,159
7,아웃백스테이크하우스남포점,부산 중구 구덕로 54-1,외국식,108
8,한양족발,부산 중구 광복로 13-0,외국식,103
9,부평동족발골목,부산 중구 광복로 16-0,기타음식,90
10,뚱보집,부산 중구 중앙대로29번길 2-11,외국식,83
11,파리바게뜨부산중앙역점,부산 중구 충장대로5번길 12-1,간이음식,78
12,백화양곱창,부산 중구 자갈치로23번길 6-0,외국식,74
12,중앙모밀,부산 중구 중앙대로49번길 9-1,한식,74
14,일미기사식당,부산 중구 흑교로 10-1,한식,73
15,백구당,부산 중구 중앙대로81번길 3-0,간이음식,70
16,원조부산족발,부산 중구 광복로 19-1,외국식,63
17,이가네떡볶이본점,부산 중구 부평1길 48-0,간이음식,60
18,서울깍두기휴업중(2022년10월오픈예정),부산 중구 구덕로34번길 10-0,한식,50
18,스타벅스부산중앙역점,부산 중구 중앙대로81번길 2-0,카페/찻집,50
20,부산숯불갈비,부산 중구 중구로48번길 9-0,한식,46
21,석기시대본점,부산 중구 동광길 75-1,한식,45
22,삼송초밥,부산 중구 광복로55번길 13-0,외국식,43
23,물레방아즉석구이,부산 중구 중앙대로41번길 11-1,한식,41
24,개미집부산본점,부산 중구 중구로30번길 22-0,한식,40
24,동화반점[중식],부산 중구 흑교로75번길 3-0,외국식,40
26,쿠우쿠우부산광복점,부산 중구 구덕로 40-0,외국식,39
27,남포동먹자골목,부산 중구,기타음식,38
27,돌쇠장작구이,부산 중구 중앙대로 45-17,한식,38
27,신동아회센터27호,부산 중구 자갈치로 42-0,외국식,38
30,굿올데이즈,부산 중구 중앙대로41번길 5-0,카페/찻집,37
30,상짱,부산 중구 해관로 59-1,외국식,37
32,화국반점[중식],부산 중구 백산길 3-1,외국식,36
