순위,관광지명,주소,분류,합산 검색 수
1,어린이대공원,서울 광진구 능동로 216-0,테마공원,276996
2,그랜드워커힐서울,서울 광진구 워커힐로 177-0,호텔,245391
3,뚝섬한강공원,서울 광진구 강변북로 2273-0,도시공원,145896
4,뚝섬유원지,서울 광진구,복합관광시설,58643
5,비스타워커힐서울,서울 광진구 워커힐로 177-0,호텔,46153
6,커먼그라운드,서울 광진구 아차산로 200-0,쇼핑몰,32509
7,롯데시네마건대입구,서울 광진구 아차산로 272-0,공연시설,30206
8,CGV건대입구,서울 광진구 아차산로30길 26-0,공연시설,20417
9,어린이회관,서울 광진구 광나루로 441-0,기타문화관광지,19900
10,영화사,서울 광진구 영화사로 107-0,종교성지,16275
11,중곡제일시장,서울 광진구 긴고랑로11길 14-0,시장,15956
12,노룬산골목시장,서울 광진구,시장,14947
13,CGV강변,서울 광진구 광나루로56길 85-0,공연시설,12527
14,예스24라이브홀,서울 광진구 구천면로 20-0,공연시설,12218
15,동서울호텔,서울 광진구 구의강변로 38-0,호텔,11635
16,아차산배수지체육공원,서울 광진구 천호대로 731-0,도시공원,8728
17,호텔더디자이너스건대점,서울 광진구 천호대로 521-0,호텔,8707
18,자양전통시장,서울 광진구 자양로13길 72-0,시장,8596
19,신성종합시장,서울 광진구 용마산로 50-0,시장,8343
20,구의야구공원,서울 광진구 광나루로 571-0,레저스포츠시설,7926
21,호텔더디자이너스프리미어건대,서울 광진구 동일로 172-0,호텔,7877
22,우리유황온천,서울 광진구 자양로5길 33-0,웰니스관광,7772
23,어린이회관눈썰매장,서울 광진구 광나루로 441-0,육상레저스포츠,6967
24,메가박스군자,서울 광진구 능동로 289-0,공연시설,6879
25,아차산,서울 광진구,자연경관(산),6630
26,컬리넌호텔건대1호점,서울 광진구 동일로 212-0,호텔,5799
27,긴고랑공원,서울 광진구,도시공원,5224
28,에이치에비뉴건대점,서울 광진구 동일로 156-0,호텔,4981
29,호텔케이월드,서울 광진구 동일로 90-0,호텔,4914
