유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
서울특별시 영등포구 , 서울특별시 구로구,16.8,1
서울특별시 금천구 , 서울특별시 구로구,11.6,1
서울특별시 양천구 , 서울특별시 구로구,8.7,1
경기도 광명시 , 서울특별시 구로구,7.6,1
서울특별시 관악구 , 서울특별시 구로구,6.2,1
경기도 부천시 , 서울특별시 구로구,6.1,1
서울특별시 강서구 , 서울특별시 구로구,4.1,1
서울특별시 동작구 , 서울특별시 구로구,3.5,1
서울특별시 마포구 , 서울특별시 구로구,2.5,1
경기도 시흥시 , 서울특별시 구로구,2.5,1
서울특별시 서초구 , 서울특별시 구로구,1.8,1
서울특별시 강남구 , 서울특별시 구로구,1.8,1
경기도 고양시 덕양구 , 서울특별시 구로구,1.2,1
경기도 김포시 , 서울특별시 구로구,1.2,1
서울특별시 용산구 , 서울특별시 구로구,1.1,1
경기도 안양시 만안구 , 서울특별시 구로구,1.0,1
인천광역시 부평구 , 서울특별시 구로구,0.9,1
인천광역시 서구 , 서울특별시 구로구,0.9,1
경기도 안양시 동안구 , 서울특별시 구로구,0.8,1
인천광역시 남동구 , 서울특별시 구로구,0.8,1
 서울특별시 구로구,서울특별시 영등포구,12.8,2
 서울특별시 구로구,경기도 부천시,12.1,2
 서울특별시 구로구,경기도 광명시,10.6,2
 서울특별시 구로구,서울특별시 양천구,7.0,2
 서울특별시 구로구,서울특별시 금천구,6.9,2
 서울특별시 구로구,경기도 시흥시,4.1,2
 서울특별시 구로구,서울특별시 강서구,3.5,2
 서울특별시 구로구,서울특별시 관악구,3.1,2
 서울특별시 구로구,서울특별시 마포구,2.9,2
 서울특별시 구로구,서울특별시 강남구,2.4,2
 서울특별시 구로구,서울특별시 동작구,1.8,2
 서울특별시 구로구,서울특별시 중구,1.7,2
 서울특별시 구로구,서울특별시 서초구,1.6,2
 서울특별시 구로구,경기도 김포시,1.5,2
 서울특별시 구로구,인천광역시 중구,1.5,2
 서울특별시 구로구,경기도 고양시 덕양구,1.5,2
 서울특별시 구로구,서울특별시 용산구,1.4,2
 서울특별시 구로구,경기도 파주시,1.4,2
 서울특별시 구로구,인천광역시 연수구,1.2,2
 서울특별시 구로구,서울특별시 종로구,0.9,2
