순위,관광지명,주소,분류,외지인 검색 수
1,독산동우시장,서울 금천구 범안로 1209-0,시장,35682
2,스타즈호텔독산,서울 금천구 시흥대로 315-0,호텔,14151
3,노보텔앰배서더독산,서울 금천구 시흥대로 378-0,호텔,11172
4,별빛남문시장,서울 금천구 시흥대로144길 17-0,시장,11151
5,골드리버호텔,서울 금천구 서부샛길 584-0,호텔,10593
6,호압사,서울 금천구 호암로 278-0,종교성지,9382
7,현대시티아울렛가산점,서울 금천구 디지털로10길 9-0,쇼핑몰,8731
8,W몰,서울 금천구 디지털로 188-0,쇼핑몰,8374
9,롯데시네마가산디지털,서울 금천구 디지털로10길 9-0,공연시설,8366
10,마리오아울렛1관,서울 금천구 디지털로 185-0,쇼핑몰,8241
11,CT LEX,서울 금천구 시흥대로 399-0,쇼핑몰,7861
12,마인드호텔,서울 금천구 남부순환로 1262-0,모텔,6591
13,롯데시네마독산,서울 금천구 시흥대로 399-0,공연시설,6392
14,Si호텔,서울 금천구 벚꽃로 182-0,호텔,5998
15,마리오아울렛3관,서울 금천구 벚꽃로 266-0,쇼핑몰,5371
16,금빛공원,서울 금천구 금하로 668-0,도시공원,4739
17,호텔해담채가산,서울 금천구 벚꽃로56길 190-0,호텔,4477
18,쥬라리움금천점,서울 금천구 두산로 71-0,테마공원,4329
19,이사벨관광호텔,서울 금천구 가산로 50-0,호텔,3713
20,에이치호텔,서울 금천구 디지털로11길 18-0,호텔,3506
21,말뫼고개,서울 금천구,자연경관(산),3217
22,더스테이호텔,서울 금천구 디지털로11길 14-0,모텔,3181
23,비단길현대시장,서울 금천구 독산로41길 7-0,시장,3050
24,독산근린공원,서울 금천구,도시공원,2934
25,뽀로로파크롯데빅마켓금천점,서울 금천구 두산로 71-0,테마공원,2903
26,호텔인카페독산사거리점,서울 금천구 가산로 35-0,모텔,2898
27,마리호텔,서울 금천구 디지털로11길 12-0,모텔,2784
28,카멜리아,서울 금천구 금하로 705-0,쇼핑몰,2260
29,쌈지어린이공원,서울 금천구,도시공원,2198
30,미니멀시즌호텔,서울 금천구 시흥대로141길 84-0,모텔,2131
31,산기슭공원,서울 금천구 독산로54길 6-0,도시공원,1902
32,금나래아트홀,서울 금천구 시흥대로73길 70-0,공연시설,1899
33,윈저호텔,서울 금천구 시흥대로 353-0,모텔,1889
34,트리플8호텔,서울 금천구 시흥대로56길 15-0,호텔,1825
34,롯데팩토리아울렛가산점,서울 금천구 벚꽃로 278-0,쇼핑몰,1825
36,자기야모텔,서울 금천구 디지털로 208-12,모텔,1813
37,넘버25호텔독산사거리점,서울 금천구 가산로 32-0,모텔,1593
38,은행나무시장,서울 금천구 금하로25길 9-0,시장,1510
39,금천체육공원,서울 금천구 독산로54길 102-27,도시공원,1361
40,마리오아울렛2관,서울 금천구 디지털로9길 23-0,쇼핑몰,1269
41,문화정원아트홀,서울 금천구 가산로 61-0,공연시설,1227
