광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
서울특별시,관악구,5723517.0
서울특별시,서초구,3385043.0
서울특별시,영등포구,3204906.0
서울특별시,구로구,1263793.0
서울특별시,강서구,1203409.0
서울특별시,강남구,1171711.0
서울특별시,용산구,1030454.0
서울특별시,송파구,912113.0
서울특별시,금천구,855055.0
서울특별시,양천구,842607.0
서울특별시,마포구,769293.0
서울특별시,은평구,551820.0
서울특별시,성북구,542307.0
서울특별시,서대문구,531065.0
서울특별시,강동구,530393.0
서울특별시,노원구,496026.0
서울특별시,광진구,492643.0
서울특별시,성동구,457046.0
서울특별시,동대문구,427642.0
서울특별시,중랑구,396323.0
서울특별시,강북구,305890.0
서울특별시,종로구,297422.0
서울특별시,도봉구,265726.0
서울특별시,중구,246567.0
경기도,부천시,1061217.0
경기도,김포시,552315.0
경기도,광명시,540857.0
경기도,안양시 동안구,504069.0
경기도,성남시 분당구,454887.0
경기도,남양주시,429670.0
경기도,고양시 덕양구,418529.0
경기도,화성시,408229.0
경기도,시흥시,344511.0
경기도,과천시,337452.0
경기도,군포시,318786.0
경기도,안양시 만안구,308006.0
경기도,용인시 수지구,280543.0
경기도,고양시 일산동구,278471.0
경기도,하남시,267378.0
경기도,용인시 기흥구,266483.0
경기도,파주시,258366.0
경기도,의정부시,253819.0
경기도,광주시,231066.0
경기도,의왕시,229681.0
경기도,고양시 일산서구,225614.0
경기도,안산시 상록구,224988.0
경기도,수원시 장안구,219627.0
경기도,수원시 권선구,208838.0
경기도,평택시,202116.0
경기도,성남시 수정구,201132.0
경기도,수원시 영통구,196688.0
경기도,안산시 단원구,181993.0
경기도,구리시,155119.0
경기도,용인시 처인구,128564.0
경기도,성남시 중원구,124222.0
경기도,수원시 팔달구,122236.0
경기도,양주시,101835.0
경기도,안성시,90443.0
경기도,오산시,87818.0
경기도,이천시,85890.0
경기도,양평군,83366.0
경기도,포천시,52713.0
경기도,여주시,42082.0
경기도,가평군,40509.0
경기도,동두천시,37711.0
경기도,연천군,18486.0
인천광역시,부평구,416701.0
인천광역시,서구,366656.0
인천광역시,남동구,263245.0
인천광역시,미추홀구,229277.0
인천광역시,연수구,203208.0
인천광역시,계양구,201502.0
인천광역시,중구,99899.0
인천광역시,강화군,40464.0
인천광역시,동구,24920.0
인천광역시,옹진군,7603.0
충청남도,천안시 서북구,91187.0
충청남도,아산시,88774.0
충청남도,천안시 동남구,70168.0
충청남도,당진시,50040.0
충청남도,서산시,49788.0
충청남도,홍성군,27725.0
충청남도,보령시,27187.0
충청남도,태안군,26324.0
충청남도,공주시,21593.0
충청남도,논산시,21295.0
충청남도,예산군,20786.0
