순위,관광지명,주소,분류,현지인 검색 수
1,노량진수산시장,서울 동작구 노들로 674-0,시장,64451
2,성대전통시장,서울 동작구 상도로 102-0,시장,18791
3,보라매공원,서울 동작구 여의대방로20길 33-0,도시공원,10589
4,동작주차공원,서울 동작구 현충로 213-0,도시공원,4792
5,신라스테이구로,서울 동작구 시흥대로 596-0,호텔,4107
6,메가박스이수,서울 동작구 동작대로 89-0,공연시설,3079
7,남성사계시장,서울 동작구 동작대로29길 9-0,시장,2746
8,스페이스살림,서울 동작구 노량진로 10-0,기타문화관광지,1804
9,조선일보뉴지엄,서울 동작구 현충로 124-0,전시시설,1375
10,대림프라자,서울 동작구 사당로17길 8-0,쇼핑몰,1295
11,핸드픽트호텔서울,서울 동작구 상도로 120-0,호텔,1093
12,달마사,서울 동작구 서달로 50-26,종교성지,1050
13,도화공원,서울 동작구 성대로17길 지하 52-0,도시공원,1043
14,용양봉저정공원,서울 동작구 노량진로32길 14-7,도시공원,941
15,대림쇼핑타운,서울 동작구 여의대방로 250-0,쇼핑몰,811
16,노들나루공원축구장,서울 동작구,레저스포츠시설,682
17,사당시장,서울 동작구 사당로 244-0,시장,656
18,사자암,서울 동작구 국사봉1길 235-14,종교성지,650
19,모자원고개,서울 동작구 보라매로 0-0,자연경관(산),542
20,우성쇼핑센터,서울 동작구 여의대방로 22-0,쇼핑몰,488
21,빙수골마을공원,서울 동작구,도시공원,463
22,동작청소년문화의집,서울 동작구 상도로15바길 5-0,기타문화관광지,382
23,사육신공원,서울 동작구 노량진로 191-0,도시공원,368
24,SR호텔사당,서울 동작구 동작대로1길 15-0,호텔,343
25,흑석시장,서울 동작구,시장,315
26,동작구노량진야구장,서울 동작구 노들로 688-0,레저스포츠시설,312
27,노량진근린공원,서울 동작구 여의대방로44길 39-0,도시공원,303
28,노들나루공원,서울 동작구 노량진로 247-0,도시공원,284
29,MRG호텔,서울 동작구 동작대로9길 4-0,모텔,281
30,동작구노량진축구장,서울 동작구 노들로 688-0,레저스포츠시설,274
31,정안사,서울 동작구 남부순환로265길 26-0,종교성지,226
32,상도어울마당,서울 동작구 성대로 180-0,기타문화관광지,180
33,지덕사,서울 동작구,역사유적지,179
34,탑모텔,서울 동작구 대림로 26-0,모텔,162
35,극락정사,서울 동작구 매봉로 79-0,종교성지,140
35,호국지장사,서울 동작구 현충로 210-0,종교성지,140
37,청안사,서울 동작구 사당로16길 143-0,종교성지,125
38,메가박스아트나인,서울 동작구 동작대로 89-0,공연시설,119
39,동작아트갤러리,서울 동작구 보라매로5길 28-0,전시시설,107
40,CTS아트홀,서울 동작구 노량진로 100-0,공연시설,106
41,참새어린이공원,서울 동작구,도시공원,102
42,노량진수산시장구시장,서울 동작구 노들로 688-0,시장,87
43,백로어린이공원,서울 동작구 장승배기로19라길 51-0,도시공원,83
44,힐링모텔,서울 동작구 장승배기로17길 7-0,모텔,82
45,지덕사부묘소,서울 동작구 양녕로 167-0,역사유적지,81
46,다이소노량진점,서울 동작구 노량진로 166-0,기타쇼핑시설,77
46,보라매공원인조잔디구장,서울 동작구 보라매로5길 28-0,레저스포츠시설,77
48,국립서울현충원현충문,서울 동작구 현충로 210-0,기타관광,70
48,원동방좋은집,서울 동작구 대방동23가길 8-0,기타쇼핑시설,70
50,다이소사당2호점,서울 동작구 남부순환로 2057-0,기타쇼핑시설,68
51,효사정,서울 동작구 현충로 55-0,도시공원,66
52,아트나인,서울 동작구 동작대로 89-0,공연시설,62
53,코자자모텔,서울 동작구 사당로30길 5-0,모텔,60
54,시티모텔,서울 동작구 등용로14길 44-0,모텔,59
55,열린스튜디오,서울 동작구 성대로25가길 8-0,기타문화관광지,54
56,볼더생활,서울 동작구 동작대로29길 69-0,기타레저스포츠,51
57,다이소상도점,서울 동작구 상도로 277-0,기타쇼핑시설,50
58,다이소대방점,서울 동작구 여의대방로 190-0,기타쇼핑시설,46
59,장안사,서울 동작구 신대방2나길 21-2,종교성지,45
60,남성역골목시장,서울 동작구 사당로16가길 19-0,시장,41
61,모텔세림,서울 동작구 사당로 291-0,모텔,40
61,보라매공원반려견놀이터,서울 동작구 여의대방로20길 33-0,도시공원,40
61,보문사,서울 동작구 성대로16길 90-0,종교성지,40
64,상도시장,서울 동작구 상도로37길 62-0,시장,38
65,노기남관,서울 동작구 솔밭로 71-0,전시시설,36
66,상도전통시장,서울 동작구 상도로37길 62-0,시장,34
67,까치상상어린이공원,서울 동작구 동작대로9길 35-0,도시공원,32
68,전라상회,서울 동작구 노들로 674-0,시장,31
68,청원민물고기직판장,서울 동작구 노량진로 86-0,시장,31
70,금강불교사,서울 동작구 상도로 308-0,기타쇼핑시설,28
70,사육신묘,서울 동작구,역사유적지,28
70,참수행 정각종,서울 동작구 사당로16다길 80-0,종교성지,28
73,다이소보라매점,서울 동작구 보라매로5가길 16-0,기타쇼핑시설,26
74,우암사,서울 동작구 동작대로 207-6,종교성지,24
74,새싹어린이공원,서울 동작구,도시공원,24
76,엔모텔,서울 동작구 노량진로 198-0,모텔,23
76,삼일공원,서울 동작구 사당로23길 57-7,도시공원,23
78,인더가든186,서울 동작구 흑석로5길 93-0,호스텔,20
79,휴모텔,서울 동작구 여의대방로24길 121-0,모텔,19
79,모닝캐슬,서울 동작구 대방동15길 20-0,기타쇼핑시설,19
81,동작문화원,서울 동작구 장승배기로10길 42-0,교육시설,18
81,봉황사,서울 동작구 흑석로13길 29-0,종교성지,18
83,정서수족관,서울 동작구 상도로15길 114-0,테마공원,17
83,별별가든,서울 동작구 대방동27길 95-0,기타쇼핑시설,17
85,양지공원,서울 동작구,도시공원,16
85,히어로낚시카페대방점,서울 동작구 상도로 45-0,수상레저스포츠,16
85,뱅기노자,서울 동작구 보라매로5길 51-0,기타문화관광지,16
85,송학대근린공원,서울 동작구,도시공원,16
89,새벽어린이공원,서울 동작구,도시공원,15
90,다이소대방남부점,서울 동작구 노량진로 4-0,기타쇼핑시설,14
90,보문사,서울 동작구 동작대로41길 23-13,종교성지,14
92,보현사,서울 동작구 사당로16라길 68-1,종교성지,12
92,약수암,서울 동작구 양녕로 153-9,종교성지,12
94,로얄모텔,서울 동작구 동작대로1길 33-0,모텔,11
94,보라매안전체험관,서울 동작구 여의대방로20길 33-0,기타문화관광지,11
94,리더짐사당센터,서울 동작구 동작대로29길 91-0,기타레저스포츠,11
97,닉스모텔,서울 동작구 노량진로 94-0,모텔,10
97,대흥모텔,서울 동작구 노량진로12길 4-9,모텔,10
97,다이소남성역점,서울 동작구 사당로17가길 16-0,기타쇼핑시설,10
97,다이소성대시장점,서울 동작구 상도로 102-0,기타쇼핑시설,10
