순위,업소명,주소,분류,외지인 검색 수
1,애플하우스이수점,서울 동작구 동작대로27다길 29-0,간이음식,26725
2,쿠우쿠우보라매공원점,서울 동작구 보라매로5가길 16-0,외국식,13477
3,서일순대국,서울 동작구 여의대방로24길 10-4,한식,10611
4,VIPS대방점,서울 동작구 노량진로 2-0,외국식,9684
5,청와옥사당직영점,서울 동작구 동작대로 71-0,한식,6524
6,등나무집,서울 동작구 대림로 52-0,한식,6461
7,동작노을카페,서울 동작구 동작대로 335-0,카페/찻집,5593
8,노량진컵밥거리,서울 동작구,기타음식,4372
9,아웃백스테이크하우스신대방점,서울 동작구 보라매로5가길 16-0,외국식,4169
10,순천집,서울 동작구 노량진로 80-0,외국식,4082
11,스타벅스보라매공원R점,서울 동작구 보라매로5길 35-0,카페/찻집,3893
12,방배김밥,서울 동작구 동작대로27길 59-16,간이음식,3847
13,닥터로빈흑석점,서울 동작구 현충로 124-0,외국식,3658
14,뚜스뚜스흑석역점,서울 동작구 현충로 75-0,카페/찻집,3644
15,맥도날드숭실대점,서울 동작구 사당로 22-0,간이음식,3216
16,맥도날드노량진점,서울 동작구 노량진로 158-0,간이음식,2998
17,소담촌사당직영점,서울 동작구 동작대로 43-0,외국식,2631
18,전주전집,서울 동작구 동작대로7길 19-0,외국식,2531
19,스타벅스노량진동점,서울 동작구 노량진로 190-0,카페/찻집,2511
20,사리원,서울 동작구 상도로50길 2-15,한식,2492
21,스타벅스신대방삼거리역점,서울 동작구 상도로 102-0,카페/찻집,2467
22,신온누리에생돈까스대방점,서울 동작구 여의대방로24길 107-0,외국식,2386
23,더한강,서울 동작구 노량진로32길 29-6,카페/찻집,2344
24,세종대왕숯불갈비보라매점,서울 동작구 여의대방로 136-0,한식,2052
25,다래식당[한식],서울 동작구 만양로2길 2-0,한식,1966
26,맥도날드이수점,서울 동작구 사당로 300-0,간이음식,1846
27,농실가,서울 동작구 상도로 142-0,한식,1821
28,쟝블랑제리이수직영점,서울 동작구 동작대로23길 8-0,간이음식,1740
29,스타벅스사당역점,서울 동작구 동작대로 21-0,카페/찻집,1647
30,스타벅스상도역점,서울 동작구 상도로37길 1-0,카페/찻집,1622
31,희래등[중식],서울 동작구 등용로 123-0,외국식,1607
32,대방싸리집,서울 동작구 여의대방로26길 24-0,한식,1553
33,고봉삼계탕중앙대점,서울 동작구 서달로 166-0,한식,1549
34,버거킹사당역점,서울 동작구 동작대로 21-0,간이음식,1469
35,롯데리아성대시장점,서울 동작구 상도로 102-0,간이음식,1442
36,스타벅스노량진역점,서울 동작구 노량진로 134-0,카페/찻집,1421
37,버거킹노량진점,서울 동작구 노량진로 169-0,간이음식,1324
38,침사추이[중식],서울 동작구 현충로 131-0,외국식,1312
39,버거킹신대방삼거리역점,서울 동작구 상도로 83-0,간이음식,1307
40,형제상회,서울 동작구 노들로 688-0,외국식,1301
41,스타벅스숭실대점,서울 동작구 사당로 4-0,카페/찻집,1253
42,서일순대국전문,서울 동작구 여의대방로24길 16-0,한식,1239
42,스시로로,서울 동작구 동작대로23길 29-0,외국식,1239
44,낙성곱창,서울 동작구 동작대로19길 60-0,외국식,1238
45,어촌,서울 동작구 상도로 122-0,한식,1220
46,백제갈비,서울 동작구 사당로 231-0,한식,1213
47,망향비빔국수동작점,서울 동작구 상도로 319-0,한식,1151
48,KFC보라매점,서울 동작구 보라매로5가길 7-0,간이음식,1144
49,롯데리아노량진점,서울 동작구 장승배기로 171-0,간이음식,1125
50,37.5동작이수점,서울 동작구 동작대로27가길 23-0,외국식,1100
51,투썸플레이스보라매삼성쉐르빌점,서울 동작구 보라매로5길 43-0,카페/찻집,1096
52,약초마을,서울 동작구 노량진로 26-0,한식,1072
53,늘보리,서울 동작구 상도로26길 19-0,한식,1068
54,스타벅스중앙대점,서울 동작구 흑석로 75-1,카페/찻집,1066
55,맥도날드중앙대점,서울 동작구 흑석로 84-0,간이음식,997
56,다채대방점,서울 동작구 알마타길 6-0,한식,976
56,일진아구찜,서울 동작구 여의대방로24길 93-0,한식,976
58,스타벅스숭실대입구역점,서울 동작구 상도로 354-0,카페/찻집,943
59,은희네온집닭떡볶이,서울 동작구 상도로41길 35-0,간이음식,902
60,세녹,서울 동작구 사당로 304-0,카페/찻집,900
61,신도세기보라매점,서울 동작구 보라매로5길 43-0,한식,889
62,초록애대방점,서울 동작구 여의대방로54길 5-0,한식,886
63,한울갈비,서울 동작구 동작대로1길 9-0,한식,849
64,롯데리아보라매타운점,서울 동작구 보라매로5길 35-0,간이음식,839
65,라시에스타,서울 동작구 동작대로 21-0,외국식,826
66,가마솥손두부사당본점,서울 동작구 남부순환로271길 20-0,한식,816
67,팔각도이수역점,서울 동작구 동작대로27다길 12-0,외국식,814
68,반디앤스타,서울 동작구 신대방1가길 38-0,외국식,813
69,대성관[중식],서울 동작구 여의대방로 204-1,외국식,777
70,서가앤쿡서울이수점,서울 동작구 동작대로27길 5-0,외국식,774
71,초와밥,서울 동작구 동작대로5길 8-0,외국식,772
72,오페뜨총신대점,서울 동작구 사당로 178-0,카페/찻집,763
73,스타벅스남성역점,서울 동작구 사당로 219-0,카페/찻집,762
74,엔제리너스이수역점,서울 동작구 동작대로25길 16-0,카페/찻집,759
75,차이30[중식],서울 동작구 보라매로5길 15-0,외국식,741
76,설빙보라매점,서울 동작구 보라매로3길 29-0,카페/찻집,740
77,낙지세상신대방본점,서울 동작구 대림로 57-0,외국식,737
78,던킨흑석DT점,서울 동작구 현충로 101-0,간이음식,710
79,낙지한마리수제비상도본점,서울 동작구 상도로31길 19-0,한식,704
79,단아한정식[한식],서울 동작구 동작대로27가길 44-0,한식,704
81,우부래도,서울 동작구 상도로37길 3-0,간이음식,703
82,투썸플레이스신대방삼거리점,서울 동작구 국사봉1길 32-0,카페/찻집,697
83,조가네갑오징어사당점,서울 동작구 남부순환로271길 24-0,외국식,694
84,정원분식본점,서울 동작구 사당로28길 5-0,간이음식,672
85,훈감동[일식],서울 동작구 동작대로9길 4-0,외국식,665
86,명륜진사갈비서울상도점,서울 동작구 상도로 128-0,한식,657
86,조선화로집상도역점,서울 동작구 상도로 263-6,한식,657
88,시간을들이다본점,서울 동작구 국사봉5길 4-0,간이음식,638
89,스타벅스이수자이점,서울 동작구 사당로 300-0,카페/찻집,637
89,투썸플레이스숭실대점,서울 동작구 사당로 36-1,카페/찻집,637
91,커피나무랩,서울 동작구 상도로53길 65-0,카페/찻집,636
92,롯데리아이수역점,서울 동작구 동작대로 129-0,간이음식,610
93,운봉산장양고기전문점,서울 동작구 장승배기로 118-1,외국식,590
94,팔팔해물탕,서울 동작구 여의대방로22길 14-3,한식,587
95,미분당신대방삼거리점,서울 동작구 보라매로19길 25-0,외국식,580
96,가야촌유황오리,서울 동작구 여의대방로24다길 15-2,외국식,569
97,도미노피자중앙대점,서울 동작구 현충로 136-0,간이음식,554
98,보라매볼링장,서울 동작구 보라매로5가길 16-0,한식,551
99,도미노피자사당점,서울 동작구 사당로 155-0,간이음식,526
100,할리스대방역점,서울 동작구 알마타길 6-0,카페/찻집,522
