순위,업소명,주소,분류,합산 검색 수
1,스타벅스연희DT점,서울 서대문구 연희로 144-0,카페/찻집,36013
2,연희동손칼국수본점,서울 서대문구 연희맛로 37-0,한식,16869
3,모래내설농탕본점,서울 서대문구 모래내로 271-0,한식,14949
4,목란[중식],서울 서대문구 연희로15길 21-0,외국식,12362
5,아웃백스테이크하우스신촌점,서울 서대문구 연세로12길 33-0,외국식,9978
6,수빈[한식],서울 서대문구 연희로25길 31-3,한식,9009
7,형제갈비,서울 서대문구 명물1길 2-0,한식,8895
8,앤트러사이트연희점,서울 서대문구 연희로 135-0,카페/찻집,8527
9,스타벅스북가좌DT점,서울 서대문구 응암로 85-0,카페/찻집,8459
10,피터팬1978본점,서울 서대문구 증가로 10-0,간이음식,6650
11,이화원[중식],서울 서대문구 연희맛로 13-0,외국식,6535
12,녹원쌈밥,서울 서대문구 연희로25길 22-0,한식,5652
13,연희김밥본점,서울 서대문구 연희로11가길 2-0,간이음식,4981
14,월순철판동태찜연희본점,서울 서대문구 연희맛로 17-14,한식,4967
15,연경연희점 [중식],서울 서대문구 연희로 145-0,외국식,4730
16,콘하스연희점,서울 서대문구 연희로27길 99-0,카페/찻집,4409
17,맥도날드연세대점,서울 서대문구 연세로 33-0,간이음식,4152
18,스타벅스남가좌사거리점,서울 서대문구 거북골로 84-0,카페/찻집,4058
19,스타벅스가재울뉴타운점,서울 서대문구 가재울미래로 2-0,카페/찻집,3831
20,연남장,서울 서대문구 연희로5길 22-0,간이음식,3695
21,락희안가좌본점 [중식],서울 서대문구 가재울로4길 53-0,외국식,3623
22,한옥집,서울 서대문구 통일로9길 12-0,한식,3525
23,만동제과,서울 서대문구 연희로 32-0,간이음식,3502
24,고미정,서울 서대문구 연희로26길 28-0,한식,3496
25,엄마손떡볶이,서울 서대문구 증가로10길 37-0,간이음식,3127
26,스타벅스연대동문점,서울 서대문구 성산로 565-0,카페/찻집,2869
27,청송함흥냉면,서울 서대문구 연희맛로 6-0,한식,2854
28,사조미가[한식],서울 서대문구 통일로 107-39,한식,2806
29,강수사,서울 서대문구 연희로 157-0,외국식,2674
30,로덴드론연희점,서울 서대문구 연희로25길 82-0,카페/찻집,2635
31,스타벅스홍제역점,서울 서대문구 통일로 451-0,카페/찻집,2629
32,등촌샤브칼국수명지대점,서울 서대문구 모래내로 273-0,외국식,2519
33,버거킹가재울뉴타운점,서울 서대문구 수색로 56-0,간이음식,2518
34,맥도날드홍제역점,서울 서대문구 통일로 442-1,간이음식,2417
35,쿳사,서울 서대문구 증가로 48-0,카페/찻집,2304
36,노아스로스팅연희점,서울 서대문구 연희로 160-0,카페/찻집,2224
37,평택고여사집냉면,서울 서대문구 연희로 81-9,한식,2208
38,스타벅스연희동점,서울 서대문구 연희로 97-0,카페/찻집,2180
39,맛있는칼국수,서울 서대문구 불광천길 150-0,한식,2092
40,투썸플레이스가재울엘가점,서울 서대문구 모래내로 151-0,카페/찻집,2076
41,투썸플레이스가재울뉴타운점,서울 서대문구 수색로 100-0,카페/찻집,2031
42,철길떡볶이,서울 서대문구 충정로 35-6,간이음식,2030
43,맥도날드명지대점,서울 서대문구 거북골로 25-0,간이음식,2025
44,홍은손칼국수전문점,서울 서대문구 홍은중앙로 27-0,한식,2020
45,스타벅스아현역점,서울 서대문구 신촌로35길 10-0,카페/찻집,1980
46,시오[일식],서울 서대문구 연희로11가길 23-0,외국식,1938
46,연희예술극장,서울 서대문구 연희맛로 2-3,카페/찻집,1938
48,맛있는집,서울 서대문구 거북골로20길 55-0,간이음식,1865
49,그로어스,서울 서대문구 연희로27길 52-0,외국식,1850
50,아워온즈,서울 서대문구 연희맛로 45-0,카페/찻집,1835
50,한촌설렁탕북가좌점,서울 서대문구 응암로 67-0,한식,1835
52,백년약수골,서울 서대문구 백련사길 99-0,한식,1726
53,던킨가재울뉴타운점,서울 서대문구 가재울미래로 2-0,간이음식,1711
54,조은집[한식],서울 서대문구 연희맛로 43-0,한식,1686
55,난향[중식],서울 서대문구 신촌로 67-0,외국식,1684
56,모래내곱창,서울 서대문구 증가로10길 26-0,외국식,1683
56,벽제갈비신촌점,서울 서대문구 명물길 22-0,한식,1683
58,하노이의아침연희점,서울 서대문구 연희맛로 10-0,외국식,1629
59,연희곰탕,서울 서대문구 증가로 17-0,한식,1628
60,호천식당,서울 서대문구 연희로14길 5-0,한식,1620
61,영양센타모래내점,서울 서대문구 모래내로 271-0,한식,1587
62,스타벅스경기대점,서울 서대문구 충정로 53-0,카페/찻집,1517
63,진보[중식],서울 서대문구 연희맛로 9-0,외국식,1513
64,빈플루,서울 서대문구 응암로 118-0,카페/찻집,1458
65,버거킹연희점,서울 서대문구 연희로 97-0,간이음식,1424
65,프로토콜,서울 서대문구 연희로 109-0,카페/찻집,1424
67,카덴,서울 서대문구 연희로 173-0,외국식,1421
68,폴앤폴리나연희점,서울 서대문구 연희로11길 56-0,간이음식,1419
69,이정희떡볶이,서울 서대문구 증가로10길 14-0,간이음식,1357
70,크리스피크림도넛가좌역점,서울 서대문구 수색로 56-0,간이음식,1316
71,연희녹두삼계탕,서울 서대문구 연희맛로 43-1,한식,1216
72,청송함흥냉면본관,서울 서대문구 연희맛로 6-0,한식,1212
73,뚜레쥬르무악재점,서울 서대문구 통일로 363-0,간이음식,1208
74,연대북문우리집[한식],서울 서대문구 연희로26길 23-0,한식,1198
75,정육면체,서울 서대문구 연세로5다길 22-8,외국식,1194
76,타코벨신촌점,서울 서대문구 연세로 26-1,외국식,1179
77,한옥집김치찜본점,서울 서대문구 통일로9길 12-0,한식,1168
78,SICTAC이대하늬솔점,서울 서대문구 성산로 527-0,외국식,1128
79,가타쯔무리,서울 서대문구 명지대길 72-0,외국식,1115
80,소담촌홍제점,서울 서대문구 통일로 413-0,한식,1102
81,라이라이,서울 서대문구 연희로15길 27-0,외국식,1101
82,서대문족발본점,서울 서대문구 충정로6안길 54-0,외국식,1086
83,문화촌초밥집,서울 서대문구 세무서7길 12-6,외국식,1082
84,연희보리밥,서울 서대문구 연희맛로 33-0,한식,1071
85,37.5DMC가재울점,서울 서대문구 가재울미래로 17-0,외국식,1058
86,티원연세대점 [중식],서울 서대문구 연세로 50-0,외국식,1049
87,민스키친연희점,서울 서대문구 연희맛로 7-0,한식,1036
88,옐로우보울,서울 서대문구 충정로 7-0,외국식,1026
89,센트그릴,서울 서대문구 연희로 89-3,외국식,1010
90,르솔레이,서울 서대문구 연희맛로 7-29,간이음식,996
91,지호한방삼계탕연희점,서울 서대문구 연희로25길 10-0,한식,980
92,가미분식,서울 서대문구 이화여대8길 2-0,간이음식,978
93,던킨서대문홍은점,서울 서대문구 가좌로 146-0,간이음식,974
94,마더린러베이글,서울 서대문구 이화여대5길 5-0,간이음식,970
95,롯데리아창천점,서울 서대문구 신촌로 15-0,간이음식,959
96,삼호복집,서울 서대문구 연세로5다길 10-0,외국식,951
97,사모님돈가스,서울 서대문구 연희로11가길 39-0,외국식,950
98,투썸플레이스서대문KT&G타워점,서울 서대문구 충정로 60-0,카페/찻집,941
99,도깨비우동,서울 서대문구 증가로 250-0,외국식,938
100,스웨이커피스테이션,서울 서대문구 연희로11길 61-0,카페/찻집,932
