광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
서울특별시,강남구,1.4083374E7
서울특별시,동작구,7364880.0
서울특별시,관악구,6875448.0
서울특별시,송파구,5742646.0
서울특별시,용산구,3131451.0
서울특별시,성동구,2572863.0
서울특별시,영등포구,2554356.0
서울특별시,강동구,2474406.0
서울특별시,광진구,2352767.0
서울특별시,강서구,2313957.0
서울특별시,마포구,2104881.0
서울특별시,성북구,1981930.0
서울특별시,노원구,1847841.0
서울특별시,은평구,1744017.0
서울특별시,서대문구,1672484.0
서울특별시,구로구,1622186.0
서울특별시,중랑구,1610057.0
서울특별시,양천구,1557802.0
서울특별시,동대문구,1529108.0
서울특별시,중구,1048733.0
서울특별시,금천구,1002632.0
서울특별시,종로구,996888.0
서울특별시,강북구,988558.0
서울특별시,도봉구,913476.0
경기도,성남시 분당구,4296530.0
경기도,용인시 수지구,2498531.0
경기도,용인시 기흥구,2141326.0
경기도,화성시,1918428.0
경기도,남양주시,1904355.0
경기도,과천시,1792810.0
경기도,부천시,1733017.0
경기도,안양시 동안구,1722071.0
경기도,광주시,1583693.0
경기도,성남시 수정구,1542669.0
경기도,하남시,1417055.0
경기도,수원시 영통구,1279704.0
경기도,고양시 덕양구,1212155.0
경기도,김포시,1180564.0
경기도,군포시,995330.0
경기도,광명시,898052.0
경기도,의왕시,849972.0
경기도,시흥시,831429.0
경기도,의정부시,828918.0
경기도,수원시 장안구,823924.0
경기도,고양시 일산동구,814951.0
경기도,수원시 권선구,814666.0
경기도,성남시 중원구,801843.0
경기도,용인시 처인구,799893.0
경기도,구리시,718377.0
경기도,평택시,712219.0
경기도,안양시 만안구,653821.0
경기도,고양시 일산서구,635508.0
경기도,안산시 상록구,635129.0
경기도,파주시,610753.0
경기도,안산시 단원구,507228.0
경기도,수원시 팔달구,487134.0
경기도,오산시,423278.0
경기도,이천시,371450.0
경기도,안성시,338927.0
경기도,양주시,292599.0
경기도,양평군,281457.0
경기도,여주시,180144.0
경기도,포천시,169814.0
경기도,가평군,112751.0
경기도,동두천시,89885.0
경기도,연천군,35044.0
인천광역시,서구,816383.0
인천광역시,연수구,784543.0
인천광역시,부평구,693946.0
인천광역시,남동구,606726.0
인천광역시,미추홀구,445231.0
인천광역시,계양구,402209.0
인천광역시,중구,214311.0
인천광역시,강화군,68348.0
인천광역시,동구,34546.0
인천광역시,옹진군,11693.0
충청남도,천안시 서북구,301414.0
충청남도,아산시,248243.0
충청남도,천안시 동남구,246782.0
충청남도,서산시,230154.0
충청남도,당진시,219805.0
충청남도,태안군,100282.0
충청남도,보령시,93613.0
충청남도,홍성군,79568.0
충청남도,공주시,76498.0
충청남도,논산시,68618.0
충청남도,부여군,56364.0
충청남도,예산군,52871.0
충청남도,계룡시,34245.0
충청남도,청양군,26063.0
충청남도,서천군,25752.0
충청남도,금산군,23354.0
충청북도,충주시,243200.0
충청북도,청주시 흥덕구,208848.0
충청북도,청주시 청원구,190029.0
충청북도,청주시 서원구,171337.0
충청북도,음성군,158321.0
충청북도,청주시 상당구,112931.0
충청북도,진천군,75761.0
충청북도,제천시,75624.0
충청북도,괴산군,33615.0
충청북도,증평군,28232.0
충청북도,영동군,18253.0
충청북도,단양군,15475.0
충청북도,옥천군,14584.0
충청북도,보은군,14353.0
강원도,원주시,363106.0
강원도,춘천시,242834.0
강원도,강릉시,156191.0
강원도,속초시,77578.0
강원도,평창군,54339.0
강원도,홍천군,52783.0
강원도,동해시,49485.0
강원도,양양군,42003.0
강원도,삼척시,40780.0
강원도,철원군,39100.0
강원도,횡성군,37418.0
강원도,인제군,29763.0
강원도,태백시,29422.0
강원도,정선군,25282.0
강원도,고성군,25223.0
강원도,영월군,24079.0
강원도,화천군,20578.0
강원도,양구군,14140.0
전라북도,전주시 완산구,265284.0
전라북도,전주시 덕진구,217068.0
전라북도,군산시,200459.0
전라북도,익산시,139764.0
전라북도,완주군,57028.0
전라북도,정읍시,35254.0
전라북도,남원시,32760.0
전라북도,부안군,28164.0
전라북도,고창군,27832.0
전라북도,김제시,26777.0
전라북도,무주군,11157.0
전라북도,순창군,10159.0
전라북도,장수군,9012.0
전라북도,진안군,8308.0
전라북도,임실군,6763.0
대전광역시,유성구,428312.0
대전광역시,서구,300060.0
대전광역시,중구,103194.0
대전광역시,동구,94492.0
대전광역시,대덕구,74150.0
경상남도,진주시,163176.0
경상남도,거제시,127792.0
경상남도,김해시,87999.0
경상남도,창원시 성산구,73081.0
경상남도,창원시 의창구,50951.0
경상남도,통영시,49446.0
경상남도,사천시,48479.0
경상남도,양산시,48296.0
경상남도,창원시 마산합포구,42437.0
경상남도,창원시 마산회원구,38224.0
경상남도,창원시 진해구,34618.0
경상남도,거창군,26879.0
경상남도,남해군,23778.0
경상남도,밀양시,16375.0
경상남도,하동군,16299.0
경상남도,함양군,16231.0
경상남도,고성군,16218.0
경상남도,산청군,15623.0
경상남도,함안군,13926.0
경상남도,창녕군,11833.0
경상남도,합천군,11768.0
경상남도,의령군,6417.0
경상북도,구미시,89024.0
경상북도,포항시 북구,86070.0
경상북도,안동시,76465.0
