유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
서울특별시 강남구 , 서울특별시 서초구,30.2,1
서울특별시 동작구 , 서울특별시 서초구,5.3,1
서울특별시 송파구 , 서울특별시 서초구,4.9,1
서울특별시 용산구 , 서울특별시 서초구,4.3,1
경기도 성남시 분당구 , 서울특별시 서초구,3.3,1
서울특별시 영등포구 , 서울특별시 서초구,3.2,1
서울특별시 관악구 , 서울특별시 서초구,3.2,1
서울특별시 성동구 , 서울특별시 서초구,2.6,1
서울특별시 중구 , 서울특별시 서초구,2.5,1
경기도 과천시 , 서울특별시 서초구,1.9,1
서울특별시 마포구 , 서울특별시 서초구,1.8,1
경기도 성남시 수정구 , 서울특별시 서초구,1.6,1
서울특별시 종로구 , 서울특별시 서초구,1.4,1
서울특별시 강서구 , 서울특별시 서초구,1.4,1
서울특별시 광진구 , 서울특별시 서초구,1.3,1
경기도 용인시 기흥구 , 서울특별시 서초구,1.2,1
서울특별시 강동구 , 서울특별시 서초구,1.2,1
경기도 용인시 수지구 , 서울특별시 서초구,1.2,1
경기도 하남시 , 서울특별시 서초구,1.1,1
경기도 안양시 동안구 , 서울특별시 서초구,1.1,1
 서울특별시 서초구,서울특별시 강남구,33.7,2
 서울특별시 서초구,서울특별시 용산구,4.9,2
 서울특별시 서초구,서울특별시 송파구,4.2,2
 서울특별시 서초구,서울특별시 중구,4.0,2
 서울특별시 서초구,경기도 성남시 분당구,3.5,2
 서울특별시 서초구,서울특별시 영등포구,3.2,2
 서울특별시 서초구,서울특별시 동작구,2.7,2
 서울특별시 서초구,경기도 성남시 수정구,2.4,2
 서울특별시 서초구,경기도 과천시,2.2,2
 서울특별시 서초구,서울특별시 관악구,2.1,2
 서울특별시 서초구,서울특별시 종로구,2.0,2
 서울특별시 서초구,서울특별시 마포구,1.9,2
 서울특별시 서초구,경기도 의왕시,1.6,2
 서울특별시 서초구,서울특별시 성동구,1.4,2
 서울특별시 서초구,경기도 하남시,1.3,2
 서울특별시 서초구,경기도 남양주시,1.3,2
 서울특별시 서초구,경기도 용인시 기흥구,1.2,2
 서울특별시 서초구,서울특별시 강서구,1.1,2
 서울특별시 서초구,경기도 용인시 처인구,1.1,2
 서울특별시 서초구,서울특별시 광진구,1.1,2
