순위,업소명,주소,분류,현지인 검색 수
1,소문난성수감자탕,서울 성동구 연무장길 45-0,한식,6266
2,대도식당본점,서울 성동구 무학로12길 3-0,한식,3603
3,RSG성수,서울 성동구 연무장15길 11-0,카페/찻집,3338
4,맥도날드한양대,서울 성동구 왕십리로 227-0,간이음식,1523
5,성수족발,서울 성동구 아차산로7길 7-0,외국식,1438
6,카페노티드성수,서울 성동구 연무장길 29-17,카페/찻집,1278
7,스타벅스성수낙낙점,서울 성동구 광나루로8길 31-0,카페/찻집,1274
8,할아버지공장,서울 성동구 성수이로7가길 9-0,카페/찻집,1264
9,오늘회성수센터,서울 성동구 성수이로 149-0,외국식,1167
10,스타벅스금호역점,서울 성동구 동호로 99-0,카페/찻집,1113
11,쎈느,서울 성동구 연무장5길 20-0,카페/찻집,1077
12,카페어니언성수점,서울 성동구 아차산로9길 8-0,카페/찻집,1040
13,강남면옥성수점,서울 성동구 성수일로 77-0,한식,1038
14,유래회관,서울 성동구 마장로 196-0,한식,1034
15,블루보틀성수카페,서울 성동구 아차산로 7-0,카페/찻집,1005
16,인더매스마장점,서울 성동구 마장로 270-0,카페/찻집,887
17,잠수교집성수점,서울 성동구 아차산로 137-0,한식,880
18,카나비스트릿,서울 성동구 왕십리로 136-0,카페/찻집,834
19,버거킹왕십리센트라스점,서울 성동구 왕십리로 410-0,간이음식,823
20,이디야커피성수우리W타워,서울 성동구 아차산로15길 19-0,카페/찻집,796
21,악어떡볶이,서울 성동구 마조로 33-0,간이음식,779
22,스타벅스옥수점,서울 성동구 독서당로 202-0,카페/찻집,744
23,백야드빌더성수점,서울 성동구 광나루로 152-0,카페/찻집,728
24,옥수해물찜칼국수,서울 성동구 독서당로40길 37-0,한식,722
25,새들러하우스성수2호점,서울 성동구 성덕정11길 5-12,카페/찻집,719
26,마장동한우촌,서울 성동구 마장로35길 68-0,한식,718
27,제일곱창,서울 성동구 고산자로 281-0,외국식,667
28,스타벅스황학사거리점,서울 성동구 왕십리로 410-0,카페/찻집,652
29,서울앵무새,서울 성동구 서울숲9길 3-0,카페/찻집,650
30,스타벅스한양대점,서울 성동구 왕십리로 225-0,카페/찻집,634
31,스타벅스엔터식스점,서울 성동구 왕십리광장로 17-0,카페/찻집,627
32,스타벅스서울숲역점,서울 성동구 왕십리로 50-0,카페/찻집,592
33,대성갈비,서울 성동구 서울숲4길 27-0,한식,585
34,본앤브레드신관,서울 성동구 마장로42길 1-0,한식,580
35,호호식당성수동점,서울 성동구 서울숲4길 25-0,외국식,578
36,카페차성수점,서울 성동구 서울숲6길 2-0,카페/찻집,576
37,춘향미엔,서울 성동구 왕십리로21길 26-0,외국식,569
38,오발탄서울숲점,서울 성동구 왕십리로 50-0,외국식,555
39,파리바게뜨왕십리텐즈힐점,서울 성동구 무학로 33-0,간이음식,554
40,스타벅스왕십리역점,서울 성동구 왕십리로 326-0,카페/찻집,550
41,성수다락,서울 성동구 뚝섬로9길 20-0,외국식,530
42,카페노티드피치스,서울 성동구 연무장3길 9-0,카페/찻집,528
43,커농,서울 성동구 살곶이길 346-0,카페/찻집,516
44,스타벅스성수역점,서울 성동구 성수이로 94-0,카페/찻집,515
45,꿉당성수점,서울 성동구 성수이로20길 10-0,한식,509
