순위,관광지명,주소,분류
1,더현대/서울,서울 영등포구 여의대로 108-0,쇼핑
2,타임스퀘어,서울 영등포구 영중로 15-0,쇼핑
3,여의도한강공원,서울 영등포구 여의동로 330-0,자연관광지
4,IFC몰,서울 영등포구 국제금융로 10-0,쇼핑
5,코스트코홀세일/양평점,서울 영등포구 선유로 156-0,쇼핑
6,신세계백화점/타임스퀘어점,서울 영등포구 영중로 9-0,쇼핑
7,롯데백화점/영등포점,서울 영등포구 경인로 846-0,쇼핑
8,홈플러스/영등포점,서울 영등포구 당산로 42-0,쇼핑
9,롯데마트/양평점,서울 영등포구 선유로 138-0,쇼핑
10,이마트/영등포점,서울 영등포구 영중로 15-0,쇼핑
11,빅마켓/영등포점,서울 영등포구 영중로 125-0,쇼핑
12,이마트/여의도점,서울 영등포구 여의동로3길 10-0,쇼핑
13,선유도공원,서울 영등포구 선유로 343-0,자연관광지
14,여의도백화점,서울 영등포구 국제금융로6길 33-0,쇼핑
15,여의도한강공원,서울 영등포구 여의동로 330-0,문화관광
16,양화한강공원,서울 영등포구 노들로 221-0,자연관광지
17,영등포청과시장,서울 영등포구 영신로 161-0,쇼핑
18,대신시장,서울 영등포구 도신로60길 7-0,쇼핑
19,아쿠아플라넷63,서울 영등포구 63로 50-0,휴양관광지
20,클라터뮤젠/더현대서울점,서울 영등포구 여의대로 108-0,쇼핑
21,문래근린공원,서울 영등포구,자연관광지
22,영등포유통상가,서울 영등포구 영등포로 109-0,쇼핑
23,롯데시네마/영등포,서울 영등포구 경인로 846-0,공연/행사
24,동진골프앤휘트니스클럽,서울 영등포구 여의대방로61길 55-0,레포츠(육상/해상/항공)
25,영등포전통시장,서울 영등포구,쇼핑
26,고릴라캠핑/서울양평점,서울 영등포구 양평로28아길 10-0,쇼핑
27,썬프라자,서울 영등포구 신길로 39-0,쇼핑
28,CGV/여의도,서울 영등포구 국제금융로 10-0,공연/행사
29,CGV/영등포,서울 영등포구 영중로 15-0,공연/행사
30,대림중앙시장,서울 영등포구 디지털로37나길 15-0,쇼핑
31,삼성전자서비스/영등포센터,서울 영등포구 가마산로 476-0,쇼핑
32,교보문고/영등포점,서울 영등포구 영중로 15-0,쇼핑
33,국군복지단/대방마트,서울 영등포구 여의대방로49길 3-0,쇼핑
34,이랜드크루즈/여의도선착장,서울 영등포구 여의동로 290-0,자연관광지
35,Apple/여의도직영스토어,서울 영등포구 국제금융로 10-0,쇼핑
36,노브랜드/영등포양평점,서울 영등포구 양평로 135-0,쇼핑
37,롯데하이마트/영등포구청역점,서울 영등포구 영등포로 115-0,쇼핑
38,LG전자베스트샵/서울양평점,서울 영등포구 선유로 173-0,쇼핑
39,서울마리나클럽앤요트,서울 영등포구 여의서로 160-0,레포츠(육상/해상/항공)
40,이랜드크루즈/양화선착장,서울 영등포구 노들로 111-0,자연관광지
41,영등포공원,서울 영등포구 신길로 275-0,자연관광지
42,다이소/여의도점,서울 영등포구 여의나루로 61-0,쇼핑
43,윤중로벚꽃길,서울 영등포구,휴양관광지
44,여의도공원,서울 영등포구 여의공원로 68-0,자연관광지
45,영등포아트홀,서울 영등포구 국회대로 596-0,공연/행사
46,아일렉스,서울 영등포구 의사당대로 108-0,쇼핑
47,LG전자서비스센터/영등포점,서울 영등포구 당산로 37-0,쇼핑
48,H&M/더현대서울점,서울 영등포구 여의대로 108-0,쇼핑
49,영등포제1스포츠센터,서울 영등포구 신풍로 1-0,레포츠(육상/해상/항공)
