순위,관광지명,주소,분류,외지인 검색 수
1,그랜드하얏트서울,서울 용산구 소월로 322-0,호텔,178518
2,남산서울타워,서울 용산구 남산공원길 105-0,랜드마크관광,178383
3,국립중앙박물관,서울 용산구 서빙고로 137-0,전시시설,155363
4,CGV용산아이파크몰,서울 용산구 한강대로23길 55-0,공연시설,132635
5,전쟁기념관,서울 용산구 이태원로 29-0,전시시설,95994
6,서울드래곤시티,서울 용산구 청파로20길 95-0,호텔,64473
7,몬드리안서울 이태원,서울 용산구 장문로 23-0,호텔,62819
8,블루스퀘어,서울 용산구 이태원로 294-0,공연시설,62029
9,용산전자상가,서울 용산구,기타쇼핑시설,46324
10,용산가족공원,서울 용산구 서빙고로 137-0,도시공원,44323
11,이촌한강공원,서울 용산구 이촌로72길 62-0,도시공원,41076
12,노보텔앰배서더호텔서울용산,서울 용산구 청파로20길 95-0,호텔,40607
13,해밀톤호텔,서울 용산구 이태원로 179-0,호텔,32616
14,포포인츠바이쉐라톤조선서울역,서울 용산구 한강대로 366-0,호텔,30456
15,노들섬,서울 용산구 양녕로 445-0,자연경관(하천/해양),28798
16,리움미술관,서울 용산구 이태원로55길 60-16,전시시설,27470
17,롯데시네마용산,서울 용산구 청파로 74-0,공연시설,23645
18,국립한글박물관,서울 용산구 서빙고로 139-0,전시시설,22144
19,후암시장,서울 용산구 후암로35길 24-0,시장,19597
20,용문시장,서울 용산구,시장,16457
21,이비스스타일앰배서더서울용산,서울 용산구 청파로20길 95-0,호텔,13134
22,효창공원,서울 용산구 임정로 58-0,도시공원,12242
23,백범김구기념관,서울 용산구 임정로 26-0,전시시설,11807
24,남산야외식물원,서울 용산구 소월로 323-0,테마공원,10180
25,그랜드머큐어앰배서더용산,서울 용산구 청파로20길 95-0,호텔,9822
26,크라운호텔,서울 용산구 녹사평대로 140-0,호텔,9454
27,노들섬복합문화공간,서울 용산구 양녕로 445-0,기타문화관광지,9046
28,국립중앙박물관어린이박물관,서울 용산구 서빙고로 137-0,전시시설,8336
29,노보텔스위트앰배서더서울용산,서울 용산구 청파로20길 95-0,호텔,8188
30,극장용,서울 용산구 서빙고로 137-0,공연시설,8158
31,노들섬라이브하우스,서울 용산구 양녕로 445-0,공연시설,7126
32,N서울타워,서울 용산구 남산공원길 105-0,랜드마크관광,7116
33,노들섬야외스케이트장,서울 용산구 양녕로 445-0,육상레저스포츠,6761
34,용산역광장,서울 용산구 한강대로21나길 0-0,기타관광,6283
35,임피리얼팰리스부티크호텔,서울 용산구 이태원로 221-0,호텔,5203
36,차범근축구교실,서울 용산구 이촌로72길 62-0,기타레저스포츠,5019
37,한강쇼핑센터,서울 용산구 이촌로 224-0,쇼핑몰,4907
38,신라아이파크면세점용산점,서울 용산구 한강대로23길 55-0,면세점,4779
39,호텔더디자이너스서울역점,서울 용산구 한강대로 305-0,호텔,4735
40,신동아쇼핑센터,서울 용산구 이촌로 352-0,쇼핑몰,4485
41,만리동시장,서울 용산구 효창원로 270-0,시장,4119
42,아모레퍼시픽미술관,서울 용산구 한강대로 100-0,전시시설,3958
43,용산전쟁기념관어린이박물관,서울 용산구 이태원로 29-0,전시시설,3372
44,엘르인호텔,서울 용산구 한강대로71길 24-0,호텔,3279
45,가야라트리호텔,서울 용산구 한강대로 253-0,호텔,3274
46,왜고개,서울 용산구 한강대로40길 46-0,역사유적지,3268
47,레인보우호텔,서울 용산구 한강대로71길 48-0,호텔,3227
48,한강세븐수상레저,서울 용산구,수상레저스포츠,3168
49,노들섬다목적홀숲,서울 용산구 양녕로 445-0,기타문화관광지,2973
50,하이브인사이트,서울 용산구 한강대로 42-0,기타문화관광지,2707
51,이태원시장,서울 용산구 이태원로14길 6-0,시장,2664
52,일신홀,서울 용산구 한남대로 98-0,공연시설,2376
53,과학동아천문대,서울 용산구 청파로 109-0,랜드마크관광,2193
54,이태원앤틱가구거리,서울 용산구,기타쇼핑시설,2097
55,이촌한강공원안내센터,서울 용산구,기타관광,2076
