순위,관광지명,주소,분류,현지인 검색 수
1,그랜드하얏트서울,서울 용산구 소월로 322-0,호텔,23303
2,CGV용산아이파크몰,서울 용산구 한강대로23길 55-0,공연시설,12845
3,용산전자상가,서울 용산구,기타쇼핑시설,12026
4,후암시장,서울 용산구 후암로35길 24-0,시장,11695
5,서울드래곤시티,서울 용산구 청파로20길 95-0,호텔,11093
6,몬드리안서울 이태원,서울 용산구 장문로 23-0,호텔,10571
7,국립중앙박물관,서울 용산구 서빙고로 137-0,전시시설,9980
8,전쟁기념관,서울 용산구 이태원로 29-0,전시시설,6266
9,용문시장,서울 용산구,시장,5917
10,용산가족공원,서울 용산구 서빙고로 137-0,도시공원,5815
11,해밀톤호텔,서울 용산구 이태원로 179-0,호텔,5370
12,블루스퀘어,서울 용산구 이태원로 294-0,공연시설,5120
13,이촌한강공원,서울 용산구 이촌로72길 62-0,도시공원,4715
14,리움미술관,서울 용산구 이태원로55길 60-16,전시시설,4512
15,남산서울타워,서울 용산구 남산공원길 105-0,랜드마크관광,4343
16,노보텔앰배서더호텔서울용산,서울 용산구 청파로20길 95-0,호텔,3879
17,효창공원,서울 용산구 임정로 58-0,도시공원,3854
18,롯데시네마용산,서울 용산구 청파로 74-0,공연시설,3790
19,그랜드머큐어앰배서더용산,서울 용산구 청파로20길 95-0,호텔,3760
20,포포인츠바이쉐라톤조선서울역,서울 용산구 한강대로 366-0,호텔,2818
21,신동아쇼핑센터,서울 용산구 이촌로 352-0,쇼핑몰,2659
22,크라운호텔,서울 용산구 녹사평대로 140-0,호텔,2657
23,이비스스타일앰배서더서울용산,서울 용산구 청파로20길 95-0,호텔,2524
24,국립한글박물관,서울 용산구 서빙고로 139-0,전시시설,2327
25,노들섬,서울 용산구 양녕로 445-0,자연경관(하천/해양),2012
26,만리동시장,서울 용산구 효창원로 270-0,시장,1716
27,남산야외식물원,서울 용산구 소월로 323-0,테마공원,1696
28,한강쇼핑센터,서울 용산구 이촌로 224-0,쇼핑몰,1396
29,용산문화원,서울 용산구 효창원로8길 28-0,교육시설,906
30,성촌공원,서울 용산구,도시공원,893
31,백범김구기념관,서울 용산구 임정로 26-0,전시시설,867
32,잠수장여관,서울 용산구 서빙고로 295-0,모텔,826
