광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
울산광역시,중구,4435021.0
울산광역시,남구,3749295.0
울산광역시,동구,2130550.0
울산광역시,울주군,1434251.0
경상북도,경주시,1314975.0
경상북도,포항시 남구,124678.0
경상북도,경산시,117258.0
경상북도,포항시 북구,115131.0
경상북도,구미시,62342.0
경상북도,영천시,43587.0
경상북도,울진군,26579.0
경상북도,안동시,24147.0
경상북도,김천시,19061.0
경상북도,칠곡군,17706.0
경상북도,영주시,14174.0
경상북도,청도군,13165.0
경상북도,영덕군,13093.0
경상북도,상주시,9138.0
경상북도,의성군,7488.0
경상북도,예천군,7260.0
경상북도,청송군,7111.0
경상북도,문경시,5774.0
경상북도,성주군,4420.0
경상북도,군위군,4249.0
경상북도,고령군,4206.0
경상북도,봉화군,3991.0
경상북도,영양군,3704.0
경상북도,울릉군,3191.0
부산광역시,해운대구,145480.0
부산광역시,부산진구,119777.0
부산광역시,기장군,113358.0
부산광역시,금정구,90085.0
부산광역시,남구,87673.0
부산광역시,동래구,79779.0
부산광역시,북구,75859.0
부산광역시,연제구,68136.0
부산광역시,사하구,64390.0
부산광역시,수영구,60900.0
부산광역시,사상구,51762.0
부산광역시,강서구,40350.0
부산광역시,영도구,29176.0
부산광역시,서구,24471.0
부산광역시,동구,21675.0
부산광역시,중구,13623.0
경상남도,양산시,246213.0
경상남도,김해시,119895.0
경상남도,거제시,47813.0
경상남도,창원시 성산구,44221.0
경상남도,밀양시,38206.0
경상남도,진주시,34600.0
경상남도,창원시 의창구,33744.0
경상남도,창원시 진해구,29139.0
경상남도,창원시 마산합포구,26566.0
경상남도,창원시 마산회원구,25297.0
경상남도,통영시,17722.0
경상남도,사천시,12234.0
경상남도,함안군,11074.0
경상남도,창녕군,9273.0
경상남도,고성군,6485.0
경상남도,거창군,6190.0
경상남도,남해군,5990.0
경상남도,합천군,5458.0
경상남도,의령군,4412.0
경상남도,함양군,4239.0
경상남도,하동군,4104.0
경상남도,산청군,3657.0
경기도,화성시,52132.0
경기도,평택시,37026.0
경기도,용인시 기흥구,28154.0
경기도,부천시,27418.0
경기도,김포시,23514.0
경기도,성남시 분당구,22924.0
경기도,남양주시,22845.0
경기도,용인시 수지구,19323.0
경기도,시흥시,19158.0
경기도,고양시 덕양구,18028.0
경기도,수원시 영통구,17578.0
경기도,수원시 권선구,16843.0
경기도,파주시,15503.0
경기도,광주시,14383.0
경기도,용인시 처인구,14142.0
경기도,하남시,13694.0
경기도,고양시 일산동구,13680.0
경기도,안양시 동안구,13186.0
경기도,이천시,13125.0
경기도,안산시 상록구,12017.0
경기도,의정부시,12017.0
경기도,오산시,11667.0
경기도,안산시 단원구,11297.0
경기도,수원시 장안구,10183.0
경기도,광명시,10179.0
경기도,성남시 수정구,9892.0
경기도,고양시 일산서구,9863.0
경기도,안성시,9623.0
경기도,군포시,9306.0
경기도,수원시 팔달구,9093.0
경기도,안양시 만안구,8243.0
경기도,성남시 중원구,7743.0
경기도,구리시,6695.0
경기도,양주시,6156.0
경기도,의왕시,6015.0
경기도,여주시,5553.0
경기도,포천시,5256.0
경기도,양평군,4432.0
경기도,과천시,3465.0
경기도,연천군,2109.0
경기도,가평군,1887.0
경기도,동두천시,1794.0
서울특별시,관악구,37802.0
서울특별시,강서구,36240.0
서울특별시,송파구,34927.0
서울특별시,강남구,31156.0
서울특별시,영등포구,27785.0
서울특별시,마포구,24244.0
서울특별시,동작구,23783.0
서울특별시,성북구,22496.0
서울특별시,서대문구,21354.0
서울특별시,광진구,20968.0
서울특별시,강동구,20597.0
서울특별시,서초구,20576.0
서울특별시,동대문구,18837.0
서울특별시,은평구,18672.0
서울특별시,노원구,18144.0
서울특별시,성동구,16396.0
서울특별시,구로구,15170.0
서울특별시,양천구,15121.0
서울특별시,중랑구,12975.0
서울특별시,용산구,12490.0
서울특별시,강북구,11006.0
서울특별시,금천구,9330.0
서울특별시,종로구,8992.0
서울특별시,도봉구,8718.0
서울특별시,중구,8194.0
대구광역시,달서구,99106.0
대구광역시,북구,93632.0
대구광역시,동구,72959.0
대구광역시,수성구,71846.0
대구광역시,달성군,51284.0
대구광역시,남구,29630.0
대구광역시,서구,21591.0
대구광역시,중구,17961.0
충청남도,아산시,32775.0
충청남도,천안시 서북구,23662.0
충청남도,당진시,18054.0
충청남도,천안시 동남구,16410.0
충청남도,서산시,12991.0
충청남도,공주시,3898.0
충청남도,보령시,3702.0
충청남도,논산시,3693.0
충청남도,태안군,3339.0
충청남도,예산군,2739.0
충청남도,홍성군,2585.0
충청남도,부여군,2237.0
충청남도,금산군,2083.0
충청남도,계룡시,1689.0
충청남도,서천군,1668.0
충청남도,청양군,534.0
인천광역시,서구,23089.0
인천광역시,연수구,17501.0
인천광역시,부평구,14264.0
인천광역시,남동구,13760.0
인천광역시,미추홀구,11158.0
인천광역시,중구,9606.0
인천광역시,계양구,7733.0
인천광역시,강화군,2123.0
인천광역시,옹진군,1068.0
인천광역시,동구,819.0
충청북도,충주시,16370.0
충청북도,청주시 흥덕구,13562.0
충청북도,청주시 청원구,12158.0
충청북도,음성군,8258.0
충청북도,청주시 서원구,7885.0
충청북도,청주시 상당구,6157.0
충청북도,제천시,5851.0
충청북도,진천군,5613.0
충청북도,옥천군,3468.0
충청북도,영동군,2880.0
충청북도,증평군,2403.0
충청북도,단양군,2342.0
충청북도,괴산군,1999.0
충청북도,보은군,1611.0
대전광역시,유성구,27943.0
대전광역시,서구,24394.0
대전광역시,동구,11399.0
대전광역시,중구,8974.0
대전광역시,대덕구,8699.0
강원도,원주시,13950.0
강원도,강릉시,12251.0
강원도,동해시,7487.0
강원도,춘천시,7444.0
강원도,삼척시,7025.0
강원도,태백시,3918.0
강원도,속초시,3902.0
강원도,평창군,2910.0
강원도,정선군,2869.0
강원도,홍천군,2814.0
강원도,고성군,2058.0
강원도,횡성군,2047.0
강원도,인제군,1824.0
강원도,양양군,1750.0
강원도,영월군,1731.0
강원도,철원군,1709.0
강원도,화천군,1239.0
강원도,양구군,1019.0
전라남도,여수시,12618.0
전라남도,광양시,9999.0
전라남도,순천시,9596.0
