순위,업소명,주소,분류,현지인 검색 수
1,맥도날드울산호계SK DT점,울산 북구 산업로 1448-0,간이음식,4138
2,아비아채하사정1920,울산 북구 동해안로 831-52,카페/찻집,3304
3,라메르판지,울산 북구 판지1길 30-0,카페/찻집,3296
4,스타벅스울산북구청DT점,울산 북구 산업로 1011-0,카페/찻집,3109
5,스타벅스울산호계DT점,울산 북구 산업로 1464-0,카페/찻집,3043
6,스타벅스울산정자비치DT점,울산 북구 동해안로 1601-0,카페/찻집,2697
7,파파앤썬by랑콩뜨레,울산 북구 박상진6로 7-0,카페/찻집,2511
8,한가위,울산 북구 진장유통로 43-0,한식,2453
9,홍익돈까스울산북구점,울산 북구 호계매곡4로 13-0,외국식,2445
10,곤지곤지호계점 [한식],울산 북구 호수2로 26-0,한식,2375
11,라오[중식],울산 북구 송정15길 10-0,외국식,1673
12,정성순대울산송정점,울산 북구 송정11길 15-0,한식,1593
13,카페나우이제,울산 북구 제내4길 16-6,카페/찻집,1559
14,버거킹울산북구청DT점,울산 북구 안기번득길 23-0,간이음식,1534
15,버거킹울산호계DT점,울산 북구 산업로 1426-0,간이음식,1503
16,곽암아트카페갤러리,울산 북구 판지1길 62-0,카페/찻집,1500
17,구유림,울산 북구 동해안로 1335-0,카페/찻집,1303
18,SUBWAY울산송정점,울산 북구 화산로 115-0,간이음식,1275
19,정자회센터에이14호,울산 북구 정자1길 48-0,외국식,1221
20,스타국수,울산 북구 당수골29길 22-0,한식,1169
21,비앤비서비스에프유,울산 북구 모듈화산업로 126-0,기타음식,1149
22,이프,울산 북구 당수골6길 22-0,카페/찻집,1050
23,신천쭈꾸미,울산 북구 매곡로 152-0,외국식,1045
24,더파티울산신선도원점,울산 북구 진장17길 10-0,외국식,1031
25,투썸플레이스울산정자점,울산 북구 동해안로 1540-0,카페/찻집,986
26,북경짜장[중식],울산 북구 명촌23길 31-0,외국식,943
27,진장회수산센터,울산 북구 진장유통1로 60-0,외국식,938
28,명촌한식뷔페,울산 북구 명촌23길 41-0,한식,937
29,우가포커피로스터스,울산 북구 동해안로 1110-0,카페/찻집,928
30,우진숯불화로구이,울산 북구 고래로 2-1,한식,914
31,코델리아,울산 북구 동해안로 1120-0,카페/찻집,895
32,ELDORADO,울산 북구 송정12길 3-0,외국식,881
33,호계주택,울산 북구 괴정2길 8-2,한식,869
34,카몬시,울산 북구 용바위2길 45-0,카페/찻집,856
35,제주은희네해장국울산명촌점,울산 북구 명촌로 20-0,한식,838
36,복누리돼지국밥,울산 북구 동대8길 6-0,한식,836
37,태번159,울산 북구 매곡로 159-0,카페/찻집,832
38,생생쭈꾸미울산본점,울산 북구 당수골15길 4-0,외국식,782
39,환장라멘,울산 북구 박상진3로 25-0,외국식,739
40,투썸플레이스울산송정점,울산 북구 박상진11로 1-0,카페/찻집,733
41,상안가든,울산 북구 동산길 22-0,외국식,709
42,투썸플레이스울산명촌점,울산 북구 명촌로 44-0,카페/찻집,695
43,도드람마을,울산 북구 진장로 85-0,한식,690
44,화도담,울산 북구 곡리6길 10-0,한식,687
45,강동회수산,울산 북구 명촌7길 32-0,외국식,684
46,삼정한우축산,울산 북구 매곡로 204-0,한식,683
47,미풍해장국강동산하점,울산 북구 산하중앙3로 18-0,한식,670
48,남보완해물칼국수울산직영점,울산 북구 진장유통로 42-0,한식,653
49,명촌순두부보쌈,울산 북구 명촌로 13-0,외국식,641
50,나인유,울산 북구 동해안로 1321-0,카페/찻집,636
