순위,업소명,주소,분류,합산 검색 수
1,언양기와집불고기,울산 울주군 헌양길 86-0,한식,52198
2,그릿비서생점,울산 울주군 신암해안1길 4-0,카페/찻집,28007
3,나사리식당,울산 울주군 나사해안길 15-0,한식,18889
4,AOP,울산 울주군 해맞이로 1097-2,카페/찻집,16083
5,농도,울산 울주군 명촌길천로 23-0,카페/찻집,12284
6,해월당,울산 울주군 등억알프스로 245-0,간이음식,11374
7,언양진미불고기,울산 울주군 중평로 33-0,한식,11126
8,헤이메르,울산 울주군 잿골길 72-0,카페/찻집,9942
9,율리정[한식],울산 울주군 율리영해1길 170-6,한식,9353
10,봉계한우숯불단지,울산 울주군,기타음식,8720
11,떡바우횟집,울산 울주군 신암해안길 13-0,외국식,8143
12,호피폴라,울산 울주군 나사해안길 6-0,카페/찻집,8006
13,저수지휴게실,울산 울주군 상보두현길 53-0,한식,7949
14,베테랑바베큐,울산 울주군 해맞이로 924-0,외국식,7925
15,스타벅스울산간절곶점,울산 울주군 간절곶1길 33-0,카페/찻집,7263
16,무라카데칼국수,울산 울주군 율리영해1길 104-5,한식,7058
17,맥도날드울산굴화DT점,울산 울주군 울밀로 2877-0,간이음식,6818
18,가지산돌짜장,울산 울주군 웃궁평길 6-4,외국식,6588
19,카페수피아,울산 울주군 장제1길 13-11,카페/찻집,6560
20,히든블루,울산 울주군 신리길 96-0,카페/찻집,6277
21,이너리트,울산 울주군 수남벚꽃길 9-0,카페/찻집,6240
22,시선310간절곶점,울산 울주군 신리길 102-0,카페/찻집,6037
23,도동산방[한식],울산 울주군 송락골길 133-0,한식,5659
24,발레나식스,울산 울주군 지지길 55-0,카페/찻집,5496
25,당구대통철판삼겹살울산점,울산 울주군 삼평길 453-0,한식,5435
26,간절곶해빵,울산 울주군 해맞이로 924-0,간이음식,5272
27,웅촌식육식당,울산 울주군 곡천동문길 33-0,한식,4540
28,언양1번가주먹떡갈비,울산 울주군 언양로 37-0,한식,4532
29,이안에들꽃,울산 울주군 이전장성길 60-15,카페/찻집,4524
30,가마솥뼈다귀해장국,울산 울주군 동향교3길 6-5,한식,4378
31,언양진미불고기,울산 울주군 동문길 47-0,한식,4366
32,더스톤,울산 울주군 소야정길 115-0,카페/찻집,4342
33,시래담,울산 울주군 등억알프스로 50-0,한식,4167
34,OK목장,울산 울주군 방기로 1-0,한식,4087
35,정안정,울산 울주군 서상평길 45-3,한식,3982
36,한마당한우촌,울산 울주군 웃방천5길 10-0,한식,3923
37,오르토커피,울산 울주군 내곡길 21-0,카페/찻집,3757
38,공원불고기,울산 울주군 헌양길 32-0,한식,3738
39,산다화,울산 울주군 오리밭들길 13-0,한식,3658
40,레스트펫,울산 울주군 연산1길 109-115,카페/찻집,3506
41,개성쌈밥,울산 울주군 동향교3길 13-0,한식,3475
42,카페베르츠율리,울산 울주군 상보두현길 75-0,카페/찻집,3423
43,온실리움,울산 울주군 도동신리로 138-0,카페/찻집,3378
44,파라안,울산 울주군 백천1길 64-0,카페/찻집,3365
45,소이빈삼동카페,울산 울주군 삼동로 267-7,카페/찻집,3290
46,랑콩뜨레울산구영점,울산 울주군 점촌3길 5-0,간이음식,3191
47,투썸플레이스언양교동점,울산 울주군 중평로 60-0,카페/찻집,3170
48,하와이새우트럭간절곶본점,울산 울주군 해맞이로 1193-0,외국식,3152
49,마운트커피,울산 울주군 대리3길 10-14,카페/찻집,3036
50,동해반점[중식],울산 울주군 읍성로 109-0,외국식,3031
51,어니스트케이프,울산 울주군 간절곶2길 11-0,카페/찻집,3023
52,정나루,울산 울주군 구영앞길 74-0,한식,2912
53,선바위한우불고기,울산 울주군 구영앞길 140-0,한식,2886
54,보광보리밥전문점,울산 울주군 해맞이로 787-0,한식,2871
55,소소숲,울산 울주군 장제1길 13-3,카페/찻집,2847
56,간절곶관광회센터,울산 울주군 간절곶해안길 246-0,외국식,2683
57,가지산언양불고기,울산 울주군 헌양길 96-0,한식,2678
58,담소,울산 울주군 삼동로 1238-3,카페/찻집,2669
59,만만가마솥밥[한식],울산 울주군 상보두현길 59-3,한식,2629
60,돌집민물장어,울산 울주군 용산길 26-11,외국식,2610
61,배내통하우스,울산 울주군 배내로 1447-0,한식,2569
62,뱃고동횟집,울산 울주군 간절곶해안길 83-0,외국식,2543
63,간절바당,울산 울주군 신암해안길 11-0,카페/찻집,2525
64,일품장어,울산 울주군 점촌6길 19-5,외국식,2494
65,쿠우쿠우굴화하나로마트점,울산 울주군 장검길 10-0,외국식,2438
66,언양닭칼국수,울산 울주군 읍성로 92-0,한식,2420
67,지지파이브,울산 울주군 지지길 37-6,간이음식,2385
68,본밀크,울산 울주군 헌양길 95-0,카페/찻집,2294
69,남도돼지국밥,울산 울주군 장검길 9-9,한식,2224
70,얼크니손칼국수울산점,울산 울주군 술마길 6-0,한식,2220
71,담다바다,울산 울주군 나사해안길 61-0,외국식,2212
72,동부분식,울산 울주군 남문길 35-1,간이음식,2192
73,명성종가,울산 울주군 등억알프스로 447-0,한식,2167
74,두티골,울산 울주군 청량천변로 151-0,한식,2135
75,구수리370,울산 울주군 대암둔기로 82-0,카페/찻집,2101
76,보리밥레스토랑,울산 울주군 대복동천로 808-16,한식,2097
77,효정밥상,울산 울주군 신덕하1길 9-0,한식,2094
78,카페포레스트오브삼동,울산 울주군 보삼길 256-52,카페/찻집,2052
79,사일런스,울산 울주군 헌양길 230-0,카페/찻집,2036
80,로망스아구찜,울산 울주군 대암둔기로 193-0,한식,2020
81,태양칼국수,울산 울주군 대리2길 24-1,한식,2005
82,금화불고기,울산 울주군 성리길 1-0,한식,2001
83,토르첼로,울산 울주군 배내로 950-0,카페/찻집,1963
84,웰빙하우스,울산 울주군 삼동로 970-24,한식,1914
85,롱브레드울산언양점,울산 울주군 반구대로 1136-7,외국식,1905
86,피아모르,울산 울주군 윗술마길 18-12,한식,1881
87,카페리베리베,울산 울주군 간절곶1길 8-0,카페/찻집,1854
88,투썸플레이스간절곶점,울산 울주군 간절곶1길 30-20,카페/찻집,1850
89,서생집,울산 울주군 용연길 148-0,외국식,1829
90,갈비구락부,울산 울주군 남상평2길 34-12,한식,1828
91,한농연,울산 울주군 상평강변길 7-6,한식,1794
92,하이플로라,울산 울주군 해맞이로 1075-6,카페/찻집,1761
93,해월당청량율리점,울산 울주군 청량천변로 161-0,간이음식,1754
94,리틀티가든,울산 울주군 신기길 50-1,카페/찻집,1749
95,간절곶돌문어,울산 울주군 신암해안2길 23-0,외국식,1745
96,율리이장집,울산 울주군 율리영해1길 162-0,한식,1740
97,감나무집,울산 울주군 청량천변로 123-0,외국식,1738
98,오늘은다전리,울산 울주군 서사로 342-0,카페/찻집,1728
99,가랑잎새[한식],울산 울주군 우만길 27-19,한식,1724
100,배나무집,울산 울주군 용연길 14-0,한식,1701
