광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
경기도,김포시,2053367.0
경기도,부천시,643790.0
경기도,고양시 덕양구,319092.0
경기도,파주시,271524.0
경기도,고양시 일산동구,259502.0
경기도,고양시 일산서구,246311.0
경기도,시흥시,172494.0
경기도,남양주시,143314.0
경기도,화성시,139802.0
경기도,의정부시,126379.0
경기도,광명시,104378.0
경기도,성남시 분당구,92337.0
경기도,안양시 동안구,73416.0
경기도,광주시,72445.0
경기도,안산시 단원구,71044.0
경기도,용인시 기흥구,68822.0
경기도,양주시,68527.0
경기도,안산시 상록구,67245.0
경기도,용인시 수지구,62727.0
경기도,군포시,62009.0
경기도,평택시,61147.0
경기도,하남시,60896.0
경기도,안양시 만안구,59796.0
경기도,수원시 권선구,58342.0
경기도,수원시 영통구,56804.0
경기도,성남시 수정구,47541.0
경기도,구리시,45664.0
경기도,수원시 장안구,44718.0
경기도,용인시 처인구,44059.0
경기도,포천시,39542.0
경기도,의왕시,34406.0
경기도,성남시 중원구,32756.0
경기도,수원시 팔달구,30549.0
경기도,이천시,29006.0
경기도,오산시,27221.0
경기도,안성시,22144.0
경기도,과천시,21087.0
경기도,동두천시,20535.0
경기도,양평군,18955.0
경기도,연천군,14029.0
경기도,여주시,13729.0
경기도,가평군,11855.0
인천광역시,서구,1310384.0
인천광역시,부평구,521645.0
인천광역시,남동구,472109.0
인천광역시,미추홀구,451952.0
인천광역시,계양구,427230.0
인천광역시,연수구,399251.0
인천광역시,중구,177329.0
인천광역시,동구,70488.0
인천광역시,옹진군,20836.0
서울특별시,강서구,503120.0
서울특별시,양천구,284977.0
서울특별시,영등포구,227559.0
서울특별시,은평구,225015.0
서울특별시,마포구,212202.0
서울특별시,구로구,198192.0
서울특별시,관악구,180527.0
서울특별시,서대문구,163367.0
서울특별시,동작구,160178.0
서울특별시,송파구,143794.0
서울특별시,성북구,129294.0
서울특별시,강남구,128766.0
서울특별시,노원구,126512.0
서울특별시,서초구,122549.0
서울특별시,강동구,100617.0
서울특별시,용산구,92166.0
서울특별시,광진구,82496.0
서울특별시,성동구,81850.0
서울특별시,중랑구,81088.0
서울특별시,동대문구,79460.0
서울특별시,금천구,77958.0
서울특별시,도봉구,75189.0
서울특별시,강북구,73908.0
서울특별시,종로구,56345.0
서울특별시,중구,49387.0
충청남도,아산시,26775.0
충청남도,천안시 서북구,24794.0
충청남도,천안시 동남구,21099.0
충청남도,당진시,20914.0
충청남도,서산시,15944.0
충청남도,태안군,6899.0
충청남도,보령시,6446.0
충청남도,공주시,5797.0
충청남도,홍성군,5771.0
충청남도,논산시,5047.0
충청남도,예산군,4976.0
충청남도,부여군,3060.0
충청남도,금산군,3009.0
충청남도,계룡시,2565.0
충청남도,청양군,2513.0
충청남도,서천군,1831.0
강원도,원주시,24442.0
강원도,춘천시,22187.0
강원도,강릉시,13398.0
강원도,홍천군,6778.0
강원도,평창군,6678.0
강원도,철원군,5831.0
강원도,속초시,5094.0
강원도,횡성군,3923.0
강원도,동해시,3673.0
강원도,삼척시,3617.0
강원도,인제군,3219.0
강원도,양양군,3116.0
강원도,고성군,2692.0
강원도,정선군,2690.0
강원도,영월군,2558.0
강원도,화천군,2518.0
강원도,태백시,2122.0
강원도,양구군,2088.0
충청북도,충주시,15354.0
충청북도,음성군,14154.0
충청북도,청주시 흥덕구,11792.0
충청북도,청주시 청원구,11457.0
충청북도,청주시 서원구,9379.0
충청북도,제천시,6546.0
충청북도,청주시 상당구,6249.0
충청북도,진천군,6142.0
충청북도,증평군,3062.0
충청북도,괴산군,2575.0
충청북도,영동군,2351.0
충청북도,옥천군,2270.0
충청북도,보은군,1670.0
충청북도,단양군,1329.0
경상북도,포항시 남구,8670.0
경상북도,구미시,7573.0
경상북도,포항시 북구,6365.0
경상북도,경주시,5949.0
경상북도,경산시,5751.0
경상북도,안동시,5104.0
경상북도,김천시,3398.0
경상북도,영주시,3289.0
경상북도,상주시,2428.0
경상북도,문경시,2279.0
경상북도,칠곡군,2116.0
경상북도,울진군,2046.0
경상북도,영천시,1925.0
경상북도,예천군,1836.0
경상북도,봉화군,1340.0
경상북도,성주군,1060.0
경상북도,영덕군,1023.0
경상북도,의성군,951.0
경상북도,고령군,904.0
경상북도,청송군,585.0
경상북도,청도군,543.0
경상북도,영양군,456.0
경상북도,울릉군,333.0
경상북도,군위군,263.0
대전광역시,유성구,19839.0
대전광역시,서구,18537.0
대전광역시,동구,9391.0
대전광역시,중구,7948.0
대전광역시,대덕구,5775.0
전라북도,군산시,10455.0
전라북도,익산시,9717.0
전라북도,전주시 완산구,9554.0
전라북도,전주시 덕진구,8200.0
전라북도,완주군,3657.0
전라북도,정읍시,2883.0
전라북도,고창군,2399.0
전라북도,김제시,1972.0
전라북도,남원시,1964.0
전라북도,부안군,1823.0
전라북도,무주군,883.0
전라북도,순창군,795.0
전라북도,장수군,634.0
전라북도,진안군,503.0
전라북도,임실군,395.0
경상남도,김해시,6582.0
경상남도,진주시,5394.0
경상남도,양산시,4795.0
경상남도,거제시,4283.0
경상남도,창원시 성산구,3995.0
경상남도,창원시 진해구,3482.0
경상남도,창원시 의창구,3079.0
경상남도,창원시 마산회원구,2466.0
경상남도,통영시,2151.0
경상남도,창원시 마산합포구,2139.0
경상남도,사천시,2079.0
