순위,업소명,주소,분류,현지인 검색 수
1,조양방직,인천 강화군 향나무길5번길 12-0,카페/찻집,3364
2,스타벅스인천강화DT점,인천 강화군 강화대로 343-0,카페/찻집,1354
3,마호가니강화점,인천 강화군 해안남로1844번길 19-0,카페/찻집,957
4,흥부골,인천 강화군 중앙로874번길 1-0,한식,853
5,맛을담은강된장,인천 강화군 해안남로 1164-0,한식,812
6,토크라피,인천 강화군 해안남로1691번길 43-12,카페/찻집,788
7,꼬막한상,인천 강화군 해안남로 334-0,한식,732
8,쌈밥이네,인천 강화군 해안남로 2674-0,한식,717
9,스페인마을,인천 강화군 해안남로 2677-21,카페/찻집,706
10,그린홀리데이,인천 강화군 해안남로 814-0,카페/찻집,655
11,금문도[중식],인천 강화군 중앙로 43-0,외국식,645
12,마니산짜장[중식],인천 강화군 가능포로 221-0,외국식,642
13,마니산산채,인천 강화군 해안남로 1182-0,한식,636
14,도솔미술관,인천 강화군 길상로210번길 52-71,카페/찻집,595
15,다루지,인천 강화군 마니산로 254-36,카페/찻집,578
16,도레도레강화점,인천 강화군 해안남로1844번길 19-0,카페/찻집,544
17,멍때림,인천 강화군 해안남로 1970-34,카페/찻집,540
18,농가의식탁,인천 강화군 해안동로 1037-8,한식,521
19,버거히어로,인천 강화군 해안남로 2714-0,간이음식,520
20,강화손칼국수본점,인천 강화군 강화남로 678-0,한식,506
21,바다보다,인천 강화군 해안남로 116-0,카페/찻집,482
22,솔향기,인천 강화군 장정양오길 147-0,한식,468
23,강화도무스비,인천 강화군 해안남로1170번길 10-2,카페/찻집,440
24,신송당,인천 강화군 어류정길212번길 7-4,카페/찻집,429
25,봄날의정원한식당,인천 강화군 선원사지로 67-0,한식,413
26,카페이림,인천 강화군 길상로210번길 24-0,카페/찻집,401
27,매화마름,인천 강화군 길상로25번길 28-0,카페/찻집,397
28,숲길따라,인천 강화군 해안남로 309-12,카페/찻집,394
29,강만장,인천 강화군 대룡안길54번길 24-0,카페/찻집,390
30,바그다드카페,인천 강화군 연동로99번길 73-0,카페/찻집,388
31,먹골촌,인천 강화군 해안남로 1147-0,한식,384
32,학생분식,인천 강화군 온수길 17-2,한식,382
33,서령,인천 강화군 보리고개로 96-0,한식,380
34,강화섬약쑥한우,인천 강화군 선원사지로 32-0,한식,374
35,2번창고,인천 강화군 강화동로 680-0,카페/찻집,370
36,일오삼간장게장,인천 강화군 중앙로1052번길 16-0,외국식,360
36,편가네된장,인천 강화군 가능포로89번길 11-0,한식,360
38,유진면옥,인천 강화군 강화남로 606-1,한식,356
39,충남서산집,인천 강화군 중앙로 1198-0,외국식,355
40,수라전통육개장강화본점,인천 강화군 강화대로403번길 14-0,한식,351
41,롯데리아인천강화점,인천 강화군 강화대로 419-0,간이음식,347
42,외포리꽃게집,인천 강화군 중앙로 1206-0,한식,346
43,서문김밥,인천 강화군 강화대로430번길 2-1,간이음식,338
44,토가,인천 강화군 해안남로 1912-0,한식,329
45,아로니움,인천 강화군 삼산남로 85-11,카페/찻집,317
46,꼬리별베이커리카페&풋스파,인천 강화군 해안남로 138-0,카페/찻집,309
47,마레616,인천 강화군 해안동로 96-29,카페/찻집,307
48,홍종흔베이커리강화점,인천 강화군 해안남로 392-0,간이음식,306
49,드리우니,인천 강화군 마니산로 106-1,카페/찻집,294
50,우트우트,인천 강화군 마니산로 12-0,카페/찻집,293
51,개성손만두강화점,인천 강화군 강화동로 1004-0,한식,292
52,도란도란,인천 강화군 고비고개로 248-18,한식,285
53,더라두,인천 강화군 해안동로 112-12,카페/찻집,281
53,칼국수맛있는집본점,인천 강화군 마니산로 569-1,한식,281
55,대청마루[한식],인천 강화군 시리미로42번길 62-20,한식,277
56,카페109하우스,인천 강화군 해안서로 540-0,카페/찻집,267
57,고려산민물장어구이,인천 강화군 고비고개로 270-0,외국식,266
58,이유가,인천 강화군 시리미로42번길 62-34,한식,264
59,서울횟집,인천 강화군 해안서로 917-2,외국식,260
60,지중해식당,인천 강화군 삼산남로 438-0,외국식,255
61,투썸플레이스인천강화점,인천 강화군 강화대로 401-1,카페/찻집,252
