유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
인천광역시 서구 , 인천광역시 중구,13.4,1
인천광역시 미추홀구 , 인천광역시 중구,10.0,1
인천광역시 연수구 , 인천광역시 중구,9.6,1
인천광역시 남동구 , 인천광역시 중구,6.2,1
인천광역시 부평구 , 인천광역시 중구,4.1,1
경기도 부천시 , 인천광역시 중구,3.8,1
인천광역시 계양구 , 인천광역시 중구,3.5,1
서울특별시 강서구 , 인천광역시 중구,3.2,1
인천광역시 동구 , 인천광역시 중구,3.2,1
경기도 시흥시 , 인천광역시 중구,2.9,1
경기도 김포시 , 인천광역시 중구,2.8,1
경기도 고양시 덕양구 , 인천광역시 중구,2.0,1
서울특별시 영등포구 , 인천광역시 중구,1.8,1
서울특별시 양천구 , 인천광역시 중구,1.6,1
서울특별시 강남구 , 인천광역시 중구,1.5,1
서울특별시 마포구 , 인천광역시 중구,1.4,1
서울특별시 서초구 , 인천광역시 중구,1.2,1
경기도 고양시 일산동구 , 인천광역시 중구,1.2,1
서울특별시 구로구 , 인천광역시 중구,1.1,1
경기도 화성시 , 인천광역시 중구,1.1,1
 인천광역시 중구,인천광역시 연수구,25.1,2
 인천광역시 중구,인천광역시 미추홀구,14.2,2
 인천광역시 중구,인천광역시 서구,9.5,2
 인천광역시 중구,인천광역시 남동구,5.7,2
 인천광역시 중구,경기도 김포시,3.3,2
 인천광역시 중구,서울특별시 강서구,2.9,2
 인천광역시 중구,경기도 시흥시,2.8,2
 인천광역시 중구,인천광역시 부평구,2.5,2
 인천광역시 중구,인천광역시 동구,2.4,2
 인천광역시 중구,경기도 부천시,2.2,2
 인천광역시 중구,경기도 고양시 덕양구,2.1,2
 인천광역시 중구,인천광역시 계양구,1.8,2
 인천광역시 중구,서울특별시 강남구,1.7,2
 인천광역시 중구,서울특별시 중구,1.7,2
 인천광역시 중구,서울특별시 영등포구,1.5,2
 인천광역시 중구,인천광역시 강화군,1.2,2
 인천광역시 중구,서울특별시 마포구,1.1,2
 인천광역시 중구,경기도 파주시,1.1,2
 인천광역시 중구,경기도 고양시 일산동구,1.0,2
 인천광역시 중구,경기도 광명시,0.9,2
