순위,업소명,주소,분류,외지인 검색 수
1,과역기사님식당[한식],전남 고흥군 고흥로 2959-3,한식,4978
2,녹동회타운,전남 고흥군 목넘가는길 19-0,외국식,4068
3,소문난갈비탕,전남 고흥군 고흥로 4259-0,한식,3583
4,관산식당,전남 고흥군 고흥로 1896-0,한식,3081
5,동방기사식당,전남 고흥군 고흥로 2921-0,한식,1766
6,평화국밥,전남 고흥군 과역로 951-0,한식,1736
7,보성식당,전남 고흥군 고흥로 3009-0,한식,1415
8,산티아고커피농장,전남 고흥군 석촌1길 81-109,카페/찻집,1285
9,성실산장어탕구이전문,전남 고흥군 비봉로 177-0,외국식,1194
10,카페마레,전남 고흥군 우천우두길 24-75,카페/찻집,1165
11,해돌마루카페,전남 고흥군 거금일주로 1906-17,카페/찻집,983
12,다미식당,전남 고흥군 두원로 477-0,한식,871
13,해돌마루,전남 고흥군 거금일주로 1906-17,외국식,869
14,익금21,전남 고흥군 익금해변길 21-0,카페/찻집,817
15,엠케이알,전남 고흥군 비봉로 177-0,카페/찻집,779
16,갈릴리횟집,전남 고흥군,외국식,748
17,파리바게뜨고흥중앙점,전남 고흥군 봉황길 42-0,간이음식,681
18,분청마루[한식],전남 고흥군 분청문화박물관길 77-0,한식,679
19,시드니월남쌈,전남 고흥군 더수연안길 33-0,외국식,623
20,수정횟집,전남 고흥군 목넘가는길 2-0,외국식,604
21,녹동식당,전남 고흥군 녹동남촌1길 2-0,외국식,562
22,동강갈비탕,전남 고흥군 고흥로 4786-3,한식,549
23,유자골고흥한우프라자,전남 고흥군 고흥로 4797-0,한식,528
24,고흥원,전남 고흥군 장전신전길 3-7,한식,527
25,유성기사님식당,전남 고흥군 고흥로 2902-0,한식,525
26,롯데리아전남고흥,전남 고흥군 여산당촌길 8-0,간이음식,511
27,청정회관[한식],전남 고흥군 나로도항길 55-0,한식,498
28,산티아고커피농장,전남 고흥군 석촌1길 81-117,카페/찻집,489
29,도라지식당,전남 고흥군 여산당촌길 4-2,한식,469
30,아리랑산장어구이,전남 고흥군 비봉로 177-0,외국식,454
31,이디야커피고흥녹동점,전남 고흥군 녹동신항1길 32-0,카페/찻집,433
32,다도해회관,전남 고흥군 나로도항길 103-18,외국식,429
33,수문식당,전남 고흥군 망월로 674-24,한식,415
34,명당만두,전남 고흥군 남촌길 29-0,한식,395
35,투썸플레이스전남녹동점,전남 고흥군 우주항공로 54-0,카페/찻집,376
36,중앙식당[한식],전남 고흥군 당오천변1길 39-0,한식,355
37,소문난식당,전남 고흥군 홍교당촌길 7-0,한식,353
38,순천식당,전남 고흥군 나로도항길 117-0,외국식,324
39,파리바게뜨고흥도양점,전남 고흥군 우주항공로 33-0,간이음식,322
40,고흥한우직판장,전남 고흥군 고흥로 1892-67,한식,314
41,유리스버거,전남 고흥군 녹동시장길 48-12,간이음식,308
42,르와르베이커리,전남 고흥군 과역로 854-0,간이음식,297
43,서울식당,전남 고흥군 나로도항길 145-0,한식,279
44,안성장어나라,전남 고흥군 비봉로 159-0,외국식,265
45,일조갈비,전남 고흥군 우주로 601-0,한식,262
46,배스킨라빈스전남고흥점,전남 고흥군 고흥로 1754-0,간이음식,256
47,이디야커피고흥군청점,전남 고흥군 고흥군청로 26-0,카페/찻집,236
48,삼겹살백반&고흥커피거리,전남 고흥군,기타음식,228
49,월포가든,전남 고흥군 오룡동길 19-0,한식,227
50,동강가야성[중식],전남 고흥군 동서로 14-0,외국식,222
51,대흥식당,전남 고흥군 고흥로 1694-0,한식,221
52,별헤는몰랑,전남 고흥군 고흥만로 1645-0,카페/찻집,216
53,엉클제이본점,전남 고흥군 홍교길 19-0,카페/찻집,208
54,유자당,전남 고흥군 여산당촌길 50-1,카페/찻집,201
55,고센,전남 고흥군 우주로 835-0,기타음식,188
56,대동식당,전남 고흥군 나로도항길 105-0,외국식,186
57,산채뜰,전남 고흥군 우주항공로 64-0,한식,171
58,남일식당,전남 고흥군 비봉로 257-0,한식,170
59,고흥생선숯불구이,전남 고흥군 시장길 20-0,한식,165
60,하얀마을제과점,전남 고흥군 동신길 34-0,간이음식,141
61,쑥섬돌담밥집,전남 고흥군 애도길 63-0,한식,138
62,이디야커피고흥점,전남 고흥군 봉동주공길 11-2,카페/찻집,134
63,한끼밥상[한식],전남 고흥군 녹동남문길 8-9,한식,130
64,원조남해아구찜,전남 고흥군 녹동남촌1길 26-1,한식,125
65,뚜레쥬르전남고흥점,전남 고흥군 터미널길 3-0,간이음식,122
66,백상회관[한식],전남 고흥군 봉황길 26-8,한식,120
67,득량식당,전남 고흥군 목넘가는길 20-0,외국식,116
68,노블레스,전남 고흥군 우주항공로 3-0,외국식,115
69,삼부자횟집,전남 고흥군 동두메2길 5-0,외국식,109
69,빌라로사,전남 고흥군 독대길 29-45,카페/찻집,109
71,고흥회관,전남 고흥군 서문여산길 40-0,한식,100
72,덕성루,전남 고흥군 봉동주공길 3-1,외국식,99
73,이화수전통육개장전남고흥점,전남 고흥군 고흥군청로 24-0,한식,95
74,금강아구찜,전남 고흥군 홍교길 16-1,한식,94
75,과역한우직판장,전남 고흥군 과역로 952-14,한식,93
76,풍짬[중식],전남 고흥군 고흥만로 1137-0,외국식,91
77,용바위횟집,전남 고흥군 용바위길 23-0,외국식,89
77,신촌브루,전남 고흥군 대신로 122-0,카페/찻집,89
79,정다운식당,전남 고흥군 개안길 35-0,한식,87
80,고흥낙지활어 어시장회센터,전남 고흥군 목넘가는길 10-0,외국식,79
80,뚝배기식당,전남 고흥군 비봉로 177-0,한식,79
82,식후경,전남 고흥군 고흥로 1903-0,한식,78
82,하얀노을,전남 고흥군 와다리길 3-0,카페/찻집,78
84,정일품정육식당,전남 고흥군 봉동주공길 43-0,한식,77
85,가나안식당[한식],전남 고흥군 천마로 2283-0,한식,76
86,얌샘김밥고흥군청점,전남 고흥군 고흥군청로 24-0,간이음식,75
87,김밥천국,전남 고흥군 우주항공로 38-0,간이음식,72
88,한솔회마트,전남 고흥군 서문여산길 50-0,외국식,70
89,장수장어식당,전남 고흥군 명동길 3-8,한식,68
90,아리랑산장어숯불구이고흥점,전남 고흥군 고흥로 1714-0,외국식,66
91,고흥영숙홍갈비탕녹동점,전남 고흥군 녹동신항2길 6-0,한식,65
92,삼국시대감자탕녹동점,전남 고흥군 우주항공로 6-0,한식,64
92,우리기사식당,전남 고흥군 무궁화길 12-19,한식,64
92,해그라미CAFE,전남 고흥군 평산길 98-0,카페/찻집,64
95,삼미식당,전남 고흥군 두원로 109-58,한식,62
95,천해횟집,전남 고흥군 목넘가는길 2-0,외국식,62
97,시월[중식],전남 고흥군 비봉로 127-0,외국식,60
97,좋은자리뷔페,전남 고흥군 고흥로 1865-0,외국식,60
99,티파니카페&펜션,전남 고흥군 내산길 3-6,카페/찻집,54
100,평산횟집,전남 고흥군 평산길 80-0,외국식,51
