광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
광주광역시,북구,779093.0
광주광역시,광산구,504345.0
광주광역시,서구,337982.0
광주광역시,남구,219084.0
광주광역시,동구,135582.0
전라남도,순천시,313313.0
전라남도,여수시,116915.0
전라남도,담양군,95586.0
전라남도,광양시,86607.0
전라남도,화순군,79734.0
전라남도,나주시,69241.0
전라남도,구례군,59151.0
전라남도,목포시,47336.0
전라남도,장성군,26716.0
전라남도,무안군,26070.0
전라남도,영광군,15794.0
전라남도,보성군,14851.0
전라남도,고흥군,13291.0
전라남도,영암군,12880.0
전라남도,해남군,10292.0
전라남도,장흥군,8608.0
전라남도,함평군,8517.0
전라남도,완도군,7931.0
전라남도,강진군,6454.0
전라남도,신안군,4817.0
전라남도,진도군,3037.0
전라북도,남원시,308639.0
전라북도,전주시 완산구,73764.0
전라북도,전주시 덕진구,64712.0
전라북도,순창군,63935.0
전라북도,익산시,43035.0
전라북도,군산시,28442.0
전라북도,정읍시,21923.0
전라북도,고창군,15204.0
전라북도,완주군,14857.0
전라북도,임실군,9092.0
전라북도,김제시,8471.0
전라북도,부안군,6999.0
전라북도,장수군,5129.0
전라북도,진안군,2846.0
전라북도,무주군,1294.0
경기도,화성시,24072.0
경기도,부천시,19810.0
경기도,남양주시,16671.0
경기도,평택시,15044.0
경기도,시흥시,12254.0
경기도,고양시 덕양구,11274.0
경기도,용인시 기흥구,11217.0
경기도,성남시 분당구,10582.0
경기도,광주시,10361.0
경기도,김포시,10112.0
경기도,수원시 권선구,9418.0
경기도,수원시 영통구,8860.0
경기도,용인시 수지구,8386.0
경기도,안산시 단원구,8288.0
경기도,파주시,8121.0
경기도,의정부시,8015.0
경기도,안산시 상록구,7881.0
경기도,고양시 일산동구,7404.0
경기도,안양시 동안구,7388.0
경기도,광명시,7279.0
경기도,군포시,7052.0
경기도,수원시 장안구,6890.0
경기도,안양시 만안구,6890.0
경기도,하남시,6753.0
경기도,용인시 처인구,6666.0
경기도,오산시,5751.0
경기도,성남시 수정구,5455.0
경기도,안성시,5054.0
경기도,고양시 일산서구,4901.0
경기도,이천시,4728.0
경기도,성남시 중원구,4609.0
경기도,양주시,4531.0
경기도,수원시 팔달구,4462.0
경기도,구리시,4430.0
경기도,의왕시,4384.0
경기도,포천시,3276.0
경기도,여주시,2349.0
경기도,양평군,2171.0
경기도,과천시,2108.0
경기도,가평군,1845.0
경기도,동두천시,1343.0
경기도,연천군,1214.0
서울특별시,송파구,16160.0
서울특별시,관악구,15509.0
서울특별시,강서구,15108.0
서울특별시,강남구,12318.0
서울특별시,은평구,12026.0
서울특별시,강동구,11320.0
서울특별시,노원구,11126.0
서울특별시,동작구,10837.0
서울특별시,영등포구,10408.0
서울특별시,성북구,10027.0
서울특별시,동대문구,9507.0
서울특별시,서대문구,9426.0
서울특별시,구로구,9297.0
서울특별시,광진구,9264.0
서울특별시,마포구,9028.0
서울특별시,성동구,8736.0
서울특별시,양천구,8731.0
서울특별시,중랑구,8562.0
서울특별시,서초구,8532.0
서울특별시,강북구,7657.0
서울특별시,도봉구,5976.0
서울특별시,용산구,5906.0
서울특별시,금천구,5530.0
서울특별시,종로구,5398.0
서울특별시,중구,3917.0
