순위,업소명,주소,분류,외지인 검색 수
1,대숲골농원,전남 순천시 학동길 54-0,한식,9833
2,벽오동,전남 순천시 상사호길 73-0,한식,9646
3,건봉국밥,전남 순천시 장평로 65-0,한식,7300
4,송치마을,전남 순천시 송치안길 88-0,외국식,6972
5,스타벅스순천용당DT점,전남 순천시 중앙로 398-0,카페/찻집,6038
6,남녘들밥상,전남 순천시 하풍동길 21-0,한식,5995
7,나눌터[한식],전남 순천시 팔마1길 4-0,한식,5776
8,쿠우쿠우순천점,전남 순천시 향매로 59-0,외국식,5681
9,화월당,전남 순천시 중앙로 90-1,간이음식,5531
10,카페와온,전남 순천시 와온길 107-0,카페/찻집,5100
11,스타벅스순천신대점,전남 순천시 향매로 99-0,카페/찻집,4902
12,스타벅스순천호수공원점,전남 순천시 왕지2길 17-0,카페/찻집,4839
13,대원식당[한식],전남 순천시 장천2길 30-29,한식,4689
14,순천만전라도밥상,전남 순천시 순천만길 496-1,한식,4663
15,브루웍스,전남 순천시 역전길 61-0,카페/찻집,4553
16,맥도날드순천조례DT점,전남 순천시 순광로 75-0,간이음식,4314
17,순천만정문식당,전남 순천시 순천만길 492-0,한식,4205
18,조훈모과자점팔마점,전남 순천시 팔마로 269-0,간이음식,4134
19,도원경[한식],전남 순천시 순천만길 309-0,한식,4058
20,아웃백스테이크하우스순천점,전남 순천시 왕지5길 4-0,외국식,3945
21,스타벅스순천연향점,전남 순천시 연향번영길 118-0,카페/찻집,3614
22,참조은시골집[한식],전남 순천시 해룡로 579-0,한식,3367
23,금빈회관,전남 순천시 장명4길 8-0,한식,3270
24,명궁관[한식],전남 순천시 중앙2길 7-0,한식,3156
25,명지원,전남 순천시 연향상가길 31-0,한식,2943
26,신화정,전남 순천시 구암길 26-0,한식,2921
27,밥꽃이야기들마루[한식],전남 순천시 순천만길 496-0,한식,2919
28,향토정[한식],전남 순천시 남신월4길 13-26,한식,2772
29,맥도날드순천덕암DT점,전남 순천시 구암원길 1-0,간이음식,2751
30,산들담은,전남 순천시 정채봉길 30-0,한식,2736
31,신대초밥,전남 순천시 매안2길 7-0,외국식,2339
32,순천만일번가,전남 순천시 순천만길 520-0,외국식,2247
33,대대선창집,전남 순천시 순천만길 542-0,외국식,2218
34,상무초밥순천점,전남 순천시 왕지2길 25-4,외국식,2166
34,코우텐동[일식],전남 순천시 매안4길 3-11,외국식,2166
36,순천웃장국밥거리,전남 순천시 북문길 40-0,기타음식,2153
37,자산어보순천점,전남 순천시 대석1길 27-0,외국식,2005
38,양지쌈밥,전남 순천시 금곡길 8-0,한식,1995
39,청풍한우,전남 순천시 상성길 103-0,한식,1989
40,남도밥상,전남 순천시 순천만길 306-0,한식,1933
41,마리나부페순천점,전남 순천시 율산길 118-0,외국식,1929
42,순천만487카페,전남 순천시 순천만길 487-0,카페/찻집,1887
43,오성가든식당,전남 순천시 송광사길 96-0,한식,1817
44,열무밭애,전남 순천시 향매1길 15-14,한식,1807
45,뱀부스레스토랑,전남 순천시 상성길 279-0,외국식,1778
45,황비물회,전남 순천시 향매1길 16-17,외국식,1778
47,효동회관,전남 순천시 장천2길 20-4,한식,1701
48,최대감벌교꼬막정식,전남 순천시 삼일로 63-0,한식,1652
49,어나더키친순천점,전남 순천시 왕지4길 18-0,외국식,1650
50,순광식당,전남 순천시 중앙5길 31-0,외국식,1634
51,순천만꼬막정식,전남 순천시 순천만길 21-0,한식,1625
51,조훈모과자점죽도봉점,전남 순천시 봉화로 46-0,간이음식,1625
53,대부수산,전남 순천시 일출길 200-5,외국식,1588
54,독도는우리땅,전남 순천시 상대석길 69-0,외국식,1582
55,Angmoo,전남 순천시 해룡로 802-0,카페/찻집,1569
56,진일기사식당,전남 순천시 선암사길 48-0,한식,1564
57,봉화기사식당,전남 순천시 순광로 150-0,기타음식,1498
58,고구려초밥금당본점,전남 순천시 기적의도서관길 31-0,외국식,1489
59,정원[한식],전남 순천시 매안로 137-0,한식,1473
60,조계산보리밥아랫집,전남 순천시 굴목재길 240-0,한식,1470
61,흥덕식당,전남 순천시 역전광장3길 21-0,한식,1460
62,조훈모과자점순천점,전남 순천시 연향중앙상가길 41-0,간이음식,1455
63,버거킹순천법원점,전남 순천시 왕지로 8-1,간이음식,1434
64,원조동경낙지,전남 순천시 금곡길 26-0,외국식,1386
65,순천갈대장어신대점,전남 순천시 향매1길 4-23,외국식,1370
66,운평769,전남 순천시 청소년수련원길 153-0,카페/찻집,1350
67,고향산천,전남 순천시 섬진강로 262-0,한식,1343
68,베니샤프커피본점,전남 순천시 용당둑길 153-0,카페/찻집,1337
69,별미정,전남 순천시 외광길 24-33,한식,1329
70,쌍암기사식당,전남 순천시 신성길 2-0,한식,1326
71,신대축산물백화점,전남 순천시 상성길 324-0,한식,1320
72,텃밭,전남 순천시 봉화2길 67-0,외국식,1280
73,오블리크,전남 순천시 매안1길 20-0,카페/찻집,1261
74,리비에르,전남 순천시 서문교길 10-0,카페/찻집,1253
75,명품식당,전남 순천시 순천만길 518-0,한식,1177
76,연향동의식탁,전남 순천시 도장길 39-0,한식,1152
77,향미정,전남 순천시 순천만길 312-0,한식,1133
78,교동면옥순천연향점,전남 순천시 원연향길 200-0,한식,1131
79,맛찬들왕소금구이순천신대점,전남 순천시 향매1길 17-0,한식,1127
80,성연,전남 순천시 매안로 97-0,한식,1110
81,남흥회관,전남 순천시 장명2길 4-0,한식,1107
82,제일식당1호점,전남 순천시 북문길 40-0,한식,1091
83,오버랩호수,전남 순천시 조례2길 38-1,카페/찻집,1079
84,더필드,전남 순천시 남가1길 90-39,카페/찻집,1032
85,오대감,전남 순천시 장선배기길 12-0,외국식,1004
86,오버랩,전남 순천시 유동1길 26-0,카페/찻집,992
87,투썸플레이스순천신대점,전남 순천시 신대3길 2-0,카페/찻집,991
88,주암해물손칼국수,전남 순천시 상사호길 12-0,한식,969
89,군산아구찜,전남 순천시 조례연동길 73-0,한식,956
90,일품식당,전남 순천시 순천만길 668-0,한식,955
91,함흥냉면,전남 순천시 하대석길 2-0,한식,952
92,하늘루,전남 순천시 야흥고개길 37-0,한식,951
93,낭만반점순천직영점,전남 순천시 대석1길 51-25,외국식,940
94,어그원,전남 순천시 송산2길 22-102,카페/찻집,939
95,수련산방,전남 순천시 농곡길 1-4,한식,932
96,미향식당[한식],전남 순천시 삼일로 5-0,한식,923
96,안녕홍매화신대점,전남 순천시 매안로 135-0,한식,923
98,봉화식당,전남 순천시 순광로 150-0,한식,919
99,동화루[중식],전남 순천시 팔마1길 9-50,외국식,915
100,아삐에노,전남 순천시 중앙3길 5-0,카페/찻집,900
