순위,관광지명,주소,분류,합산 검색 수
1,엘도라도리조트,전남 신안군 지도증도로 1766-15,콘도미니엄,27814
2,퍼플교,전남 신안군,기타관광,22700
3,암태남강선착장,전남 신안군 중부로 1502-80,교통시설,21230
4,백길해변,전남 신안군,자연경관(하천/해양),13629
5,무한의다리,전남 신안군,기타관광,13549
6,신안튤립축제,전남 신안군,기타문화관광지,12612
7,대광해변,전남 신안군,자연경관(하천/해양),12101
8,임자도,전남 신안군,자연경관(하천/해양),10479
9,천사섬분재공원,전남 신안군 무지개길 330-0,테마공원,9649
10,송공리선착장,전남 신안군 압해로 1852-14,교통시설,8873
11,천사대교관광안내소,전남 신안군,기타관광,7786
12,박지도,전남 신안군,자연경관(하천/해양),6215
13,분계해변,전남 신안군,자연경관(하천/해양),5608
14,암태남강항여객선터미널,전남 신안군 중부로 1502-79,교통시설,4301
15,오도선착장,전남 신안군 박달로 0-0,교통시설,3831
16,자은도,전남 신안군,자연경관(하천/해양),3802
17,압해도,전남 신안군,자연경관(하천/해양),3635
18,비금가산선착장,전남 신안군 서남문로 0-0,교통시설,3620
19,소금박물관,전남 신안군 지도증도로 1058-0,전시시설,3575
20,우전해수욕장,전남 신안군,자연경관(하천/해양),3574
21,태평염전,전남 신안군 지도증도로 1083-4,자연경관(하천/해양),3337
22,가룡항,전남 신안군,교통시설,3326
23,송공여객선터미널,전남 신안군 압해로 1846-1,교통시설,2858
24,송도선착장,전남 신안군 송도2길 0-0,교통시설,2846
25,점암선착장,전남 신안군,교통시설,2812
26,천사섬캠핑&글램핑,전남 신안군 한운길 159-0,캠핑,2787
27,추포해변,전남 신안군,자연경관(하천/해양),2655
28,짱뚱어해수욕장,전남 신안군,자연경관(하천/해양),2363
29,안좌도,전남 신안군,자연경관(하천/해양),2192
30,자라도선착장,전남 신안군 자라도길 0-0,교통시설,2188
31,압해도선착장,전남 신안군,교통시설,2176
32,송도항,전남 신안군 송도2길 68-0,자연경관(하천/해양),2163
33,둔장해수욕장,전남 신안군,자연경관(하천/해양),2026
34,신안튤립공원,전남 신안군 대광해수욕장길 172-22,도시공원,1973
35,전장포항,전남 신안군 전장포길 912-9,자연경관(하천/해양),1965
36,증도왕바위선착장,전남 신안군 지도증도로 2005-0,교통시설,1888
37,신안김환기가옥,전남 신안군 김환기길 38-1,역사유적지,1885
38,복호선착장,전남 신안군 감바위길 0-0,교통시설,1875
39,두리선착장,전남 신안군 소곡두리길 0-0,교통시설,1713
